ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Clinton,11/5/2015 12:00:00 AM,$0.78,$0.78,$0.78,$0.78,2
Sanders,11/5/2015 12:00:00 AM,$0.21,$0.24,$0.21,$0.21,473
Biden,11/5/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,15
O'Malley,11/5/2015 12:00:00 AM,$0.04,$0.07,$0.04,$0.06,226
Webb,11/5/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Chafee,11/5/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,11/6/2015 12:00:00 AM,$0.78,$0.82,$0.78,$0.80,472
Sanders,11/6/2015 12:00:00 AM,$0.21,$0.22,$0.20,$0.20,458
Biden,11/6/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
O'Malley,11/6/2015 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,150
Webb,11/6/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Chafee,11/6/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,11/7/2015 12:00:00 AM,$0.80,$0.83,$0.80,$0.80,170
Sanders,11/7/2015 12:00:00 AM,$0.20,$0.23,$0.20,$0.21,253
Biden,11/7/2015 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,153
O'Malley,11/7/2015 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Webb,11/7/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Chafee,11/7/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,11/8/2015 12:00:00 AM,$0.80,$0.82,$0.79,$0.79,131
Sanders,11/8/2015 12:00:00 AM,$0.21,$0.22,$0.20,$0.22,122
Biden,11/8/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
O'Malley,11/8/2015 12:00:00 AM,$0.06,$0.06,$0.05,$0.05,50
Webb,11/8/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Chafee,11/8/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,11/9/2015 12:00:00 AM,$0.79,$0.80,$0.77,$0.77,486
Sanders,11/9/2015 12:00:00 AM,$0.22,$0.25,$0.21,$0.23,789
Biden,11/9/2015 12:00:00 AM,$0.01,$0.03,$0.01,$0.02,388
O'Malley,11/9/2015 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Webb,11/9/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Chafee,11/9/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,11/10/2015 12:00:00 AM,$0.77,$0.79,$0.77,$0.78,459
