ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Sanders,2/19/2016 12:00:00 AM,$0.50,$0.89,$0.50,$0.84,64
Clinton,2/19/2016 12:00:00 AM,$0.28,$0.35,$0.11,$0.23,366
Sanders,2/20/2016 12:00:00 AM,$0.84,$0.84,$0.75,$0.83,227
Clinton,2/20/2016 12:00:00 AM,$0.23,$0.26,$0.18,$0.25,644
Sanders,2/21/2016 12:00:00 AM,$0.83,$0.84,$0.76,$0.81,1115
Clinton,2/21/2016 12:00:00 AM,$0.25,$0.27,$0.18,$0.19,736
Sanders,2/22/2016 12:00:00 AM,$0.81,$0.86,$0.79,$0.81,1030
Clinton,2/22/2016 12:00:00 AM,$0.19,$0.22,$0.14,$0.19,508
Sanders,2/23/2016 12:00:00 AM,$0.81,$0.88,$0.81,$0.88,642
Clinton,2/23/2016 12:00:00 AM,$0.19,$0.20,$0.14,$0.20,665
Sanders,2/24/2016 12:00:00 AM,$0.88,$0.94,$0.82,$0.89,2168
Clinton,2/24/2016 12:00:00 AM,$0.20,$0.20,$0.08,$0.15,2070
Sanders,2/25/2016 12:00:00 AM,$0.89,$0.89,$0.50,$0.82,2033
Clinton,2/25/2016 12:00:00 AM,$0.15,$0.22,$0.12,$0.22,1676
Sanders,2/26/2016 12:00:00 AM,$0.82,$0.84,$0.79,$0.82,561
Clinton,2/26/2016 12:00:00 AM,$0.22,$0.23,$0.17,$0.19,1780
Sanders,2/27/2016 12:00:00 AM,$0.82,$0.82,$0.71,$0.74,2306
Clinton,2/27/2016 12:00:00 AM,$0.19,$0.27,$0.19,$0.27,2003
Sanders,2/28/2016 12:00:00 AM,$0.74,$0.79,$0.50,$0.50,3059
Clinton,2/28/2016 12:00:00 AM,$0.27,$0.50,$0.20,$0.41,5002
Sanders,2/29/2016 12:00:00 AM,$0.50,$0.69,$0.30,$0.65,5273
Clinton,2/29/2016 12:00:00 AM,$0.41,$0.69,$0.34,$0.42,8891
Sanders,3/1/2016 12:00:00 AM,$0.65,$0.83,$0.41,$0.70,10653
Clinton,3/1/2016 12:00:00 AM,$0.42,$0.61,$0.20,$0.30,9342
Sanders,3/2/2016 12:00:00 AM,$0.70,$0.92,$0.70,$0.82,16661
Clinton,3/2/2016 12:00:00 AM,$0.30,$0.31,$0.10,$0.17,13756
Sanders,3/3/2016 12:00:00 AM,$0.82,$0.89,$0.82,$0.85,5400
Clinton,3/3/2016 12:00:00 AM,$0.17,$0.17,$0.12,$0.12,5721
Sanders,3/4/2016 12:00:00 AM,$0.85,$0.88,$0.82,$0.86,5737
Clinton,3/4/2016 12:00:00 AM,$0.12,$0.22,$0.12,$0.16,10063
Sanders,3/5/2016 12:00:00 AM,$0.86,$0.99,$0.78,$0.94,20209
Clinton,3/5/2016 12:00:00 AM,$0.16,$0.22,$0.02,$0.09,17846
Sanders,3/6/2016 12:00:00 AM,$0.94,$0.99,$0.91,$0.99,70398
Clinton,3/6/2016 12:00:00 AM,$0.09,$0.10,$0.01,$0.01,79861
Sanders,3/7/2016 12:00:00 AM,$0.99,$0.99,$0.99,$0.99,0
Clinton,3/7/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
