ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Sanders,2/29/2016 12:00:00 AM,$0.39,$0.39,$0.06,$0.07,5065
Clinton,2/29/2016 12:00:00 AM,$0.75,$0.96,$0.75,$0.93,4882
Sanders,3/1/2016 12:00:00 AM,$0.07,$0.13,$0.05,$0.08,4626
Clinton,3/1/2016 12:00:00 AM,$0.93,$0.96,$0.88,$0.88,4510
Sanders,3/2/2016 12:00:00 AM,$0.08,$0.13,$0.06,$0.09,43584
Clinton,3/2/2016 12:00:00 AM,$0.88,$0.95,$0.88,$0.94,43256
Sanders,3/3/2016 12:00:00 AM,$0.09,$0.12,$0.05,$0.10,29567
Clinton,3/3/2016 12:00:00 AM,$0.94,$0.95,$0.88,$0.90,23813
Sanders,3/4/2016 12:00:00 AM,$0.10,$0.15,$0.08,$0.09,18506
Clinton,3/4/2016 12:00:00 AM,$0.90,$0.93,$0.90,$0.92,17061
Sanders,3/5/2016 12:00:00 AM,$0.09,$0.16,$0.08,$0.09,30550
Clinton,3/5/2016 12:00:00 AM,$0.92,$0.94,$0.86,$0.92,20522
Sanders,3/6/2016 12:00:00 AM,$0.09,$0.13,$0.06,$0.09,57149
Clinton,3/6/2016 12:00:00 AM,$0.92,$0.95,$0.90,$0.92,50078
Sanders,3/7/2016 12:00:00 AM,$0.09,$0.11,$0.06,$0.09,69127
Clinton,3/7/2016 12:00:00 AM,$0.92,$0.95,$0.90,$0.93,55147
Sanders,3/8/2016 12:00:00 AM,$0.09,$0.99,$0.07,$0.99,749084
Clinton,3/8/2016 12:00:00 AM,$0.93,$0.94,$0.01,$0.01,720388
Sanders,3/9/2016 12:00:00 AM,$0.99,$0.99,$0.98,$0.99,31075
Clinton,3/9/2016 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,31345
