ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Sanders,4/29/2016 12:00:00 AM,$0.76,$0.90,$0.76,$0.84,2638
Clinton,4/29/2016 12:00:00 AM,$0.15,$0.19,$0.12,$0.19,2101
Sanders,4/30/2016 12:00:00 AM,$0.84,$0.84,$0.78,$0.79,2724
Clinton,4/30/2016 12:00:00 AM,$0.19,$0.33,$0.17,$0.20,3933
Sanders,5/1/2016 12:00:00 AM,$0.79,$0.82,$0.65,$0.74,2919
Clinton,5/1/2016 12:00:00 AM,$0.20,$0.33,$0.20,$0.33,3966
Sanders,5/2/2016 12:00:00 AM,$0.74,$0.78,$0.66,$0.72,2769
Clinton,5/2/2016 12:00:00 AM,$0.33,$0.35,$0.21,$0.33,5059
Sanders,5/3/2016 12:00:00 AM,$0.72,$0.86,$0.48,$0.86,3830
Clinton,5/3/2016 12:00:00 AM,$0.33,$0.38,$0.13,$0.14,7062
Sanders,5/4/2016 12:00:00 AM,$0.86,$0.92,$0.80,$0.84,7130
Clinton,5/4/2016 12:00:00 AM,$0.14,$0.25,$0.13,$0.16,4515
Sanders,5/5/2016 12:00:00 AM,$0.84,$0.88,$0.81,$0.81,1010
Clinton,5/5/2016 12:00:00 AM,$0.16,$0.21,$0.15,$0.15,1994
Sanders,5/6/2016 12:00:00 AM,$0.81,$0.89,$0.81,$0.83,2252
Clinton,5/6/2016 12:00:00 AM,$0.15,$0.21,$0.15,$0.18,965
Sanders,5/7/2016 12:00:00 AM,$0.83,$0.85,$0.82,$0.84,603
Clinton,5/7/2016 12:00:00 AM,$0.18,$0.20,$0.17,$0.19,679
Sanders,5/8/2016 12:00:00 AM,$0.84,$0.85,$0.83,$0.85,491
Clinton,5/8/2016 12:00:00 AM,$0.19,$0.19,$0.17,$0.17,144
Sanders,5/9/2016 12:00:00 AM,$0.85,$0.85,$0.83,$0.85,646
Clinton,5/9/2016 12:00:00 AM,$0.17,$0.19,$0.16,$0.16,229
Sanders,5/10/2016 12:00:00 AM,$0.85,$0.89,$0.84,$0.87,1817
Clinton,5/10/2016 12:00:00 AM,$0.16,$0.19,$0.10,$0.13,5841
Sanders,5/11/2016 12:00:00 AM,$0.87,$0.88,$0.86,$0.86,1508
Clinton,5/11/2016 12:00:00 AM,$0.13,$0.18,$0.13,$0.15,2032
Sanders,5/12/2016 12:00:00 AM,$0.86,$0.87,$0.84,$0.86,2853
Clinton,5/12/2016 12:00:00 AM,$0.15,$0.16,$0.13,$0.15,3352
Sanders,5/13/2016 12:00:00 AM,$0.86,$0.87,$0.86,$0.87,74
Clinton,5/13/2016 12:00:00 AM,$0.15,$0.17,$0.13,$0.17,253
Sanders,5/14/2016 12:00:00 AM,$0.87,$0.87,$0.85,$0.86,1204
Clinton,5/14/2016 12:00:00 AM,$0.17,$0.17,$0.14,$0.15,2671
Sanders,5/15/2016 12:00:00 AM,$0.86,$0.86,$0.82,$0.82,2329
Clinton,5/15/2016 12:00:00 AM,$0.15,$0.19,$0.14,$0.19,1782
Sanders,5/16/2016 12:00:00 AM,$0.82,$0.84,$0.80,$0.84,440
Clinton,5/16/2016 12:00:00 AM,$0.19,$0.20,$0.16,$0.20,376
