ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Clinton,2/18/2016 12:00:00 AM,$0.73,$0.73,$0.52,$0.53,686
Sanders,2/18/2016 12:00:00 AM,$0.42,$0.49,$0.42,$0.49,385
Clinton,2/19/2016 12:00:00 AM,$0.53,$0.53,$0.45,$0.52,564
Sanders,2/19/2016 12:00:00 AM,$0.49,$0.50,$0.48,$0.48,233
Clinton,2/20/2016 12:00:00 AM,$0.52,$0.68,$0.46,$0.68,1971
Sanders,2/20/2016 12:00:00 AM,$0.48,$0.59,$0.44,$0.46,711
Clinton,2/21/2016 12:00:00 AM,$0.68,$0.68,$0.48,$0.50,1927
Sanders,2/21/2016 12:00:00 AM,$0.46,$0.60,$0.44,$0.51,1296
Clinton,2/22/2016 12:00:00 AM,$0.50,$0.53,$0.46,$0.52,710
Sanders,2/22/2016 12:00:00 AM,$0.51,$0.61,$0.51,$0.51,881
Clinton,2/23/2016 12:00:00 AM,$0.52,$0.52,$0.44,$0.49,746
Sanders,2/23/2016 12:00:00 AM,$0.51,$0.55,$0.51,$0.53,359
Clinton,2/24/2016 12:00:00 AM,$0.49,$0.52,$0.35,$0.44,2040
Sanders,2/24/2016 12:00:00 AM,$0.53,$0.66,$0.50,$0.59,1241
Clinton,2/25/2016 12:00:00 AM,$0.44,$0.46,$0.41,$0.45,909
Sanders,2/25/2016 12:00:00 AM,$0.59,$0.59,$0.53,$0.55,907
Clinton,2/26/2016 12:00:00 AM,$0.45,$0.46,$0.36,$0.45,1445
Sanders,2/26/2016 12:00:00 AM,$0.55,$0.63,$0.55,$0.63,743
Clinton,2/27/2016 12:00:00 AM,$0.45,$0.53,$0.42,$0.53,1837
Sanders,2/27/2016 12:00:00 AM,$0.63,$0.63,$0.47,$0.47,2285
Clinton,2/28/2016 12:00:00 AM,$0.53,$0.79,$0.52,$0.74,3590
Sanders,2/28/2016 12:00:00 AM,$0.47,$0.47,$0.19,$0.30,2338
Clinton,2/29/2016 12:00:00 AM,$0.74,$0.75,$0.63,$0.65,3548
Sanders,2/29/2016 12:00:00 AM,$0.30,$0.42,$0.28,$0.42,3112
Clinton,3/1/2016 12:00:00 AM,$0.65,$0.67,$0.30,$0.40,8532
Sanders,3/1/2016 12:00:00 AM,$0.42,$0.72,$0.34,$0.70,4192
Clinton,3/2/2016 12:00:00 AM,$0.40,$0.40,$0.22,$0.25,16906
Sanders,3/2/2016 12:00:00 AM,$0.70,$0.80,$0.57,$0.76,14993
Clinton,3/3/2016 12:00:00 AM,$0.25,$0.25,$0.22,$0.23,5176
Sanders,3/3/2016 12:00:00 AM,$0.76,$0.84,$0.75,$0.82,5391
Clinton,3/4/2016 12:00:00 AM,$0.23,$0.24,$0.20,$0.22,7036
Sanders,3/4/2016 12:00:00 AM,$0.82,$0.83,$0.75,$0.80,5443
Clinton,3/5/2016 12:00:00 AM,$0.22,$0.24,$0.01,$0.01,24343
Sanders,3/5/2016 12:00:00 AM,$0.80,$0.99,$0.79,$0.99,25777
Clinton,3/6/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,3/6/2016 12:00:00 AM,$0.99,$0.99,$0.99,$0.99,0
