ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Sanders,3/22/2016 12:00:00 AM,$0.23,$0.23,$0.05,$0.12,14906
Clinton,3/22/2016 12:00:00 AM,$0.60,$0.95,$0.60,$0.90,14738
Sanders,3/23/2016 12:00:00 AM,$0.12,$0.15,$0.08,$0.10,22616
Clinton,3/23/2016 12:00:00 AM,$0.90,$0.93,$0.85,$0.92,24171
Sanders,3/24/2016 12:00:00 AM,$0.10,$0.12,$0.08,$0.11,9243
Clinton,3/24/2016 12:00:00 AM,$0.92,$0.92,$0.89,$0.90,12054
Sanders,3/25/2016 12:00:00 AM,$0.11,$0.14,$0.09,$0.12,10128
Clinton,3/25/2016 12:00:00 AM,$0.90,$0.91,$0.88,$0.90,8012
Sanders,3/26/2016 12:00:00 AM,$0.12,$0.19,$0.11,$0.18,13516
Clinton,3/26/2016 12:00:00 AM,$0.90,$0.90,$0.82,$0.85,14575
Sanders,3/27/2016 12:00:00 AM,$0.18,$0.18,$0.11,$0.14,30971
Clinton,3/27/2016 12:00:00 AM,$0.85,$0.90,$0.84,$0.87,19761
Sanders,3/28/2016 12:00:00 AM,$0.14,$0.15,$0.12,$0.13,14491
Clinton,3/28/2016 12:00:00 AM,$0.87,$0.89,$0.87,$0.87,11311
Sanders,3/29/2016 12:00:00 AM,$0.13,$0.18,$0.13,$0.15,19923
Clinton,3/29/2016 12:00:00 AM,$0.87,$0.88,$0.84,$0.84,21601
Sanders,3/30/2016 12:00:00 AM,$0.15,$0.17,$0.14,$0.15,17218
Clinton,3/30/2016 12:00:00 AM,$0.84,$0.87,$0.84,$0.85,15172
Sanders,3/31/2016 12:00:00 AM,$0.15,$0.33,$0.14,$0.22,40037
Clinton,3/31/2016 12:00:00 AM,$0.85,$0.86,$0.76,$0.79,32062
Sanders,4/1/2016 12:00:00 AM,$0.22,$0.30,$0.21,$0.25,44610
Clinton,4/1/2016 12:00:00 AM,$0.79,$0.82,$0.72,$0.78,22565
Sanders,4/2/2016 12:00:00 AM,$0.25,$0.30,$0.24,$0.28,29722
Clinton,4/2/2016 12:00:00 AM,$0.78,$0.78,$0.74,$0.75,18471
Sanders,4/3/2016 12:00:00 AM,$0.28,$0.28,$0.25,$0.26,17244
Clinton,4/3/2016 12:00:00 AM,$0.75,$0.79,$0.74,$0.77,19196
Sanders,4/4/2016 12:00:00 AM,$0.26,$0.32,$0.25,$0.29,17648
Clinton,4/4/2016 12:00:00 AM,$0.77,$0.78,$0.71,$0.72,14877
Sanders,4/5/2016 12:00:00 AM,$0.29,$0.33,$0.20,$0.24,76524
Clinton,4/5/2016 12:00:00 AM,$0.72,$0.81,$0.68,$0.77,54135
Sanders,4/6/2016 12:00:00 AM,$0.24,$0.29,$0.20,$0.24,100232
Clinton,4/6/2016 12:00:00 AM,$0.77,$0.79,$0.72,$0.78,105332
Sanders,4/7/2016 12:00:00 AM,$0.24,$0.25,$0.20,$0.21,85204
Clinton,4/7/2016 12:00:00 AM,$0.78,$0.82,$0.77,$0.81,83850
Sanders,4/8/2016 12:00:00 AM,$0.21,$0.22,$0.17,$0.19,68037
Clinton,4/8/2016 12:00:00 AM,$0.81,$0.84,$0.80,$0.83,62519
Sanders,4/9/2016 12:00:00 AM,$0.19,$0.19,$0.16,$0.16,50612
Clinton,4/9/2016 12:00:00 AM,$0.83,$0.86,$0.83,$0.85,48900
Sanders,4/10/2016 12:00:00 AM,$0.16,$0.17,$0.11,$0.13,66415
Clinton,4/10/2016 12:00:00 AM,$0.85,$0.90,$0.84,$0.89,57110
Sanders,4/11/2016 12:00:00 AM,$0.13,$0.15,$0.11,$0.11,52985
Clinton,4/11/2016 12:00:00 AM,$0.89,$0.90,$0.88,$0.89,34658
Sanders,4/12/2016 12:00:00 AM,$0.11,$0.13,$0.10,$0.10,46082
Clinton,4/12/2016 12:00:00 AM,$0.89,$0.92,$0.88,$0.91,46299
Sanders,4/13/2016 12:00:00 AM,$0.10,$0.13,$0.10,$0.13,37411
Clinton,4/13/2016 12:00:00 AM,$0.91,$0.92,$0.88,$0.89,43631
Sanders,4/14/2016 12:00:00 AM,$0.13,$0.18,$0.11,$0.11,91518
Clinton,4/14/2016 12:00:00 AM,$0.89,$0.91,$0.85,$0.90,93089
Sanders,4/15/2016 12:00:00 AM,$0.11,$0.13,$0.09,$0.10,61192
Clinton,4/15/2016 12:00:00 AM,$0.90,$0.93,$0.89,$0.93,54998
Sanders,4/16/2016 12:00:00 AM,$0.10,$0.11,$0.08,$0.08,32814
Clinton,4/16/2016 12:00:00 AM,$0.93,$0.93,$0.90,$0.91,28450
Sanders,4/17/2016 12:00:00 AM,$0.08,$0.11,$0.08,$0.11,28664
Clinton,4/17/2016 12:00:00 AM,$0.91,$0.92,$0.89,$0.90,37413
Sanders,4/18/2016 12:00:00 AM,$0.11,$0.12,$0.09,$0.10,77811
Clinton,4/18/2016 12:00:00 AM,$0.90,$0.92,$0.90,$0.90,58664
Sanders,4/19/2016 12:00:00 AM,$0.10,$0.12,$0.01,$0.01,333279
Clinton,4/19/2016 12:00:00 AM,$0.90,$0.99,$0.89,$0.99,339624
Sanders,4/20/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,4798
Clinton,4/20/2016 12:00:00 AM,$0.99,$0.99,$0.99,$0.99,2826
