ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Clinton,12/5/2015 12:00:00 AM,$0.75,$0.99,$0.75,$0.99,26
Sanders,12/5/2015 12:00:00 AM,$0.19,$0.19,$0.01,$0.03,561
Clinton,12/6/2015 12:00:00 AM,$0.99,$0.99,$0.91,$0.97,101
Sanders,12/6/2015 12:00:00 AM,$0.03,$0.07,$0.03,$0.07,128
Clinton,12/7/2015 12:00:00 AM,$0.97,$0.97,$0.95,$0.95,25
Sanders,12/7/2015 12:00:00 AM,$0.07,$0.07,$0.03,$0.06,103
Clinton,12/8/2015 12:00:00 AM,$0.95,$0.96,$0.95,$0.96,10
Sanders,12/8/2015 12:00:00 AM,$0.06,$0.06,$0.04,$0.05,366
Clinton,12/9/2015 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,1
Sanders,12/9/2015 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,141
Clinton,12/10/2015 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Sanders,12/10/2015 12:00:00 AM,$0.05,$0.06,$0.05,$0.06,77
Clinton,12/11/2015 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Sanders,12/11/2015 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,1
Clinton,12/12/2015 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Sanders,12/12/2015 12:00:00 AM,$0.06,$0.06,$0.05,$0.06,60
Clinton,12/13/2015 12:00:00 AM,$0.96,$0.96,$0.91,$0.91,110
Sanders,12/13/2015 12:00:00 AM,$0.06,$0.10,$0.06,$0.08,170
Clinton,12/14/2015 12:00:00 AM,$0.91,$0.91,$0.91,$0.91,0
Sanders,12/14/2015 12:00:00 AM,$0.08,$0.08,$0.08,$0.08,228
Clinton,12/15/2015 12:00:00 AM,$0.91,$0.91,$0.91,$0.91,0
Sanders,12/15/2015 12:00:00 AM,$0.08,$0.08,$0.08,$0.08,0
Clinton,12/16/2015 12:00:00 AM,$0.91,$0.91,$0.91,$0.91,0
Sanders,12/16/2015 12:00:00 AM,$0.08,$0.08,$0.08,$0.08,0
Clinton,12/17/2015 12:00:00 AM,$0.91,$0.91,$0.91,$0.91,0
Sanders,12/17/2015 12:00:00 AM,$0.08,$0.08,$0.08,$0.08,0
Clinton,12/18/2015 12:00:00 AM,$0.91,$0.91,$0.91,$0.91,0
Sanders,12/18/2015 12:00:00 AM,$0.08,$0.08,$0.08,$0.08,0
Clinton,12/19/2015 12:00:00 AM,$0.91,$0.91,$0.91,$0.91,0
Sanders,12/19/2015 12:00:00 AM,$0.08,$0.08,$0.08,$0.08,0
Clinton,12/20/2015 12:00:00 AM,$0.91,$0.91,$0.91,$0.91,0
Sanders,12/20/2015 12:00:00 AM,$0.08,$0.08,$0.08,$0.08,0
Clinton,12/21/2015 12:00:00 AM,$0.91,$0.91,$0.91,$0.91,0
Sanders,12/21/2015 12:00:00 AM,$0.08,$0.08,$0.08,$0.08,0
Clinton,12/22/2015 12:00:00 AM,$0.91,$0.91,$0.91,$0.91,0
Sanders,12/22/2015 12:00:00 AM,$0.08,$0.12,$0.08,$0.12,25
Clinton,12/23/2015 12:00:00 AM,$0.91,$0.91,$0.90,$0.90,10
Sanders,12/23/2015 12:00:00 AM,$0.12,$0.12,$0.12,$0.12,0
Clinton,12/24/2015 12:00:00 AM,$0.90,$0.90,$0.90,$0.90,0
Sanders,12/24/2015 12:00:00 AM,$0.12,$0.12,$0.12,$0.12,0
Clinton,12/25/2015 12:00:00 AM,$0.90,$0.90,$0.90,$0.90,0
Sanders,12/25/2015 12:00:00 AM,$0.12,$0.12,$0.12,$0.12,0
Clinton,12/26/2015 12:00:00 AM,$0.90,$0.90,$0.90,$0.90,0
Sanders,12/26/2015 12:00:00 AM,$0.12,$0.12,$0.12,$0.12,0
Clinton,12/27/2015 12:00:00 AM,$0.90,$0.90,$0.85,$0.85,25
Sanders,12/27/2015 12:00:00 AM,$0.12,$0.12,$0.12,$0.12,0
Clinton,12/28/2015 12:00:00 AM,$0.85,$0.85,$0.85,$0.85,0
Sanders,12/28/2015 12:00:00 AM,$0.12,$0.12,$0.12,$0.12,0
Clinton,12/29/2015 12:00:00 AM,$0.85,$0.85,$0.85,$0.85,0
Sanders,12/29/2015 12:00:00 AM,$0.12,$0.16,$0.12,$0.16,50
Clinton,12/30/2015 12:00:00 AM,$0.85,$0.85,$0.85,$0.85,0
Sanders,12/30/2015 12:00:00 AM,$0.16,$0.16,$0.08,$0.10,27
Clinton,12/31/2015 12:00:00 AM,$0.85,$0.85,$0.85,$0.85,0
Sanders,12/31/2015 12:00:00 AM,$0.10,$0.10,$0.10,$0.10,5
Clinton,1/1/2016 12:00:00 AM,$0.85,$0.85,$0.85,$0.85,0
Sanders,1/1/2016 12:00:00 AM,$0.10,$0.10,$0.08,$0.08,243
Clinton,1/2/2016 12:00:00 AM,$0.85,$0.85,$0.85,$0.85,0
Sanders,1/2/2016 12:00:00 AM,$0.08,$0.08,$0.08,$0.08,0
Clinton,1/3/2016 12:00:00 AM,$0.85,$0.85,$0.85,$0.85,0
Sanders,1/3/2016 12:00:00 AM,$0.08,$0.15,$0.08,$0.15,5
Clinton,1/4/2016 12:00:00 AM,$0.85,$0.85,$0.85,$0.85,0
Sanders,1/4/2016 12:00:00 AM,$0.15,$0.15,$0.10,$0.12,105
Clinton,1/5/2016 12:00:00 AM,$0.85,$0.85,$0.83,$0.83,125
Sanders,1/5/2016 12:00:00 AM,$0.12,$0.17,$0.12,$0.17,325
Clinton,1/6/2016 12:00:00 AM,$0.83,$0.83,$0.83,$0.83,0
Sanders,1/6/2016 12:00:00 AM,$0.17,$0.17,$0.17,$0.17,0
Clinton,1/7/2016 12:00:00 AM,$0.83,$0.87,$0.83,$0.87,10
Sanders,1/7/2016 12:00:00 AM,$0.17,$0.17,$0.13,$0.15,16
Clinton,1/8/2016 12:00:00 AM,$0.87,$0.92,$0.87,$0.92,1
Sanders,1/8/2016 12:00:00 AM,$0.15,$0.18,$0.10,$0.18,2
Clinton,1/9/2016 12:00:00 AM,$0.92,$0.92,$0.83,$0.83,1
Sanders,1/9/2016 12:00:00 AM,$0.18,$0.18,$0.17,$0.17,1
Clinton,1/10/2016 12:00:00 AM,$0.83,$0.83,$0.83,$0.83,0
Sanders,1/10/2016 12:00:00 AM,$0.17,$0.17,$0.12,$0.12,1
Clinton,1/11/2016 12:00:00 AM,$0.83,$0.84,$0.80,$0.80,105
Sanders,1/11/2016 12:00:00 AM,$0.12,$0.20,$0.12,$0.20,176
Clinton,1/12/2016 12:00:00 AM,$0.80,$0.80,$0.75,$0.75,345
Sanders,1/12/2016 12:00:00 AM,$0.20,$0.33,$0.17,$0.33,675
Clinton,1/13/2016 12:00:00 AM,$0.75,$0.79,$0.67,$0.79,100
Sanders,1/13/2016 12:00:00 AM,$0.33,$0.33,$0.22,$0.22,24
Clinton,1/14/2016 12:00:00 AM,$0.79,$0.79,$0.79,$0.79,0
