ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Sanders,3/29/2016 12:00:00 AM,$0.60,$0.74,$0.37,$0.69,10840
Clinton,3/29/2016 12:00:00 AM,$0.65,$0.77,$0.26,$0.36,8535
Sanders,3/30/2016 12:00:00 AM,$0.69,$0.69,$0.62,$0.63,4996
Clinton,3/30/2016 12:00:00 AM,$0.36,$0.40,$0.32,$0.40,6224
Sanders,3/31/2016 12:00:00 AM,$0.63,$0.66,$0.59,$0.65,4666
Clinton,3/31/2016 12:00:00 AM,$0.40,$0.40,$0.35,$0.39,3951
Sanders,4/1/2016 12:00:00 AM,$0.65,$0.99,$0.63,$0.67,4066
Clinton,4/1/2016 12:00:00 AM,$0.39,$0.39,$0.18,$0.32,6915
Sanders,4/2/2016 12:00:00 AM,$0.67,$0.70,$0.66,$0.67,438
Clinton,4/2/2016 12:00:00 AM,$0.32,$0.33,$0.30,$0.32,369
Sanders,4/3/2016 12:00:00 AM,$0.67,$0.70,$0.67,$0.67,922
Clinton,4/3/2016 12:00:00 AM,$0.32,$0.33,$0.30,$0.31,1006
Sanders,4/4/2016 12:00:00 AM,$0.67,$0.70,$0.67,$0.70,1217
Clinton,4/4/2016 12:00:00 AM,$0.31,$0.33,$0.30,$0.30,745
Sanders,4/5/2016 12:00:00 AM,$0.70,$0.74,$0.62,$0.65,8415
Clinton,4/5/2016 12:00:00 AM,$0.30,$0.38,$0.26,$0.36,6922
Sanders,4/6/2016 12:00:00 AM,$0.65,$0.69,$0.64,$0.65,3766
Clinton,4/6/2016 12:00:00 AM,$0.36,$0.36,$0.32,$0.35,4529
Sanders,4/7/2016 12:00:00 AM,$0.65,$0.66,$0.50,$0.57,7170
Clinton,4/7/2016 12:00:00 AM,$0.35,$0.51,$0.35,$0.41,5351
Sanders,4/8/2016 12:00:00 AM,$0.57,$0.65,$0.56,$0.59,2124
Clinton,4/8/2016 12:00:00 AM,$0.41,$0.45,$0.35,$0.42,3499
