ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Clinton,3/22/2016 12:00:00 AM,$0.56,$0.56,$0.16,$0.28,10639
Sanders,3/22/2016 12:00:00 AM,$0.69,$0.90,$0.53,$0.75,9496
Clinton,3/23/2016 12:00:00 AM,$0.28,$0.60,$0.15,$0.49,72903
Sanders,3/23/2016 12:00:00 AM,$0.75,$0.86,$0.50,$0.52,78892
Clinton,3/24/2016 12:00:00 AM,$0.49,$0.54,$0.45,$0.46,29521
Sanders,3/24/2016 12:00:00 AM,$0.52,$0.55,$0.48,$0.55,36735
Clinton,3/25/2016 12:00:00 AM,$0.46,$0.47,$0.39,$0.40,19803
Sanders,3/25/2016 12:00:00 AM,$0.55,$0.63,$0.54,$0.60,21604
Clinton,3/26/2016 12:00:00 AM,$0.40,$0.44,$0.29,$0.33,29098
Sanders,3/26/2016 12:00:00 AM,$0.60,$0.72,$0.58,$0.70,34350
Clinton,3/27/2016 12:00:00 AM,$0.33,$0.35,$0.25,$0.31,86619
Sanders,3/27/2016 12:00:00 AM,$0.70,$0.75,$0.68,$0.70,104502
Clinton,3/28/2016 12:00:00 AM,$0.31,$0.36,$0.28,$0.34,50138
Sanders,3/28/2016 12:00:00 AM,$0.70,$0.73,$0.66,$0.67,71916
Clinton,3/29/2016 12:00:00 AM,$0.34,$0.34,$0.28,$0.30,49107
Sanders,3/29/2016 12:00:00 AM,$0.67,$0.73,$0.67,$0.71,47508
Clinton,3/30/2016 12:00:00 AM,$0.30,$0.32,$0.17,$0.19,92898
Sanders,3/30/2016 12:00:00 AM,$0.71,$0.84,$0.69,$0.82,96156
Clinton,3/31/2016 12:00:00 AM,$0.19,$0.22,$0.10,$0.12,57302
Sanders,3/31/2016 12:00:00 AM,$0.82,$0.90,$0.80,$0.88,56179
Clinton,4/1/2016 12:00:00 AM,$0.12,$0.15,$0.11,$0.14,23794
Sanders,4/1/2016 12:00:00 AM,$0.88,$0.90,$0.86,$0.88,22158
Clinton,4/2/2016 12:00:00 AM,$0.14,$0.27,$0.11,$0.27,56955
Sanders,4/2/2016 12:00:00 AM,$0.88,$0.88,$0.75,$0.77,84133
Clinton,4/3/2016 12:00:00 AM,$0.27,$0.29,$0.17,$0.17,53919
Sanders,4/3/2016 12:00:00 AM,$0.77,$0.84,$0.76,$0.83,73206
Clinton,4/4/2016 12:00:00 AM,$0.17,$0.19,$0.11,$0.13,77547
Sanders,4/4/2016 12:00:00 AM,$0.83,$0.90,$0.82,$0.88,90487
Clinton,4/5/2016 12:00:00 AM,$0.13,$0.15,$0.01,$0.01,158825
Sanders,4/5/2016 12:00:00 AM,$0.88,$0.99,$0.87,$0.99,166875
Clinton,4/6/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,804
Sanders,4/6/2016 12:00:00 AM,$0.99,$0.99,$0.99,$0.99,1476
