ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Biden,12/6/2019 12:00:00 AM,$0.70,$0.71,$0.69,$0.71,711
O'Rourke,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/6/2019 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Warren,12/6/2019 12:00:00 AM,$0.04,$0.05,$0.03,$0.03,515
Klobuchar,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,23
Steyer,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/6/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,143
Buttigieg,12/6/2019 12:00:00 AM,$0.07,$0.09,$0.07,$0.09,18
Gabbard,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,74
Clinton,12/6/2019 12:00:00 AM,$0.04,$0.05,$0.04,$0.04,349
Castro,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,12/6/2019 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,23
Biden,12/7/2019 12:00:00 AM,$0.71,$0.71,$0.69,$0.69,39
O'Rourke,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/7/2019 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,117
Warren,12/7/2019 12:00:00 AM,$0.03,$0.04,$0.03,$0.03,576
Klobuchar,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Steyer,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/7/2019 12:00:00 AM,$0.02,$0.04,$0.02,$0.04,1544
Buttigieg,12/7/2019 12:00:00 AM,$0.09,$0.10,$0.08,$0.08,66
Gabbard,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2
Clinton,12/7/2019 12:00:00 AM,$0.04,$0.05,$0.04,$0.05,226
Castro,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,12/7/2019 12:00:00 AM,$0.07,$0.08,$0.07,$0.07,1154
Biden,12/8/2019 12:00:00 AM,$0.69,$0.70,$0.69,$0.69,301
O'Rourke,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,10
Sanders,12/8/2019 12:00:00 AM,$0.06,$0.06,$0.05,$0.05,74
Warren,12/8/2019 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,360
Klobuchar,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,12
Steyer,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/8/2019 12:00:00 AM,$0.04,$0.04,$0.03,$0.03,121
Buttigieg,12/8/2019 12:00:00 AM,$0.08,$0.08,$0.08,$0.08,1
Gabbard,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,21
Clinton,12/8/2019 12:00:00 AM,$0.05,$0.06,$0.04,$0.05,382
Castro,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,12/8/2019 12:00:00 AM,$0.07,$0.07,$0.06,$0.06,332
Biden,12/9/2019 12:00:00 AM,$0.69,$0.69,$0.67,$0.67,200
O'Rourke,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
