ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Biden,12/20/2019 12:00:00 AM,$0.25,$0.32,$0.24,$0.29,4654
O'Rourke,12/20/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/20/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/20/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/20/2019 12:00:00 AM,$0.38,$0.44,$0.37,$0.40,4434
Warren,12/20/2019 12:00:00 AM,$0.16,$0.18,$0.14,$0.15,2058
Klobuchar,12/20/2019 12:00:00 AM,$0.05,$0.06,$0.03,$0.04,2003
Yang,12/20/2019 12:00:00 AM,$0.07,$0.07,$0.05,$0.05,2119
Buttigieg,12/20/2019 12:00:00 AM,$0.11,$0.12,$0.10,$0.10,1140
Gabbard,12/20/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/20/2019 12:00:00 AM,$0.03,$0.04,$0.01,$0.01,4634
Bloomberg,12/20/2019 12:00:00 AM,$0.05,$0.08,$0.05,$0.06,5536
Patrick,12/20/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,12/21/2019 12:00:00 AM,$0.29,$0.29,$0.27,$0.27,523
O'Rourke,12/21/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/21/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/21/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/21/2019 12:00:00 AM,$0.40,$0.44,$0.40,$0.44,2457
Warren,12/21/2019 12:00:00 AM,$0.15,$0.17,$0.15,$0.15,906
Klobuchar,12/21/2019 12:00:00 AM,$0.04,$0.05,$0.04,$0.04,1906
Yang,12/21/2019 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,148
Buttigieg,12/21/2019 12:00:00 AM,$0.10,$0.11,$0.09,$0.09,1422
Gabbard,12/21/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/21/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,11314
Bloomberg,12/21/2019 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,1252
Patrick,12/21/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,12/22/2019 12:00:00 AM,$0.27,$0.28,$0.27,$0.27,2814
O'Rourke,12/22/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/22/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/22/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/22/2019 12:00:00 AM,$0.44,$0.45,$0.41,$0.43,1838
Warren,12/22/2019 12:00:00 AM,$0.15,$0.16,$0.14,$0.15,1558
Klobuchar,12/22/2019 12:00:00 AM,$0.04,$0.04,$0.03,$0.03,966
Yang,12/22/2019 12:00:00 AM,$0.05,$0.07,$0.05,$0.06,7049
Buttigieg,12/22/2019 12:00:00 AM,$0.09,$0.11,$0.08,$0.08,1003
Gabbard,12/22/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/22/2019 12:00:00 AM,$0.02,$0.03,$0.01,$0.02,3125
Bloomberg,12/22/2019 12:00:00 AM,$0.06,$0.06,$0.05,$0.05,1266
Patrick,12/22/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,12/23/2019 12:00:00 AM,$0.27,$0.27,$0.26,$0.26,1043
O'Rourke,12/23/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/23/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/23/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/23/2019 12:00:00 AM,$0.43,$0.48,$0.43,$0.46,3360
Warren,12/23/2019 12:00:00 AM,$0.15,$0.15,$0.13,$0.13,1905
Klobuchar,12/23/2019 12:00:00 AM,$0.03,$0.04,$0.03,$0.03,1218
Yang,12/23/2019 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,1935
Buttigieg,12/23/2019 12:00:00 AM,$0.08,$0.11,$0.08,$0.08,1719
Gabbard,12/23/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/23/2019 12:00:00 AM,$0.02,$0.03,$0.02,$0.02,1529
Bloomberg,12/23/2019 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,1716
Patrick,12/23/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,12/24/2019 12:00:00 AM,$0.26,$0.27,$0.26,$0.26,359
O'Rourke,12/24/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/24/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/24/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/24/2019 12:00:00 AM,$0.46,$0.48,$0.42,$0.46,1603
Warren,12/24/2019 12:00:00 AM,$0.13,$0.13,$0.12,$0.12,742
Klobuchar,12/24/2019 12:00:00 AM,$0.03,$0.04,$0.03,$0.03,45
Yang,12/24/2019 12:00:00 AM,$0.06,$0.07,$0.06,$0.06,90
Buttigieg,12/24/2019 12:00:00 AM,$0.08,$0.09,$0.07,$0.09,281
Gabbard,12/24/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/24/2019 12:00:00 AM,$0.02,$0.03,$0.02,$0.03,1251
Bloomberg,12/24/2019 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,995
Patrick,12/24/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,12/25/2019 12:00:00 AM,$0.26,$0.29,$0.26,$0.29,1664
O'Rourke,12/25/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/25/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/25/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
Sanders,12/25/2019 12:00:00 AM,$0.46,$0.46,$0.42,$0.42,514
Warren,12/25/2019 12:00:00 AM,$0.12,$0.14,$0.12,$0.13,919
Klobuchar,12/25/2019 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,159
Yang,12/25/2019 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,192
Buttigieg,12/25/2019 12:00:00 AM,$0.09,$0.09,$0.08,$0.08,79
Gabbard,12/25/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/25/2019 12:00:00 AM,$0.03,$0.03,$0.01,$0.01,145
Bloomberg,12/25/2019 12:00:00 AM,$0.04,$0.05,$0.04,$0.05,1111
Patrick,12/25/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,12/26/2019 12:00:00 AM,$0.29,$0.29,$0.28,$0.29,46
O'Rourke,12/26/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/26/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/26/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/26/2019 12:00:00 AM,$0.42,$0.44,$0.40,$0.41,1353
Warren,12/26/2019 12:00:00 AM,$0.13,$0.13,$0.12,$0.12,268
Klobuchar,12/26/2019 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,66
Yang,12/26/2019 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,136
Buttigieg,12/26/2019 12:00:00 AM,$0.08,$0.10,$0.08,$0.08,432
Gabbard,12/26/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/26/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
Bloomberg,12/26/2019 12:00:00 AM,$0.05,$0.06,$0.05,$0.05,161
Patrick,12/26/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,12/27/2019 12:00:00 AM,$0.29,$0.29,$0.28,$0.29,2884
O'Rourke,12/27/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/27/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/27/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/27/2019 12:00:00 AM,$0.41,$0.42,$0.40,$0.42,1010
