ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Biden,12/8/2019 12:00:00 AM,$0.13,$0.15,$0.12,$0.12,630
O'Rourke,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,10
Sanders,12/8/2019 12:00:00 AM,$0.41,$0.43,$0.37,$0.42,656
Warren,12/8/2019 12:00:00 AM,$0.12,$0.16,$0.11,$0.11,481
Klobuchar,12/8/2019 12:00:00 AM,$0.03,$0.03,$0.02,$0.02,32
Steyer,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/8/2019 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,31
Buttigieg,12/8/2019 12:00:00 AM,$0.16,$0.18,$0.15,$0.18,173
Gabbard,12/8/2019 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,439
Clinton,12/8/2019 12:00:00 AM,$0.04,$0.04,$0.02,$0.03,1125
Castro,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,12/8/2019 12:00:00 AM,$0.06,$0.06,$0.05,$0.05,50
Patrick,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,12/9/2019 12:00:00 AM,$0.12,$0.15,$0.12,$0.15,82
O'Rourke,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/9/2019 12:00:00 AM,$0.42,$0.44,$0.39,$0.43,1274
Warren,12/9/2019 12:00:00 AM,$0.11,$0.11,$0.11,$0.11,0
Klobuchar,12/9/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,150
Steyer,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/9/2019 12:00:00 AM,$0.03,$0.04,$0.03,$0.04,25
Buttigieg,12/9/2019 12:00:00 AM,$0.18,$0.18,$0.17,$0.17,98
