ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Biden,12/13/2019 12:00:00 AM,$0.17,$0.18,$0.17,$0.18,41
Harris,12/13/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/13/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/13/2019 12:00:00 AM,$0.42,$0.42,$0.40,$0.40,474
Warren,12/13/2019 12:00:00 AM,$0.18,$0.18,$0.15,$0.17,95
Klobuchar,12/13/2019 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,704
Steyer,12/13/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/13/2019 12:00:00 AM,$0.03,$0.04,$0.03,$0.04,25
Buttigieg,12/13/2019 12:00:00 AM,$0.13,$0.13,$0.11,$0.11,86
Gabbard,12/13/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/13/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,0
Biden,12/14/2019 12:00:00 AM,$0.18,$0.18,$0.18,$0.18,0
Harris,12/14/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/14/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/14/2019 12:00:00 AM,$0.40,$0.44,$0.40,$0.44,620
Warren,12/14/2019 12:00:00 AM,$0.17,$0.17,$0.11,$0.11,889
Klobuchar,12/14/2019 12:00:00 AM,$0.04,$0.04,$0.03,$0.03,106
Steyer,12/14/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/14/2019 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,9
Buttigieg,12/14/2019 12:00:00 AM,$0.11,$0.11,$0.11,$0.11,549
Gabbard,12/14/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/14/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,0
Biden,12/15/2019 12:00:00 AM,$0.18,$0.18,$0.18,$0.18,0
Harris,12/15/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/15/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/15/2019 12:00:00 AM,$0.44,$0.45,$0.41,$0.44,172
Warren,12/15/2019 12:00:00 AM,$0.11,$0.15,$0.11,$0.15,5
Klobuchar,12/15/2019 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,0
Steyer,12/15/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/15/2019 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,2
Buttigieg,12/15/2019 12:00:00 AM,$0.11,$0.11,$0.10,$0.10,61
Gabbard,12/15/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,178
Clinton,12/15/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,0
Biden,12/16/2019 12:00:00 AM,$0.18,$0.18,$0.18,$0.18,0
Harris,12/16/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/16/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/16/2019 12:00:00 AM,$0.44,$0.45,$0.42,$0.44,433
Warren,12/16/2019 12:00:00 AM,$0.15,$0.15,$0.15,$0.15,0
Klobuchar,12/16/2019 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,0
Steyer,12/16/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/16/2019 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,3
Buttigieg,12/16/2019 12:00:00 AM,$0.10,$0.11,$0.10,$0.11,290
Gabbard,12/16/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/16/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,0
Biden,12/17/2019 12:00:00 AM,$0.18,$0.18,$0.18,$0.18,0
Harris,12/17/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/17/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/17/2019 12:00:00 AM,$0.44,$0.45,$0.43,$0.45,31
Warren,12/17/2019 12:00:00 AM,$0.15,$0.15,$0.15,$0.15,0
Klobuchar,12/17/2019 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,0
Steyer,12/17/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/17/2019 12:00:00 AM,$0.04,$0.04,$0.02,$0.03,2
Buttigieg,12/17/2019 12:00:00 AM,$0.11,$0.11,$0.11,$0.11,0
Gabbard,12/17/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/17/2019 12:00:00 AM,$0.02,$0.07,$0.02,$0.06,1221
Biden,12/18/2019 12:00:00 AM,$0.18,$0.18,$0.18,$0.18,0
Harris,12/18/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/18/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/18/2019 12:00:00 AM,$0.45,$0.45,$0.44,$0.44,29
Warren,12/18/2019 12:00:00 AM,$0.15,$0.15,$0.10,$0.10,5
Klobuchar,12/18/2019 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,0
Steyer,12/18/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/18/2019 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,876
Buttigieg,12/18/2019 12:00:00 AM,$0.11,$0.11,$0.11,$0.11,0
Gabbard,12/18/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,3
Clinton,12/18/2019 12:00:00 AM,$0.06,$0.06,$0.04,$0.04,759
Biden,12/19/2019 12:00:00 AM,$0.18,$0.19,$0.18,$0.19,354
Harris,12/19/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/19/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/19/2019 12:00:00 AM,$0.44,$0.46,$0.44,$0.45,110
Warren,12/19/2019 12:00:00 AM,$0.10,$0.10,$0.10,$0.10,0
Klobuchar,12/19/2019 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,0
Steyer,12/19/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/19/2019 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,2
Buttigieg,12/19/2019 12:00:00 AM,$0.11,$0.13,$0.09,$0.13,19
Gabbard,12/19/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/19/2019 12:00:00 AM,$0.04,$0.04,$0.03,$0.03,224
Biden,12/20/2019 12:00:00 AM,$0.19,$0.21,$0.19,$0.21,51
Harris,12/20/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/20/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/20/2019 12:00:00 AM,$0.45,$0.46,$0.44,$0.46,73
Warren,12/20/2019 12:00:00 AM,$0.10,$0.10,$0.10,$0.10,0
Klobuchar,12/20/2019 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,1
Steyer,12/20/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/20/2019 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,0
Buttigieg,12/20/2019 12:00:00 AM,$0.13,$0.13,$0.11,$0.12,3
Gabbard,12/20/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/20/2019 12:00:00 AM,$0.03,$0.04,$0.03,$0.04,1
