ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Biden,12/13/2019 12:00:00 AM,$0.71,$0.71,$0.65,$0.71,105
Harris,12/13/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/13/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/13/2019 12:00:00 AM,$0.11,$0.11,$0.11,$0.11,21
Warren,12/13/2019 12:00:00 AM,$0.06,$0.06,$0.05,$0.05,60
Klobuchar,12/13/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,903
Steyer,12/13/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/13/2019 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,0
Buttigieg,12/13/2019 12:00:00 AM,$0.10,$0.10,$0.10,$0.10,16
Gabbard,12/13/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/13/2019 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,17
Biden,12/14/2019 12:00:00 AM,$0.71,$0.71,$0.71,$0.71,4
Harris,12/14/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/14/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/14/2019 12:00:00 AM,$0.11,$0.11,$0.10,$0.10,137
Warren,12/14/2019 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,14
Klobuchar,12/14/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,0
Steyer,12/14/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/14/2019 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,1014
Buttigieg,12/14/2019 12:00:00 AM,$0.10,$0.10,$0.10,$0.10,137
Gabbard,12/14/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/14/2019 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,7
Biden,12/15/2019 12:00:00 AM,$0.71,$0.71,$0.71,$0.71,0
Harris,12/15/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/15/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/15/2019 12:00:00 AM,$0.10,$0.10,$0.10,$0.10,0
