ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Biden,12/13/2019 12:00:00 AM,$0.40,$0.42,$0.40,$0.42,81
Harris,12/13/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/13/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/13/2019 12:00:00 AM,$0.26,$0.32,$0.25,$0.25,232
Warren,12/13/2019 12:00:00 AM,$0.05,$0.10,$0.05,$0.10,762
Klobuchar,12/13/2019 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,755
Yang,12/13/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,714
Buttigieg,12/13/2019 12:00:00 AM,$0.14,$0.14,$0.13,$0.13,697
Gabbard,12/13/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/13/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,718
Biden,12/14/2019 12:00:00 AM,$0.42,$0.49,$0.42,$0.49,423
Harris,12/14/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/14/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/14/2019 12:00:00 AM,$0.25,$0.25,$0.25,$0.25,10
Warren,12/14/2019 12:00:00 AM,$0.10,$0.11,$0.10,$0.10,209
Klobuchar,12/14/2019 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,105
Yang,12/14/2019 12:00:00 AM,$0.02,$0.03,$0.02,$0.03,547
Buttigieg,12/14/2019 12:00:00 AM,$0.13,$0.13,$0.12,$0.12,49
Gabbard,12/14/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/14/2019 12:00:00 AM,$0.01,$0.04,$0.01,$0.02,866
Biden,12/15/2019 12:00:00 AM,$0.49,$0.57,$0.47,$0.57,393
Harris,12/15/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/15/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/15/2019 12:00:00 AM,$0.25,$0.25,$0.24,$0.24,1086
Warren,12/15/2019 12:00:00 AM,$0.10,$0.11,$0.10,$0.10,108
Klobuchar,12/15/2019 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,97
Yang,12/15/2019 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,122
Buttigieg,12/15/2019 12:00:00 AM,$0.12,$0.12,$0.08,$0.08,100
Gabbard,12/15/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/15/2019 12:00:00 AM,$0.02,$0.05,$0.02,$0.02,173
Biden,12/16/2019 12:00:00 AM,$0.57,$0.59,$0.56,$0.59,957
Harris,12/16/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/16/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/16/2019 12:00:00 AM,$0.24,$0.24,$0.24,$0.24,0
