ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Biden,12/3/2019 12:00:00 AM,$0.66,$0.74,$0.65,$0.71,6008
O'Rourke,12/3/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/3/2019 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,9396
Booker,12/3/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,639
Sanders,12/3/2019 12:00:00 AM,$0.08,$0.09,$0.08,$0.08,1833
Warren,12/3/2019 12:00:00 AM,$0.08,$0.08,$0.07,$0.07,990
Klobuchar,12/3/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,536
Gillibrand,12/3/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/3/2019 12:00:00 AM,$0.04,$0.05,$0.03,$0.04,212
Buttigieg,12/3/2019 12:00:00 AM,$0.10,$0.10,$0.09,$0.09,1350
Gabbard,12/3/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/3/2019 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,274
Steyer,12/3/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,12/3/2019 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,3852
Patrick,12/3/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2703
Biden,12/4/2019 12:00:00 AM,$0.71,$0.73,$0.69,$0.72,2657
O'Rourke,12/4/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/4/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/4/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,935
Sanders,12/4/2019 12:00:00 AM,$0.08,$0.09,$0.07,$0.07,2357
Warren,12/4/2019 12:00:00 AM,$0.07,$0.08,$0.07,$0.07,1193
Klobuchar,12/4/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,1029
Gillibrand,12/4/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/4/2019 12:00:00 AM,$0.04,$0.04,$0.03,$0.03,718
Buttigieg,12/4/2019 12:00:00 AM,$0.09,$0.10,$0.09,$0.09,2927
Gabbard,12/4/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/4/2019 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,3589
Steyer,12/4/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2000
Bloomberg,12/4/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2115
Patrick,12/4/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2358
Biden,12/5/2019 12:00:00 AM,$0.72,$0.73,$0.70,$0.72,3411
O'Rourke,12/5/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/5/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/5/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,6553
Sanders,12/5/2019 12:00:00 AM,$0.07,$0.09,$0.07,$0.09,7952
Warren,12/5/2019 12:00:00 AM,$0.07,$0.07,$0.06,$0.06,129
Klobuchar,12/5/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,352
Gillibrand,12/5/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/5/2019 12:00:00 AM,$0.03,$0.04,$0.03,$0.04,234
Buttigieg,12/5/2019 12:00:00 AM,$0.09,$0.10,$0.09,$0.10,3643
Gabbard,12/5/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,50
