ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Biden,12/6/2019 12:00:00 AM,$0.42,$0.43,$0.37,$0.37,350
O'Rourke,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/6/2019 12:00:00 AM,$0.09,$0.11,$0.07,$0.07,1200
Warren,12/6/2019 12:00:00 AM,$0.14,$0.15,$0.14,$0.15,55
Klobuchar,12/6/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,96
Steyer,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/6/2019 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,109
Buttigieg,12/6/2019 12:00:00 AM,$0.20,$0.20,$0.18,$0.18,10
Gabbard,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,218
Clinton,12/6/2019 12:00:00 AM,$0.05,$0.05,$0.03,$0.03,26
Bloomberg,12/6/2019 12:00:00 AM,$0.07,$0.09,$0.07,$0.09,349
Patrick,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,12/7/2019 12:00:00 AM,$0.37,$0.41,$0.37,$0.41,8
O'Rourke,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/7/2019 12:00:00 AM,$0.07,$0.10,$0.07,$0.07,210
Warren,12/7/2019 12:00:00 AM,$0.15,$0.15,$0.11,$0.11,76
Klobuchar,12/7/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,25
Steyer,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/7/2019 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,95
Buttigieg,12/7/2019 12:00:00 AM,$0.18,$0.19,$0.18,$0.18,28
Gabbard,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,909
Clinton,12/7/2019 12:00:00 AM,$0.03,$0.05,$0.03,$0.05,127
Bloomberg,12/7/2019 12:00:00 AM,$0.09,$0.09,$0.09,$0.09,0
Patrick,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,12/8/2019 12:00:00 AM,$0.41,$0.45,$0.38,$0.45,727
O'Rourke,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
