"","state","contest_date","name","date","market_close","market_volume","poll_estimate","poll_trend_adjusted"
"1","Wisconsin",2020-04-07,"Joe Biden",2020-01-16,0.39,289,0.2234452,0.2169
"2","Wisconsin",2020-04-07,"Bernie Sanders",2020-01-16,0.45,37,0.1909088,0.2021
"3","Wisconsin",2020-04-07,"Elizabeth Warren",2020-01-16,0.08,5,0.1741487,0.1615
"4","Wisconsin",2020-04-07,"Amy Klobuchar",2020-01-16,0.01,2,0.03039664,0.0362
"5","Wisconsin",2020-04-07,"Andrew Yang",2020-01-16,0.02,128,0.03248811,0.0355
"6","Wisconsin",2020-04-07,"Pete Buttigieg",2020-01-16,0.08,0,0.1015424,0.0974
"7","Wisconsin",2020-04-07,"Tulsi Gabbard",2020-01-16,0.01,0,0.01521863,0.0165
"8","Wisconsin",2020-04-07,"Michael Bloomberg",2020-01-16,0.03,1606,0.06125256,0.0661
"9","Wisconsin",2020-04-07,"Joe Biden",2020-01-17,0.39,0,0.2235856,0.2241
"10","Wisconsin",2020-04-07,"Bernie Sanders",2020-01-17,0.44,50,0.1909743,0.2044
"11","Wisconsin",2020-04-07,"Elizabeth Warren",2020-01-17,0.08,5,0.1741179,0.1578
"12","Wisconsin",2020-04-07,"Amy Klobuchar",2020-01-17,0.01,0,0.02942931,0.0337
"13","Wisconsin",2020-04-07,"Andrew Yang",2020-01-17,0.02,2,0.03168158,0.0358
"14","Wisconsin",2020-04-07,"Pete Buttigieg",2020-01-17,0.08,0,0.1016104,0.1032
"15","Wisconsin",2020-04-07,"Tulsi Gabbard",2020-01-17,0.01,0,0.01514572,0.017
"16","Wisconsin",2020-04-07,"Michael Bloomberg",2020-01-17,0.06,1104,0.06082006,0.0683
"17","Wisconsin",2020-04-07,"Joe Biden",2020-01-18,0.34,3,0.2235856,0.2241
"18","Wisconsin",2020-04-07,"Bernie Sanders",2020-01-18,0.46,220,0.1909743,0.2044
"19","Wisconsin",2020-04-07,"Elizabeth Warren",2020-01-18,0.08,5,0.1741179,0.1578
"20","Wisconsin",2020-04-07,"Amy Klobuchar",2020-01-18,0.01,0,0.02942931,0.0337
"21","Wisconsin",2020-04-07,"Andrew Yang",2020-01-18,0.02,200,0.03168158,0.0358
"22","Wisconsin",2020-04-07,"Pete Buttigieg",2020-01-18,0.09,226,0.1016104,0.1032
"23","Wisconsin",2020-04-07,"Tulsi Gabbard",2020-01-18,0.01,100,0.01514572,0.017
"24","Wisconsin",2020-04-07,"Michael Bloomberg",2020-01-18,0.05,300,0.06082006,0.0683
"25","Wisconsin",2020-04-07,"Joe Biden",2020-01-19,0.37,8,0.2235872,0.2241
"26","Wisconsin",2020-04-07,"Bernie Sanders",2020-01-19,0.45,3,0.1908897,0.2043
"27","Wisconsin",2020-04-07,"Elizabeth Warren",2020-01-19,0.08,7,0.1741372,0.1578
"28","Wisconsin",2020-04-07,"Amy Klobuchar",2020-01-19,0.03,1344,0.02943482,0.0337
