ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Clinton,12/5/2015 12:00:00 AM,$0.80,$0.96,$0.77,$0.96,87
Clinton,12/6/2015 12:00:00 AM,$0.96,$0.96,$0.94,$0.94,50
Sanders,12/6/2015 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,200
Clinton,12/7/2015 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Sanders,12/7/2015 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Clinton,12/8/2015 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Sanders,12/8/2015 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Clinton,12/9/2015 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Sanders,12/9/2015 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Clinton,12/10/2015 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Sanders,12/10/2015 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,102
Clinton,12/11/2015 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Sanders,12/11/2015 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Clinton,12/12/2015 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Sanders,12/12/2015 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Clinton,12/13/2015 12:00:00 AM,$0.94,$0.94,$0.91,$0.91,100
Sanders,12/13/2015 12:00:00 AM,$0.04,$0.09,$0.04,$0.09,258
Clinton,12/14/2015 12:00:00 AM,$0.91,$0.91,$0.91,$0.91,0
Sanders,12/14/2015 12:00:00 AM,$0.09,$0.24,$0.06,$0.17,4
Clinton,12/15/2015 12:00:00 AM,$0.91,$0.91,$0.91,$0.91,0
Sanders,12/15/2015 12:00:00 AM,$0.17,$0.17,$0.16,$0.16,2
Clinton,12/16/2015 12:00:00 AM,$0.91,$0.91,$0.91,$0.91,0
Sanders,12/16/2015 12:00:00 AM,$0.16,$0.16,$0.16,$0.16,0
Clinton,12/17/2015 12:00:00 AM,$0.91,$0.91,$0.91,$0.91,0
Sanders,12/17/2015 12:00:00 AM,$0.16,$0.16,$0.14,$0.14,1
Clinton,12/18/2015 12:00:00 AM,$0.91,$0.92,$0.88,$0.92,12
Sanders,12/18/2015 12:00:00 AM,$0.14,$0.14,$0.04,$0.08,45
Clinton,12/19/2015 12:00:00 AM,$0.92,$0.94,$0.91,$0.94,609
Sanders,12/19/2015 12:00:00 AM,$0.08,$0.09,$0.08,$0.08,582
Clinton,12/20/2015 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Sanders,12/20/2015 12:00:00 AM,$0.08,$0.08,$0.08,$0.08,0
Clinton,12/21/2015 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Sanders,12/21/2015 12:00:00 AM,$0.08,$0.08,$0.08,$0.08,0
Clinton,12/22/2015 12:00:00 AM,$0.94,$0.94,$0.90,$0.90,10
Sanders,12/22/2015 12:00:00 AM,$0.08,$0.10,$0.08,$0.10,10
Clinton,12/23/2015 12:00:00 AM,$0.90,$0.90,$0.90,$0.90,0
Sanders,12/23/2015 12:00:00 AM,$0.10,$0.10,$0.10,$0.10,0
Clinton,12/24/2015 12:00:00 AM,$0.90,$0.90,$0.89,$0.89,1
Sanders,12/24/2015 12:00:00 AM,$0.10,$0.10,$0.10,$0.10,0
Clinton,12/25/2015 12:00:00 AM,$0.89,$0.89,$0.89,$0.89,0
Sanders,12/25/2015 12:00:00 AM,$0.10,$0.10,$0.10,$0.10,0
Clinton,12/26/2015 12:00:00 AM,$0.89,$0.89,$0.89,$0.89,0
Sanders,12/26/2015 12:00:00 AM,$0.10,$0.10,$0.10,$0.10,0
Clinton,12/27/2015 12:00:00 AM,$0.89,$0.89,$0.88,$0.88,25
Sanders,12/27/2015 12:00:00 AM,$0.10,$0.10,$0.10,$0.10,0
Clinton,12/28/2015 12:00:00 AM,$0.88,$0.88,$0.88,$0.88,0
Sanders,12/28/2015 12:00:00 AM,$0.10,$0.10,$0.10,$0.10,0
Clinton,12/29/2015 12:00:00 AM,$0.88,$0.88,$0.88,$0.88,0
Sanders,12/29/2015 12:00:00 AM,$0.10,$0.10,$0.10,$0.10,0
Clinton,12/30/2015 12:00:00 AM,$0.88,$0.88,$0.88,$0.88,10
Sanders,12/30/2015 12:00:00 AM,$0.10,$0.13,$0.10,$0.13,126
Clinton,12/31/2015 12:00:00 AM,$0.88,$0.88,$0.88,$0.88,15
Sanders,12/31/2015 12:00:00 AM,$0.13,$0.13,$0.11,$0.11,50
