ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Sanders,3/14/2016 12:00:00 AM,$0.20,$0.55,$0.20,$0.54,5260
Clinton,3/14/2016 12:00:00 AM,$0.50,$0.80,$0.46,$0.46,9764
Sanders,3/15/2016 12:00:00 AM,$0.54,$0.62,$0.19,$0.30,11377
Clinton,3/15/2016 12:00:00 AM,$0.46,$0.85,$0.45,$0.72,18349
Sanders,3/16/2016 12:00:00 AM,$0.30,$0.30,$0.14,$0.19,31948
Clinton,3/16/2016 12:00:00 AM,$0.72,$0.86,$0.72,$0.83,39640
Sanders,3/17/2016 12:00:00 AM,$0.19,$0.29,$0.16,$0.18,20200
Clinton,3/17/2016 12:00:00 AM,$0.83,$0.84,$0.73,$0.84,27277
Sanders,3/18/2016 12:00:00 AM,$0.18,$0.20,$0.15,$0.17,17410
Clinton,3/18/2016 12:00:00 AM,$0.84,$0.86,$0.82,$0.84,20376
Sanders,3/19/2016 12:00:00 AM,$0.17,$0.17,$0.09,$0.09,20203
Clinton,3/19/2016 12:00:00 AM,$0.84,$0.91,$0.83,$0.91,21922
Sanders,3/20/2016 12:00:00 AM,$0.09,$0.19,$0.08,$0.16,31862
Clinton,3/20/2016 12:00:00 AM,$0.91,$0.92,$0.83,$0.84,31586
Sanders,3/21/2016 12:00:00 AM,$0.16,$0.20,$0.11,$0.15,36400
Clinton,3/21/2016 12:00:00 AM,$0.84,$0.89,$0.82,$0.86,38362
Sanders,3/22/2016 12:00:00 AM,$0.15,$0.25,$0.01,$0.02,243768
Clinton,3/22/2016 12:00:00 AM,$0.86,$0.99,$0.78,$0.99,229553
Sanders,3/23/2016 12:00:00 AM,$0.02,$0.03,$0.01,$0.01,43923
Clinton,3/23/2016 12:00:00 AM,$0.99,$0.99,$0.97,$0.99,36782
