ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Clinton,12/5/2015 12:00:00 AM,$0.92,$0.92,$0.92,$0.92,25
Sanders,12/5/2015 12:00:00 AM,$0.13,$0.13,$0.08,$0.08,26
Clinton,12/6/2015 12:00:00 AM,$0.92,$0.95,$0.91,$0.95,203
Sanders,12/6/2015 12:00:00 AM,$0.08,$0.09,$0.08,$0.09,1
Clinton,12/7/2015 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,1
Sanders,12/7/2015 12:00:00 AM,$0.09,$0.09,$0.09,$0.09,0
Clinton,12/8/2015 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Sanders,12/8/2015 12:00:00 AM,$0.09,$0.09,$0.09,$0.09,0
Clinton,12/9/2015 12:00:00 AM,$0.95,$0.96,$0.95,$0.95,2
Sanders,12/9/2015 12:00:00 AM,$0.09,$0.09,$0.04,$0.04,1
Clinton,12/10/2015 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Sanders,12/10/2015 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Clinton,12/11/2015 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Sanders,12/11/2015 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Clinton,12/12/2015 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Sanders,12/12/2015 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Clinton,12/13/2015 12:00:00 AM,$0.95,$0.95,$0.93,$0.93,50
Sanders,12/13/2015 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Clinton,12/14/2015 12:00:00 AM,$0.93,$0.93,$0.90,$0.90,150
Sanders,12/14/2015 12:00:00 AM,$0.04,$0.09,$0.04,$0.09,1
Clinton,12/15/2015 12:00:00 AM,$0.90,$0.90,$0.90,$0.90,0
Sanders,12/15/2015 12:00:00 AM,$0.09,$0.09,$0.09,$0.09,0
Clinton,12/16/2015 12:00:00 AM,$0.90,$0.90,$0.90,$0.90,0
Sanders,12/16/2015 12:00:00 AM,$0.09,$0.09,$0.09,$0.09,0
Clinton,12/17/2015 12:00:00 AM,$0.90,$0.90,$0.90,$0.90,0
Sanders,12/17/2015 12:00:00 AM,$0.09,$0.09,$0.09,$0.09,0
Clinton,12/18/2015 12:00:00 AM,$0.90,$0.90,$0.90,$0.90,0
Sanders,12/18/2015 12:00:00 AM,$0.09,$0.09,$0.09,$0.09,0
Clinton,12/19/2015 12:00:00 AM,$0.90,$0.90,$0.90,$0.90,0
Sanders,12/19/2015 12:00:00 AM,$0.09,$0.09,$0.09,$0.09,0
Clinton,12/20/2015 12:00:00 AM,$0.90,$0.90,$0.90,$0.90,0
Sanders,12/20/2015 12:00:00 AM,$0.09,$0.09,$0.09,$0.09,0
Clinton,12/21/2015 12:00:00 AM,$0.90,$0.93,$0.90,$0.93,1
Sanders,12/21/2015 12:00:00 AM,$0.09,$0.09,$0.09,$0.09,0
Clinton,12/22/2015 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,24
Sanders,12/22/2015 12:00:00 AM,$0.09,$0.09,$0.07,$0.07,25
Clinton,12/23/2015 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,0
Sanders,12/23/2015 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,0
Clinton,12/24/2015 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,0
Sanders,12/24/2015 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,0
Clinton,12/25/2015 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,0
Sanders,12/25/2015 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,0
Clinton,12/26/2015 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,0
Sanders,12/26/2015 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,0
Clinton,12/27/2015 12:00:00 AM,$0.93,$0.93,$0.91,$0.91,103
Sanders,12/27/2015 12:00:00 AM,$0.07,$0.09,$0.07,$0.09,24
Clinton,12/28/2015 12:00:00 AM,$0.91,$0.91,$0.91,$0.91,0
Sanders,12/28/2015 12:00:00 AM,$0.09,$0.09,$0.09,$0.09,0
Clinton,12/29/2015 12:00:00 AM,$0.91,$0.91,$0.91,$0.91,0
Sanders,12/29/2015 12:00:00 AM,$0.09,$0.09,$0.09,$0.09,100
Clinton,12/30/2015 12:00:00 AM,$0.91,$0.91,$0.91,$0.91,0
Sanders,12/30/2015 12:00:00 AM,$0.09,$0.09,$0.09,$0.09,0
Clinton,12/31/2015 12:00:00 AM,$0.91,$0.91,$0.91,$0.91,0
Sanders,12/31/2015 12:00:00 AM,$0.09,$0.14,$0.09,$0.14,10
Clinton,1/1/2016 12:00:00 AM,$0.91,$0.93,$0.71,$0.93,352
Sanders,1/1/2016 12:00:00 AM,$0.14,$0.27,$0.10,$0.10,53
Clinton,1/2/2016 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,0
Sanders,1/2/2016 12:00:00 AM,$0.10,$0.10,$0.10,$0.10,0
Clinton,1/3/2016 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,0
Sanders,1/3/2016 12:00:00 AM,$0.10,$0.15,$0.10,$0.15,50
Clinton,1/4/2016 12:00:00 AM,$0.93,$0.93,$0.85,$0.86,290
Sanders,1/4/2016 12:00:00 AM,$0.15,$0.19,$0.10,$0.10,297
Clinton,1/5/2016 12:00:00 AM,$0.86,$0.86,$0.77,$0.77,356
Sanders,1/5/2016 12:00:00 AM,$0.10,$0.21,$0.10,$0.21,471
Clinton,1/6/2016 12:00:00 AM,$0.77,$0.77,$0.77,$0.77,0
Sanders,1/6/2016 12:00:00 AM,$0.21,$0.22,$0.21,$0.22,20
Clinton,1/7/2016 12:00:00 AM,$0.77,$0.91,$0.77,$0.91,1
Sanders,1/7/2016 12:00:00 AM,$0.22,$0.22,$0.11,$0.11,1
Clinton,1/8/2016 12:00:00 AM,$0.91,$0.91,$0.79,$0.90,161
Sanders,1/8/2016 12:00:00 AM,$0.11,$0.20,$0.11,$0.12,350
Clinton,1/9/2016 12:00:00 AM,$0.90,$0.90,$0.87,$0.90,101
Sanders,1/9/2016 12:00:00 AM,$0.12,$0.14,$0.09,$0.09,450
Clinton,1/10/2016 12:00:00 AM,$0.90,$0.90,$0.80,$0.80,2
Sanders,1/10/2016 12:00:00 AM,$0.09,$0.19,$0.09,$0.19,3
Clinton,1/11/2016 12:00:00 AM,$0.80,$0.89,$0.80,$0.81,256
Sanders,1/11/2016 12:00:00 AM,$0.19,$0.29,$0.10,$0.29,552
Clinton,1/12/2016 12:00:00 AM,$0.81,$0.85,$0.71,$0.78,496
Sanders,1/12/2016 12:00:00 AM,$0.29,$0.29,$0.16,$0.20,383
Clinton,1/13/2016 12:00:00 AM,$0.78,$0.88,$0.62,$0.62,181
Sanders,1/13/2016 12:00:00 AM,$0.20,$0.33,$0.16,$0.24,580
Clinton,1/14/2016 12:00:00 AM,$0.62,$0.86,$0.62,$0.86,507
Sanders,1/14/2016 12:00:00 AM,$0.24,$0.25,$0.18,$0.18,161
Clinton,1/15/2016 12:00:00 AM,$0.86,$0.86,$0.75,$0.75,42
Sanders,1/15/2016 12:00:00 AM,$0.18,$0.23,$0.18,$0.23,257
Clinton,1/16/2016 12:00:00 AM,$0.75,$0.85,$0.75,$0.85,501
Sanders,1/16/2016 12:00:00 AM,$0.23,$0.24,$0.15,$0.21,302
Clinton,1/17/2016 12:00:00 AM,$0.85,$0.86,$0.85,$0.86,99
Sanders,1/17/2016 12:00:00 AM,$0.21,$0.21,$0.15,$0.17,152
Clinton,1/18/2016 12:00:00 AM,$0.86,$0.86,$0.80,$0.82,532
Sanders,1/18/2016 12:00:00 AM,$0.17,$0.18,$0.16,$0.16,550
Clinton,1/19/2016 12:00:00 AM,$0.82,$0.86,$0.75,$0.78,811
Sanders,1/19/2016 12:00:00 AM,$0.16,$0.27,$0.15,$0.15,1302
Clinton,1/20/2016 12:00:00 AM,$0.78,$0.94,$0.78,$0.81,1272
Sanders,1/20/2016 12:00:00 AM,$0.15,$0.16,$0.02,$0.15,1275
Clinton,1/21/2016 12:00:00 AM,$0.81,$0.81,$0.81,$0.81,0
Sanders,1/21/2016 12:00:00 AM,$0.15,$0.17,$0.14,$0.14,177
Clinton,1/22/2016 12:00:00 AM,$0.81,$0.86,$0.81,$0.86,40
Sanders,1/22/2016 12:00:00 AM,$0.14,$0.18,$0.13,$0.13,922
Clinton,1/23/2016 12:00:00 AM,$0.86,$0.89,$0.86,$0.89,639
Sanders,1/23/2016 12:00:00 AM,$0.13,$0.18,$0.13,$0.18,67
Clinton,1/24/2016 12:00:00 AM,$0.89,$0.89,$0.88,$0.89,380
Sanders,1/24/2016 12:00:00 AM,$0.18,$0.18,$0.11,$0.11,1150
Clinton,1/25/2016 12:00:00 AM,$0.89,$0.90,$0.89,$0.90,101
Sanders,1/25/2016 12:00:00 AM,$0.11,$0.17,$0.11,$0.17,141
Clinton,1/26/2016 12:00:00 AM,$0.90,$0.90,$0.86,$0.86,29
Sanders,1/26/2016 12:00:00 AM,$0.17,$0.17,$0.11,$0.15,368
Clinton,1/27/2016 12:00:00 AM,$0.86,$0.87,$0.86,$0.87,10
Sanders,1/27/2016 12:00:00 AM,$0.15,$0.15,$0.15,$0.15,0
Clinton,1/28/2016 12:00:00 AM,$0.87,$0.88,$0.86,$0.88,89
Sanders,1/28/2016 12:00:00 AM,$0.15,$0.15,$0.14,$0.14,10
Clinton,1/29/2016 12:00:00 AM,$0.88,$0.89,$0.85,$0.85,118
Sanders,1/29/2016 12:00:00 AM,$0.14,$0.15,$0.14,$0.14,116
Clinton,1/30/2016 12:00:00 AM,$0.85,$0.88,$0.82,$0.82,4
Sanders,1/30/2016 12:00:00 AM,$0.14,$0.16,$0.14,$0.16,72
Clinton,1/31/2016 12:00:00 AM,$0.82,$0.82,$0.82,$0.82,0
Sanders,1/31/2016 12:00:00 AM,$0.16,$0.16,$0.11,$0.11,68
Clinton,2/1/2016 12:00:00 AM,$0.82,$0.86,$0.82,$0.86,100
Sanders,2/1/2016 12:00:00 AM,$0.11,$0.11,$0.11,$0.11,1
Clinton,2/2/2016 12:00:00 AM,$0.86,$0.89,$0.86,$0.86,411
Sanders,2/2/2016 12:00:00 AM,$0.11,$0.13,$0.06,$0.12,265
Clinton,2/3/2016 12:00:00 AM,$0.86,$0.92,$0.86,$0.91,404
Sanders,2/3/2016 12:00:00 AM,$0.12,$0.12,$0.10,$0.10,100
Clinton,2/4/2016 12:00:00 AM,$0.91,$0.91,$0.86,$0.88,647
Sanders,2/4/2016 12:00:00 AM,$0.10,$0.13,$0.10,$0.10,22
Clinton,2/5/2016 12:00:00 AM,$0.88,$0.92,$0.86,$0.92,997
Sanders,2/5/2016 12:00:00 AM,$0.10,$0.16,$0.06,$0.07,1111
Clinton,2/6/2016 12:00:00 AM,$0.92,$0.92,$0.84,$0.89,97
Sanders,2/6/2016 12:00:00 AM,$0.07,$0.15,$0.07,$0.14,453
Clinton,2/7/2016 12:00:00 AM,$0.89,$0.90,$0.89,$0.90,1
Sanders,2/7/2016 12:00:00 AM,$0.14,$0.15,$0.13,$0.15,54
Clinton,2/8/2016 12:00:00 AM,$0.90,$0.92,$0.85,$0.86,358
Sanders,2/8/2016 12:00:00 AM,$0.15,$0.16,$0.11,$0.12,553
