ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Sanders,4/29/2016 12:00:00 AM,$0.25,$0.35,$0.11,$0.27,21971
Clinton,4/29/2016 12:00:00 AM,$0.75,$0.89,$0.55,$0.71,16011
Sanders,4/30/2016 12:00:00 AM,$0.27,$0.32,$0.18,$0.21,13636
Clinton,4/30/2016 12:00:00 AM,$0.71,$0.83,$0.69,$0.81,11915
Sanders,5/1/2016 12:00:00 AM,$0.21,$0.22,$0.19,$0.21,9884
Clinton,5/1/2016 12:00:00 AM,$0.81,$0.82,$0.78,$0.78,10998
Sanders,5/2/2016 12:00:00 AM,$0.21,$0.23,$0.13,$0.18,13063
Clinton,5/2/2016 12:00:00 AM,$0.78,$0.87,$0.78,$0.83,16942
Sanders,5/3/2016 12:00:00 AM,$0.18,$0.31,$0.15,$0.29,22706
Clinton,5/3/2016 12:00:00 AM,$0.83,$0.86,$0.70,$0.76,26013
Sanders,5/4/2016 12:00:00 AM,$0.29,$0.30,$0.21,$0.26,22804
Clinton,5/4/2016 12:00:00 AM,$0.76,$0.80,$0.72,$0.75,20727
Sanders,5/5/2016 12:00:00 AM,$0.26,$0.35,$0.24,$0.34,17996
Clinton,5/5/2016 12:00:00 AM,$0.75,$0.77,$0.62,$0.68,16591
Sanders,5/6/2016 12:00:00 AM,$0.34,$0.36,$0.31,$0.33,6801
Clinton,5/6/2016 12:00:00 AM,$0.68,$0.70,$0.66,$0.68,12627
Sanders,5/7/2016 12:00:00 AM,$0.33,$0.35,$0.32,$0.35,6556
Clinton,5/7/2016 12:00:00 AM,$0.68,$0.71,$0.67,$0.68,8382
Sanders,5/8/2016 12:00:00 AM,$0.35,$0.38,$0.33,$0.38,7889
Clinton,5/8/2016 12:00:00 AM,$0.68,$0.68,$0.66,$0.66,5935
Sanders,5/9/2016 12:00:00 AM,$0.38,$0.38,$0.34,$0.37,13555
Clinton,5/9/2016 12:00:00 AM,$0.66,$0.68,$0.63,$0.64,12902
Sanders,5/10/2016 12:00:00 AM,$0.37,$0.45,$0.35,$0.37,34884
Clinton,5/10/2016 12:00:00 AM,$0.64,$0.67,$0.57,$0.66,27060
Sanders,5/11/2016 12:00:00 AM,$0.37,$0.38,$0.28,$0.34,31938
Clinton,5/11/2016 12:00:00 AM,$0.66,$0.75,$0.63,$0.70,23691
Sanders,5/12/2016 12:00:00 AM,$0.34,$0.34,$0.29,$0.30,10824
Clinton,5/12/2016 12:00:00 AM,$0.70,$0.72,$0.69,$0.71,7394
Sanders,5/13/2016 12:00:00 AM,$0.30,$0.34,$0.30,$0.31,7509
Clinton,5/13/2016 12:00:00 AM,$0.71,$0.73,$0.69,$0.70,8172
Sanders,5/14/2016 12:00:00 AM,$0.31,$0.31,$0.28,$0.29,5355
Clinton,5/14/2016 12:00:00 AM,$0.70,$0.73,$0.70,$0.71,2447
Sanders,5/15/2016 12:00:00 AM,$0.29,$0.31,$0.26,$0.26,5247
Clinton,5/15/2016 12:00:00 AM,$0.71,$0.75,$0.71,$0.74,6105
Sanders,5/16/2016 12:00:00 AM,$0.26,$0.28,$0.23,$0.26,13730
Clinton,5/16/2016 12:00:00 AM,$0.74,$0.79,$0.73,$0.76,12360
Sanders,5/17/2016 12:00:00 AM,$0.26,$0.28,$0.18,$0.19,30176
Clinton,5/17/2016 12:00:00 AM,$0.76,$0.83,$0.73,$0.81,23205
Sanders,5/18/2016 12:00:00 AM,$0.19,$0.30,$0.17,$0.27,70070
Clinton,5/18/2016 12:00:00 AM,$0.81,$0.84,$0.72,$0.72,57837
Sanders,5/19/2016 12:00:00 AM,$0.27,$0.28,$0.24,$0.27,17782
Clinton,5/19/2016 12:00:00 AM,$0.72,$0.77,$0.72,$0.74,18428
Sanders,5/20/2016 12:00:00 AM,$0.27,$0.28,$0.26,$0.26,14645
Clinton,5/20/2016 12:00:00 AM,$0.74,$0.76,$0.73,$0.75,13482
Sanders,5/21/2016 12:00:00 AM,$0.26,$0.28,$0.25,$0.26,22438
Clinton,5/21/2016 12:00:00 AM,$0.75,$0.78,$0.73,$0.78,12968
Sanders,5/22/2016 12:00:00 AM,$0.26,$0.28,$0.25,$0.26,16051
Clinton,5/22/2016 12:00:00 AM,$0.78,$0.78,$0.74,$0.76,11711
Sanders,5/23/2016 12:00:00 AM,$0.26,$0.28,$0.18,$0.21,55157
Clinton,5/23/2016 12:00:00 AM,$0.76,$0.84,$0.74,$0.81,45007
Sanders,5/24/2016 12:00:00 AM,$0.21,$0.22,$0.17,$0.19,39949
Clinton,5/24/2016 12:00:00 AM,$0.81,$0.84,$0.81,$0.83,30221
Sanders,5/25/2016 12:00:00 AM,$0.19,$0.24,$0.18,$0.22,35161
Clinton,5/25/2016 12:00:00 AM,$0.83,$0.84,$0.78,$0.81,35413
Sanders,5/26/2016 12:00:00 AM,$0.22,$0.39,$0.22,$0.30,106789
Clinton,5/26/2016 12:00:00 AM,$0.81,$0.81,$0.62,$0.72,120143
Sanders,5/27/2016 12:00:00 AM,$0.30,$0.31,$0.25,$0.26,48881
Clinton,5/27/2016 12:00:00 AM,$0.72,$0.77,$0.71,$0.75,34958
Sanders,5/28/2016 12:00:00 AM,$0.26,$0.31,$0.26,$0.30,29672
Clinton,5/28/2016 12:00:00 AM,$0.75,$0.77,$0.72,$0.73,19446
Sanders,5/29/2016 12:00:00 AM,$0.30,$0.30,$0.26,$0.27,22984
Clinton,5/29/2016 12:00:00 AM,$0.73,$0.76,$0.71,$0.74,21719
Sanders,5/30/2016 12:00:00 AM,$0.27,$0.29,$0.25,$0.28,23456
Clinton,5/30/2016 12:00:00 AM,$0.74,$0.76,$0.74,$0.75,25202
Sanders,5/31/2016 12:00:00 AM,$0.28,$0.29,$0.25,$0.26,41616
Clinton,5/31/2016 12:00:00 AM,$0.75,$0.77,$0.73,$0.76,47235
Sanders,6/1/2016 12:00:00 AM,$0.26,$0.37,$0.22,$0.31,110268
Clinton,6/1/2016 12:00:00 AM,$0.76,$0.80,$0.64,$0.70,92879
Sanders,6/2/2016 12:00:00 AM,$0.31,$0.39,$0.31,$0.35,85504
Clinton,6/2/2016 12:00:00 AM,$0.70,$0.71,$0.61,$0.68,87301
Sanders,6/3/2016 12:00:00 AM,$0.35,$0.36,$0.33,$0.35,32832
Clinton,6/3/2016 12:00:00 AM,$0.68,$0.69,$0.65,$0.69,49777
