ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Clinton,5/1/2016 12:00:00 AM,$0.94,$0.94,$0.92,$0.93,13475
Biden,5/1/2016 12:00:00 AM,$0.03,$0.04,$0.03,$0.04,781
Warren,5/1/2016 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,543
O'Malley,5/1/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Brown,5/1/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,5/1/2016 12:00:00 AM,$0.06,$0.07,$0.05,$0.07,5618
de Blasio,5/1/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Webb,5/1/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Chafee,5/1/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Gore,5/1/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,5/2/2016 12:00:00 AM,$0.93,$0.94,$0.92,$0.93,9315
Biden,5/2/2016 12:00:00 AM,$0.04,$0.05,$0.03,$0.03,11568
Warren,5/2/2016 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,1257
O'Malley,5/2/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Brown,5/2/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,5/2/2016 12:00:00 AM,$0.07,$0.07,$0.05,$0.07,14086
de Blasio,5/2/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Webb,5/2/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Chafee,5/2/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Gore,5/2/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,5/3/2016 12:00:00 AM,$0.93,$0.93,$0.88,$0.92,34264
Biden,5/3/2016 12:00:00 AM,$0.03,$0.05,$0.03,$0.04,7350
Warren,5/3/2016 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,4675
O'Malley,5/3/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1108
Brown,5/3/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,5/3/2016 12:00:00 AM,$0.07,$0.11,$0.05,$0.08,35794
de Blasio,5/3/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Webb,5/3/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Chafee,5/3/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Gore,5/3/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,858
