ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Clinton,3/2/2016 12:00:00 AM,$0.83,$0.99,$0.83,$0.97,2633
Sanders,3/2/2016 12:00:00 AM,$0.25,$0.25,$0.02,$0.04,2668
Clinton,3/3/2016 12:00:00 AM,$0.97,$0.98,$0.96,$0.98,446
Sanders,3/3/2016 12:00:00 AM,$0.04,$0.04,$0.02,$0.04,2322
Clinton,3/4/2016 12:00:00 AM,$0.98,$0.98,$0.93,$0.95,5261
Sanders,3/4/2016 12:00:00 AM,$0.04,$0.08,$0.03,$0.05,7276
Clinton,3/5/2016 12:00:00 AM,$0.95,$0.97,$0.94,$0.95,2437
Sanders,3/5/2016 12:00:00 AM,$0.05,$0.06,$0.02,$0.05,3183
Clinton,3/6/2016 12:00:00 AM,$0.95,$0.98,$0.94,$0.97,1798
Sanders,3/6/2016 12:00:00 AM,$0.05,$0.07,$0.03,$0.04,6739
Clinton,3/7/2016 12:00:00 AM,$0.97,$0.98,$0.97,$0.97,1384
Sanders,3/7/2016 12:00:00 AM,$0.04,$0.05,$0.03,$0.04,4053
Clinton,3/8/2016 12:00:00 AM,$0.97,$0.98,$0.84,$0.87,8485
Sanders,3/8/2016 12:00:00 AM,$0.04,$0.30,$0.02,$0.13,15492
Clinton,3/9/2016 12:00:00 AM,$0.87,$0.96,$0.84,$0.90,21271
Sanders,3/9/2016 12:00:00 AM,$0.13,$0.22,$0.05,$0.12,32173
Clinton,3/10/2016 12:00:00 AM,$0.90,$0.92,$0.83,$0.88,21534
Sanders,3/10/2016 12:00:00 AM,$0.12,$0.16,$0.10,$0.13,33875
Clinton,3/11/2016 12:00:00 AM,$0.88,$0.92,$0.86,$0.90,22402
Sanders,3/11/2016 12:00:00 AM,$0.13,$0.14,$0.09,$0.10,29733
Clinton,3/12/2016 12:00:00 AM,$0.90,$0.91,$0.87,$0.88,14330
Sanders,3/12/2016 12:00:00 AM,$0.10,$0.15,$0.10,$0.12,16253
Clinton,3/13/2016 12:00:00 AM,$0.88,$0.94,$0.88,$0.94,17585
Sanders,3/13/2016 12:00:00 AM,$0.12,$0.15,$0.07,$0.08,26529
Clinton,3/14/2016 12:00:00 AM,$0.94,$0.97,$0.89,$0.92,54185
Sanders,3/14/2016 12:00:00 AM,$0.08,$0.12,$0.05,$0.08,51986
Clinton,3/15/2016 12:00:00 AM,$0.92,$0.99,$0.90,$0.99,64144
Sanders,3/15/2016 12:00:00 AM,$0.08,$0.10,$0.01,$0.01,73519
Clinton,3/16/2016 12:00:00 AM,$0.99,$0.99,$0.98,$0.99,1887
Sanders,3/16/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,630
