ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Sanders,3/29/2016 12:00:00 AM,$0.24,$0.65,$0.24,$0.45,12967
Clinton,3/29/2016 12:00:00 AM,$0.84,$0.84,$0.30,$0.55,9150
Sanders,3/30/2016 12:00:00 AM,$0.45,$0.48,$0.35,$0.45,4201
Clinton,3/30/2016 12:00:00 AM,$0.55,$0.61,$0.53,$0.55,4720
Sanders,3/31/2016 12:00:00 AM,$0.45,$0.47,$0.43,$0.46,2248
Clinton,3/31/2016 12:00:00 AM,$0.55,$0.60,$0.54,$0.54,2314
Sanders,4/1/2016 12:00:00 AM,$0.46,$0.74,$0.46,$0.51,4694
Clinton,4/1/2016 12:00:00 AM,$0.54,$0.56,$0.33,$0.51,2415
Sanders,4/2/2016 12:00:00 AM,$0.51,$0.55,$0.50,$0.53,1154
Clinton,4/2/2016 12:00:00 AM,$0.51,$0.52,$0.45,$0.47,1594
Sanders,4/3/2016 12:00:00 AM,$0.53,$0.55,$0.51,$0.54,264
Clinton,4/3/2016 12:00:00 AM,$0.47,$0.50,$0.45,$0.49,663
Sanders,4/4/2016 12:00:00 AM,$0.54,$0.54,$0.51,$0.52,1231
Clinton,4/4/2016 12:00:00 AM,$0.49,$0.51,$0.47,$0.51,1833
Sanders,4/5/2016 12:00:00 AM,$0.52,$0.59,$0.47,$0.52,3467
Clinton,4/5/2016 12:00:00 AM,$0.51,$0.56,$0.46,$0.48,5579
Sanders,4/6/2016 12:00:00 AM,$0.52,$0.55,$0.49,$0.52,7584
Clinton,4/6/2016 12:00:00 AM,$0.48,$0.52,$0.47,$0.51,4111
Sanders,4/7/2016 12:00:00 AM,$0.52,$0.52,$0.46,$0.50,1332
Clinton,4/7/2016 12:00:00 AM,$0.51,$0.55,$0.47,$0.53,4559
Sanders,4/8/2016 12:00:00 AM,$0.50,$0.50,$0.41,$0.42,1139
Clinton,4/8/2016 12:00:00 AM,$0.53,$0.60,$0.49,$0.58,2811
Sanders,4/9/2016 12:00:00 AM,$0.42,$0.46,$0.37,$0.38,2432
Clinton,4/9/2016 12:00:00 AM,$0.58,$0.70,$0.55,$0.70,2665
Sanders,4/10/2016 12:00:00 AM,$0.38,$0.38,$0.27,$0.28,2875
Clinton,4/10/2016 12:00:00 AM,$0.70,$0.79,$0.63,$0.70,3312
Sanders,4/11/2016 12:00:00 AM,$0.28,$0.32,$0.26,$0.29,3440
Clinton,4/11/2016 12:00:00 AM,$0.70,$0.74,$0.68,$0.72,2370
Sanders,4/12/2016 12:00:00 AM,$0.29,$0.31,$0.28,$0.30,611
Clinton,4/12/2016 12:00:00 AM,$0.72,$0.72,$0.69,$0.71,504
Sanders,4/13/2016 12:00:00 AM,$0.30,$0.31,$0.28,$0.29,1819
Clinton,4/13/2016 12:00:00 AM,$0.71,$0.72,$0.68,$0.71,2938
Sanders,4/14/2016 12:00:00 AM,$0.29,$0.32,$0.29,$0.31,1479
Clinton,4/14/2016 12:00:00 AM,$0.71,$0.72,$0.69,$0.70,318
Sanders,4/15/2016 12:00:00 AM,$0.31,$0.31,$0.27,$0.27,812
Clinton,4/15/2016 12:00:00 AM,$0.70,$0.72,$0.69,$0.72,239
Sanders,4/16/2016 12:00:00 AM,$0.27,$0.32,$0.26,$0.29,884
Clinton,4/16/2016 12:00:00 AM,$0.72,$0.81,$0.70,$0.71,1566
Sanders,4/17/2016 12:00:00 AM,$0.29,$0.29,$0.26,$0.26,113
Clinton,4/17/2016 12:00:00 AM,$0.71,$0.74,$0.71,$0.74,227
