ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Clinton,12/5/2015 12:00:00 AM,$0.78,$0.84,$0.78,$0.84,209
Sanders,12/5/2015 12:00:00 AM,$0.22,$0.22,$0.22,$0.22,100
Clinton,12/6/2015 12:00:00 AM,$0.84,$0.84,$0.84,$0.84,0
Sanders,12/6/2015 12:00:00 AM,$0.22,$0.22,$0.17,$0.17,2
Clinton,12/7/2015 12:00:00 AM,$0.84,$0.85,$0.55,$0.85,104
Sanders,12/7/2015 12:00:00 AM,$0.17,$0.17,$0.17,$0.17,1
Clinton,12/8/2015 12:00:00 AM,$0.85,$0.85,$0.85,$0.85,0
Sanders,12/8/2015 12:00:00 AM,$0.17,$0.17,$0.17,$0.17,0
Clinton,12/9/2015 12:00:00 AM,$0.85,$0.85,$0.85,$0.85,0
Sanders,12/9/2015 12:00:00 AM,$0.17,$0.17,$0.17,$0.17,0
Clinton,12/10/2015 12:00:00 AM,$0.85,$0.85,$0.78,$0.78,10
Sanders,12/10/2015 12:00:00 AM,$0.17,$0.17,$0.17,$0.17,0
Clinton,12/11/2015 12:00:00 AM,$0.78,$0.78,$0.78,$0.78,10
Sanders,12/11/2015 12:00:00 AM,$0.17,$0.17,$0.17,$0.17,0
Clinton,12/12/2015 12:00:00 AM,$0.78,$0.78,$0.78,$0.78,0
Sanders,12/12/2015 12:00:00 AM,$0.17,$0.17,$0.17,$0.17,0
Clinton,12/13/2015 12:00:00 AM,$0.78,$0.78,$0.78,$0.78,5
Sanders,12/13/2015 12:00:00 AM,$0.17,$0.17,$0.17,$0.17,0
Clinton,12/14/2015 12:00:00 AM,$0.78,$0.78,$0.78,$0.78,0
Sanders,12/14/2015 12:00:00 AM,$0.17,$0.23,$0.17,$0.23,1
Clinton,12/15/2015 12:00:00 AM,$0.78,$0.78,$0.75,$0.75,9
Sanders,12/15/2015 12:00:00 AM,$0.23,$0.23,$0.23,$0.23,0
Clinton,12/16/2015 12:00:00 AM,$0.75,$0.75,$0.75,$0.75,0
