ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Sanders,2/29/2016 12:00:00 AM,$0.07,$0.07,$0.02,$0.02,30
Clinton,2/29/2016 12:00:00 AM,$0.94,$0.99,$0.94,$0.99,976
Sanders,3/1/2016 12:00:00 AM,$0.02,$0.05,$0.01,$0.03,1177
Clinton,3/1/2016 12:00:00 AM,$0.99,$0.99,$0.97,$0.98,442
Sanders,3/2/2016 12:00:00 AM,$0.03,$0.03,$0.01,$0.02,3078
Clinton,3/2/2016 12:00:00 AM,$0.98,$0.99,$0.98,$0.98,3075
Sanders,3/3/2016 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,2508
Clinton,3/3/2016 12:00:00 AM,$0.98,$0.99,$0.98,$0.98,859
Sanders,3/4/2016 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,1066
Clinton,3/4/2016 12:00:00 AM,$0.98,$0.99,$0.98,$0.99,597
Sanders,3/5/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,116
Clinton,3/5/2016 12:00:00 AM,$0.99,$0.99,$0.99,$0.99,90
Sanders,3/6/2016 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,1915
Clinton,3/6/2016 12:00:00 AM,$0.99,$0.99,$0.99,$0.99,446
Sanders,3/7/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,461
Clinton,3/7/2016 12:00:00 AM,$0.99,$0.99,$0.99,$0.99,31
Sanders,3/8/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,6227
Clinton,3/8/2016 12:00:00 AM,$0.99,$0.99,$0.99,$0.99,2615
Sanders,3/9/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,550
Clinton,3/9/2016 12:00:00 AM,$0.99,$0.99,$0.99,$0.99,350
