ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Clinton,3/2/2016 12:00:00 AM,$0.90,$0.90,$0.72,$0.85,2362
Sanders,3/2/2016 12:00:00 AM,$0.45,$0.45,$0.11,$0.14,2203
Clinton,3/3/2016 12:00:00 AM,$0.85,$0.86,$0.75,$0.80,3161
Sanders,3/3/2016 12:00:00 AM,$0.14,$0.28,$0.14,$0.20,2359
Clinton,3/4/2016 12:00:00 AM,$0.80,$0.82,$0.79,$0.80,3579
Sanders,3/4/2016 12:00:00 AM,$0.20,$0.21,$0.18,$0.21,3207
Clinton,3/5/2016 12:00:00 AM,$0.80,$0.82,$0.67,$0.78,2895
Sanders,3/5/2016 12:00:00 AM,$0.21,$0.39,$0.20,$0.25,2976
Clinton,3/6/2016 12:00:00 AM,$0.78,$0.83,$0.76,$0.83,6268
Sanders,3/6/2016 12:00:00 AM,$0.25,$0.36,$0.19,$0.21,8140
Clinton,3/7/2016 12:00:00 AM,$0.83,$0.88,$0.80,$0.88,5174
Sanders,3/7/2016 12:00:00 AM,$0.21,$0.23,$0.16,$0.19,4193
Clinton,3/8/2016 12:00:00 AM,$0.88,$0.94,$0.56,$0.72,7857
Sanders,3/8/2016 12:00:00 AM,$0.19,$0.45,$0.10,$0.42,10091
Clinton,3/9/2016 12:00:00 AM,$0.72,$0.77,$0.50,$0.57,12776
Sanders,3/9/2016 12:00:00 AM,$0.42,$0.50,$0.23,$0.45,11850
Clinton,3/10/2016 12:00:00 AM,$0.57,$0.58,$0.50,$0.51,8193
Sanders,3/10/2016 12:00:00 AM,$0.45,$0.51,$0.43,$0.49,6872
Clinton,3/11/2016 12:00:00 AM,$0.51,$0.55,$0.44,$0.50,16073
Sanders,3/11/2016 12:00:00 AM,$0.49,$0.60,$0.48,$0.50,15153
Clinton,3/12/2016 12:00:00 AM,$0.50,$0.54,$0.44,$0.46,15279
Sanders,3/12/2016 12:00:00 AM,$0.50,$0.59,$0.48,$0.56,18287
Clinton,3/13/2016 12:00:00 AM,$0.46,$0.52,$0.40,$0.44,24701
Sanders,3/13/2016 12:00:00 AM,$0.56,$0.64,$0.52,$0.58,16164
Clinton,3/14/2016 12:00:00 AM,$0.44,$0.49,$0.28,$0.33,29231
Sanders,3/14/2016 12:00:00 AM,$0.58,$0.73,$0.56,$0.70,33345
Clinton,3/15/2016 12:00:00 AM,$0.33,$0.89,$0.01,$0.07,580386
