ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Sanders,4/29/2016 12:00:00 AM,$0.30,$0.30,$0.06,$0.07,5232
Clinton,4/29/2016 12:00:00 AM,$0.51,$0.97,$0.51,$0.93,4953
Sanders,4/30/2016 12:00:00 AM,$0.07,$0.07,$0.06,$0.07,2158
Clinton,4/30/2016 12:00:00 AM,$0.93,$0.95,$0.93,$0.93,1578
Sanders,5/1/2016 12:00:00 AM,$0.07,$0.09,$0.05,$0.08,4968
Clinton,5/1/2016 12:00:00 AM,$0.93,$0.95,$0.92,$0.94,4532
Sanders,5/2/2016 12:00:00 AM,$0.08,$0.09,$0.06,$0.07,3342
Clinton,5/2/2016 12:00:00 AM,$0.94,$0.94,$0.92,$0.94,2576
Sanders,5/3/2016 12:00:00 AM,$0.07,$0.16,$0.05,$0.15,6571
Clinton,5/3/2016 12:00:00 AM,$0.94,$0.94,$0.90,$0.91,3688
Sanders,5/4/2016 12:00:00 AM,$0.15,$0.19,$0.09,$0.12,16027
Clinton,5/4/2016 12:00:00 AM,$0.91,$0.92,$0.80,$0.90,11052
Sanders,5/5/2016 12:00:00 AM,$0.12,$0.12,$0.10,$0.11,7214
Clinton,5/5/2016 12:00:00 AM,$0.90,$0.91,$0.88,$0.90,2413
Sanders,5/6/2016 12:00:00 AM,$0.11,$0.15,$0.11,$0.11,6531
Clinton,5/6/2016 12:00:00 AM,$0.90,$0.90,$0.87,$0.90,1673
Sanders,5/7/2016 12:00:00 AM,$0.11,$0.13,$0.11,$0.12,2417
Clinton,5/7/2016 12:00:00 AM,$0.90,$0.90,$0.87,$0.88,3689
Sanders,5/8/2016 12:00:00 AM,$0.12,$0.14,$0.11,$0.11,1350
Clinton,5/8/2016 12:00:00 AM,$0.88,$0.91,$0.88,$0.90,1521
Sanders,5/9/2016 12:00:00 AM,$0.11,$0.13,$0.11,$0.12,2081
Clinton,5/9/2016 12:00:00 AM,$0.90,$0.90,$0.88,$0.90,1670
Sanders,5/10/2016 12:00:00 AM,$0.12,$0.14,$0.09,$0.11,9786
Clinton,5/10/2016 12:00:00 AM,$0.90,$0.91,$0.87,$0.91,6995
Sanders,5/11/2016 12:00:00 AM,$0.11,$0.12,$0.09,$0.10,8183
Clinton,5/11/2016 12:00:00 AM,$0.91,$0.92,$0.89,$0.91,6193
Sanders,5/12/2016 12:00:00 AM,$0.10,$0.11,$0.08,$0.09,6265
Clinton,5/12/2016 12:00:00 AM,$0.91,$0.92,$0.89,$0.90,6013
Sanders,5/13/2016 12:00:00 AM,$0.09,$0.14,$0.09,$0.12,3767
Clinton,5/13/2016 12:00:00 AM,$0.90,$0.92,$0.89,$0.90,2473
Sanders,5/14/2016 12:00:00 AM,$0.12,$0.15,$0.10,$0.12,2319
Clinton,5/14/2016 12:00:00 AM,$0.90,$0.91,$0.89,$0.90,1094
Sanders,5/15/2016 12:00:00 AM,$0.12,$0.12,$0.10,$0.11,562
Clinton,5/15/2016 12:00:00 AM,$0.90,$0.92,$0.90,$0.91,1939
Sanders,5/16/2016 12:00:00 AM,$0.11,$0.12,$0.09,$0.12,4889
Clinton,5/16/2016 12:00:00 AM,$0.91,$0.92,$0.89,$0.89,3297
Sanders,5/17/2016 12:00:00 AM,$0.12,$0.13,$0.08,$0.10,11010
Clinton,5/17/2016 12:00:00 AM,$0.89,$0.93,$0.88,$0.91,9585
Sanders,5/18/2016 12:00:00 AM,$0.10,$0.11,$0.04,$0.09,15098
Clinton,5/18/2016 12:00:00 AM,$0.91,$0.95,$0.90,$0.92,11844
Sanders,5/19/2016 12:00:00 AM,$0.09,$0.11,$0.08,$0.08,16058
Clinton,5/19/2016 12:00:00 AM,$0.92,$0.93,$0.90,$0.91,11508
Sanders,5/20/2016 12:00:00 AM,$0.08,$0.11,$0.07,$0.09,7666
Clinton,5/20/2016 12:00:00 AM,$0.91,$0.93,$0.89,$0.91,10092
Sanders,5/21/2016 12:00:00 AM,$0.09,$0.10,$0.09,$0.10,3462
Clinton,5/21/2016 12:00:00 AM,$0.91,$0.92,$0.90,$0.92,3302
Sanders,5/22/2016 12:00:00 AM,$0.10,$0.10,$0.09,$0.09,6121
Clinton,5/22/2016 12:00:00 AM,$0.92,$0.92,$0.90,$0.90,8125
Sanders,5/23/2016 12:00:00 AM,$0.09,$0.10,$0.09,$0.10,4827
Clinton,5/23/2016 12:00:00 AM,$0.90,$0.92,$0.90,$0.92,3930
Sanders,5/24/2016 12:00:00 AM,$0.10,$0.10,$0.07,$0.08,14722
Clinton,5/24/2016 12:00:00 AM,$0.92,$0.94,$0.91,$0.93,7678
Sanders,5/25/2016 12:00:00 AM,$0.08,$0.09,$0.07,$0.08,5241
Clinton,5/25/2016 12:00:00 AM,$0.93,$0.94,$0.91,$0.92,10487
Sanders,5/26/2016 12:00:00 AM,$0.08,$0.12,$0.08,$0.12,13911
Clinton,5/26/2016 12:00:00 AM,$0.92,$0.92,$0.89,$0.90,13954
Sanders,5/27/2016 12:00:00 AM,$0.12,$0.12,$0.09,$0.09,4604
Clinton,5/27/2016 12:00:00 AM,$0.90,$0.92,$0.90,$0.90,6319
Sanders,5/28/2016 12:00:00 AM,$0.09,$0.10,$0.09,$0.09,5728
Clinton,5/28/2016 12:00:00 AM,$0.90,$0.92,$0.90,$0.92,3343
Sanders,5/29/2016 12:00:00 AM,$0.09,$0.10,$0.08,$0.09,6416
Clinton,5/29/2016 12:00:00 AM,$0.92,$0.93,$0.91,$0.92,6964
Sanders,5/30/2016 12:00:00 AM,$0.09,$0.09,$0.08,$0.08,3028
Clinton,5/30/2016 12:00:00 AM,$0.92,$0.92,$0.91,$0.92,3116
Sanders,5/31/2016 12:00:00 AM,$0.08,$0.10,$0.08,$0.08,5430
Clinton,5/31/2016 12:00:00 AM,$0.92,$0.93,$0.91,$0.91,5590
Sanders,6/1/2016 12:00:00 AM,$0.08,$0.08,$0.07,$0.08,6586
Clinton,6/1/2016 12:00:00 AM,$0.91,$0.93,$0.91,$0.93,5329
Sanders,6/2/2016 12:00:00 AM,$0.08,$0.10,$0.07,$0.07,20908
Clinton,6/2/2016 12:00:00 AM,$0.93,$0.93,$0.91,$0.92,17723
Sanders,6/3/2016 12:00:00 AM,$0.07,$0.09,$0.07,$0.08,18795
Clinton,6/3/2016 12:00:00 AM,$0.92,$0.94,$0.92,$0.93,21466
Sanders,6/4/2016 12:00:00 AM,$0.08,$0.09,$0.06,$0.07,13589
Clinton,6/4/2016 12:00:00 AM,$0.93,$0.94,$0.92,$0.94,6738
Sanders,6/5/2016 12:00:00 AM,$0.07,$0.09,$0.04,$0.04,29219
Clinton,6/5/2016 12:00:00 AM,$0.94,$0.96,$0.91,$0.95,27910
Sanders,6/6/2016 12:00:00 AM,$0.04,$0.06,$0.03,$0.03,12200
Clinton,6/6/2016 12:00:00 AM,$0.95,$0.98,$0.95,$0.97,14800
Sanders,6/7/2016 12:00:00 AM,$0.03,$0.06,$0.01,$0.01,118374
Clinton,6/7/2016 12:00:00 AM,$0.97,$0.99,$0.96,$0.99,119218
Sanders,6/8/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2369
Clinton,6/8/2016 12:00:00 AM,$0.99,$0.99,$0.99,$0.99,2039
