ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Sanders,4/29/2016 12:00:00 AM,$0.27,$0.27,$0.10,$0.18,5159
Clinton,4/29/2016 12:00:00 AM,$0.65,$0.90,$0.65,$0.88,4158
Sanders,4/30/2016 12:00:00 AM,$0.18,$0.22,$0.12,$0.21,2015
Clinton,4/30/2016 12:00:00 AM,$0.88,$0.88,$0.73,$0.81,1360
Sanders,5/1/2016 12:00:00 AM,$0.21,$0.21,$0.17,$0.18,1271
Clinton,5/1/2016 12:00:00 AM,$0.81,$0.84,$0.81,$0.81,2714
Sanders,5/2/2016 12:00:00 AM,$0.18,$0.19,$0.15,$0.18,1866
Clinton,5/2/2016 12:00:00 AM,$0.81,$0.84,$0.81,$0.83,2306
Sanders,5/3/2016 12:00:00 AM,$0.18,$0.30,$0.12,$0.30,3951
Clinton,5/3/2016 12:00:00 AM,$0.83,$0.87,$0.71,$0.77,4129
Sanders,5/4/2016 12:00:00 AM,$0.30,$0.32,$0.23,$0.27,4532
Clinton,5/4/2016 12:00:00 AM,$0.77,$0.77,$0.68,$0.74,7581
Sanders,5/5/2016 12:00:00 AM,$0.27,$0.40,$0.27,$0.33,3078
Clinton,5/5/2016 12:00:00 AM,$0.74,$0.74,$0.67,$0.69,1815
Sanders,5/6/2016 12:00:00 AM,$0.33,$0.39,$0.33,$0.37,557
Clinton,5/6/2016 12:00:00 AM,$0.69,$0.69,$0.64,$0.68,2609
Sanders,5/7/2016 12:00:00 AM,$0.37,$0.45,$0.35,$0.38,1895
Clinton,5/7/2016 12:00:00 AM,$0.68,$0.68,$0.57,$0.63,1063
Sanders,5/8/2016 12:00:00 AM,$0.38,$0.41,$0.37,$0.41,631
Clinton,5/8/2016 12:00:00 AM,$0.63,$0.64,$0.60,$0.63,425
Sanders,5/9/2016 12:00:00 AM,$0.41,$0.41,$0.38,$0.40,630
Clinton,5/9/2016 12:00:00 AM,$0.63,$0.67,$0.63,$0.63,872
Sanders,5/10/2016 12:00:00 AM,$0.40,$0.42,$0.36,$0.37,3473
Clinton,5/10/2016 12:00:00 AM,$0.63,$0.65,$0.58,$0.64,3225
Sanders,5/11/2016 12:00:00 AM,$0.37,$0.41,$0.25,$0.26,6921
Clinton,5/11/2016 12:00:00 AM,$0.64,$0.75,$0.61,$0.71,6439
Sanders,5/12/2016 12:00:00 AM,$0.26,$0.32,$0.25,$0.25,1331
Clinton,5/12/2016 12:00:00 AM,$0.71,$0.75,$0.69,$0.71,1781
Sanders,5/13/2016 12:00:00 AM,$0.25,$0.29,$0.25,$0.29,4557
Clinton,5/13/2016 12:00:00 AM,$0.71,$0.75,$0.70,$0.70,1279
Sanders,5/14/2016 12:00:00 AM,$0.29,$0.29,$0.23,$0.26,1352
Clinton,5/14/2016 12:00:00 AM,$0.70,$0.79,$0.70,$0.78,1283
