ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Sanders,4/29/2016 12:00:00 AM,$0.84,$0.91,$0.63,$0.84,3599
Clinton,4/29/2016 12:00:00 AM,$0.16,$0.64,$0.12,$0.15,3716
Sanders,4/30/2016 12:00:00 AM,$0.84,$0.90,$0.82,$0.89,2032
Clinton,4/30/2016 12:00:00 AM,$0.15,$0.19,$0.14,$0.17,1790
Sanders,5/1/2016 12:00:00 AM,$0.89,$0.94,$0.72,$0.80,6417
Clinton,5/1/2016 12:00:00 AM,$0.17,$0.27,$0.11,$0.23,5229
Sanders,5/2/2016 12:00:00 AM,$0.80,$0.84,$0.75,$0.81,3162
Clinton,5/2/2016 12:00:00 AM,$0.23,$0.25,$0.15,$0.21,3507
Sanders,5/3/2016 12:00:00 AM,$0.81,$0.86,$0.75,$0.84,1632
Clinton,5/3/2016 12:00:00 AM,$0.21,$0.30,$0.16,$0.16,1896
Sanders,5/4/2016 12:00:00 AM,$0.84,$0.90,$0.79,$0.84,3924
Clinton,5/4/2016 12:00:00 AM,$0.16,$0.23,$0.13,$0.16,3070
Sanders,5/5/2016 12:00:00 AM,$0.84,$0.86,$0.81,$0.82,1100
Clinton,5/5/2016 12:00:00 AM,$0.16,$0.19,$0.14,$0.15,890
Sanders,5/6/2016 12:00:00 AM,$0.82,$0.88,$0.82,$0.85,391
Clinton,5/6/2016 12:00:00 AM,$0.15,$0.17,$0.12,$0.17,631
Sanders,5/7/2016 12:00:00 AM,$0.85,$0.87,$0.84,$0.85,428
Clinton,5/7/2016 12:00:00 AM,$0.17,$0.17,$0.14,$0.14,297
Sanders,5/8/2016 12:00:00 AM,$0.85,$0.87,$0.84,$0.87,32
Clinton,5/8/2016 12:00:00 AM,$0.14,$0.17,$0.14,$0.14,356
Sanders,5/9/2016 12:00:00 AM,$0.87,$0.88,$0.84,$0.88,371
Clinton,5/9/2016 12:00:00 AM,$0.14,$0.15,$0.13,$0.14,748
Sanders,5/10/2016 12:00:00 AM,$0.88,$0.89,$0.85,$0.89,2001
Clinton,5/10/2016 12:00:00 AM,$0.14,$0.16,$0.12,$0.13,1382
Sanders,5/11/2016 12:00:00 AM,$0.89,$0.90,$0.86,$0.87,4115
Clinton,5/11/2016 12:00:00 AM,$0.13,$0.15,$0.11,$0.15,3022
Sanders,5/12/2016 12:00:00 AM,$0.87,$0.87,$0.83,$0.85,2518
Clinton,5/12/2016 12:00:00 AM,$0.15,$0.17,$0.14,$0.16,2784
Sanders,5/13/2016 12:00:00 AM,$0.85,$0.88,$0.85,$0.88,1312
Clinton,5/13/2016 12:00:00 AM,$0.16,$0.16,$0.14,$0.14,229
Sanders,5/14/2016 12:00:00 AM,$0.88,$0.89,$0.86,$0.88,1033
Clinton,5/14/2016 12:00:00 AM,$0.14,$0.15,$0.11,$0.13,1810
Sanders,5/15/2016 12:00:00 AM,$0.88,$0.88,$0.84,$0.85,2504
Clinton,5/15/2016 12:00:00 AM,$0.13,$0.17,$0.13,$0.17,3423
Sanders,5/16/2016 12:00:00 AM,$0.85,$0.85,$0.83,$0.85,843
Clinton,5/16/2016 12:00:00 AM,$0.17,$0.17,$0.16,$0.16,335
Sanders,5/17/2016 12:00:00 AM,$0.85,$0.85,$0.75,$0.83,6164
Clinton,5/17/2016 12:00:00 AM,$0.16,$0.22,$0.15,$0.17,4048
Sanders,5/18/2016 12:00:00 AM,$0.83,$0.89,$0.82,$0.87,4423
Clinton,5/18/2016 12:00:00 AM,$0.17,$0.17,$0.12,$0.13,2460
Sanders,5/19/2016 12:00:00 AM,$0.87,$0.89,$0.87,$0.88,1251
