ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Sanders,3/2/2016 12:00:00 AM,$0.50,$0.50,$0.12,$0.15,3124
Clinton,3/2/2016 12:00:00 AM,$0.90,$0.90,$0.81,$0.85,4870
Sanders,3/3/2016 12:00:00 AM,$0.15,$0.19,$0.12,$0.16,7467
Clinton,3/3/2016 12:00:00 AM,$0.85,$0.89,$0.83,$0.85,5454
Sanders,3/4/2016 12:00:00 AM,$0.16,$0.17,$0.12,$0.16,2747
Clinton,3/4/2016 12:00:00 AM,$0.85,$0.88,$0.84,$0.86,2675
Sanders,3/5/2016 12:00:00 AM,$0.16,$0.35,$0.14,$0.25,2898
Clinton,3/5/2016 12:00:00 AM,$0.86,$0.88,$0.71,$0.79,4762
Sanders,3/6/2016 12:00:00 AM,$0.25,$0.26,$0.16,$0.17,5021
Clinton,3/6/2016 12:00:00 AM,$0.79,$0.86,$0.77,$0.83,11121
Sanders,3/7/2016 12:00:00 AM,$0.17,$0.17,$0.08,$0.11,9594
Clinton,3/7/2016 12:00:00 AM,$0.83,$0.93,$0.83,$0.92,10533
Sanders,3/8/2016 12:00:00 AM,$0.11,$0.77,$0.06,$0.51,17801
Clinton,3/8/2016 12:00:00 AM,$0.92,$0.94,$0.40,$0.60,19321
Sanders,3/9/2016 12:00:00 AM,$0.51,$0.60,$0.30,$0.36,41693
Clinton,3/9/2016 12:00:00 AM,$0.60,$0.79,$0.49,$0.66,46060
Sanders,3/10/2016 12:00:00 AM,$0.36,$0.46,$0.34,$0.37,28715
Clinton,3/10/2016 12:00:00 AM,$0.66,$0.66,$0.56,$0.64,27082
Sanders,3/11/2016 12:00:00 AM,$0.37,$0.44,$0.32,$0.41,29852
Clinton,3/11/2016 12:00:00 AM,$0.64,$0.69,$0.58,$0.62,26147
Sanders,3/12/2016 12:00:00 AM,$0.41,$0.44,$0.35,$0.37,17680
Clinton,3/12/2016 12:00:00 AM,$0.62,$0.67,$0.57,$0.66,15944
Sanders,3/13/2016 12:00:00 AM,$0.37,$0.41,$0.30,$0.38,35897
Clinton,3/13/2016 12:00:00 AM,$0.66,$0.75,$0.60,$0.62,30431
Sanders,3/14/2016 12:00:00 AM,$0.38,$0.50,$0.33,$0.36,50188
Clinton,3/14/2016 12:00:00 AM,$0.62,$0.69,$0.55,$0.64,48246
Sanders,3/15/2016 12:00:00 AM,$0.36,$0.55,$0.01,$0.01,213646
Clinton,3/15/2016 12:00:00 AM,$0.64,$0.99,$0.46,$0.99,196734
Sanders,3/16/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,6162
Clinton,3/16/2016 12:00:00 AM,$0.99,$0.99,$0.99,$0.99,5262
