ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Sanders,3/29/2016 12:00:00 AM,$0.95,$0.95,$0.80,$0.92,3745
Clinton,3/29/2016 12:00:00 AM,$0.18,$0.18,$0.08,$0.09,2826
Sanders,3/30/2016 12:00:00 AM,$0.92,$0.93,$0.90,$0.93,2866
Clinton,3/30/2016 12:00:00 AM,$0.09,$0.11,$0.07,$0.07,2074
Sanders,3/31/2016 12:00:00 AM,$0.93,$0.93,$0.89,$0.91,1306
Clinton,3/31/2016 12:00:00 AM,$0.07,$0.13,$0.07,$0.08,1260
Sanders,4/1/2016 12:00:00 AM,$0.91,$0.94,$0.91,$0.94,910
Clinton,4/1/2016 12:00:00 AM,$0.08,$0.09,$0.07,$0.09,920
Sanders,4/2/2016 12:00:00 AM,$0.94,$0.94,$0.91,$0.92,128
Clinton,4/2/2016 12:00:00 AM,$0.09,$0.09,$0.07,$0.09,787
Sanders,4/3/2016 12:00:00 AM,$0.92,$0.92,$0.91,$0.92,102
Clinton,4/3/2016 12:00:00 AM,$0.09,$0.09,$0.08,$0.09,125
Sanders,4/4/2016 12:00:00 AM,$0.92,$0.92,$0.90,$0.92,153
Clinton,4/4/2016 12:00:00 AM,$0.09,$0.10,$0.09,$0.10,35
Sanders,4/5/2016 12:00:00 AM,$0.92,$0.93,$0.91,$0.93,796
Clinton,4/5/2016 12:00:00 AM,$0.10,$0.10,$0.07,$0.08,253
Sanders,4/6/2016 12:00:00 AM,$0.93,$0.95,$0.92,$0.94,2420
Clinton,4/6/2016 12:00:00 AM,$0.08,$0.08,$0.07,$0.07,972
Sanders,4/7/2016 12:00:00 AM,$0.94,$0.95,$0.90,$0.90,548
Clinton,4/7/2016 12:00:00 AM,$0.07,$0.99,$0.06,$0.08,4908
Sanders,4/8/2016 12:00:00 AM,$0.90,$0.94,$0.90,$0.92,872
Clinton,4/8/2016 12:00:00 AM,$0.08,$0.22,$0.08,$0.10,976
Sanders,4/9/2016 12:00:00 AM,$0.92,$0.93,$0.91,$0.91,829
Clinton,4/9/2016 12:00:00 AM,$0.10,$0.11,$0.07,$0.09,706
Sanders,4/10/2016 12:00:00 AM,$0.91,$0.91,$0.85,$0.89,4600
Clinton,4/10/2016 12:00:00 AM,$0.09,$0.19,$0.09,$0.14,3140
Sanders,4/11/2016 12:00:00 AM,$0.89,$0.89,$0.85,$0.86,3570
Clinton,4/11/2016 12:00:00 AM,$0.14,$0.18,$0.11,$0.14,2508
Sanders,4/12/2016 12:00:00 AM,$0.86,$0.88,$0.84,$0.87,540
Clinton,4/12/2016 12:00:00 AM,$0.14,$0.16,$0.13,$0.13,219
Sanders,4/13/2016 12:00:00 AM,$0.87,$0.89,$0.87,$0.89,2486
Clinton,4/13/2016 12:00:00 AM,$0.13,$0.14,$0.07,$0.12,1233
Sanders,4/14/2016 12:00:00 AM,$0.89,$0.89,$0.86,$0.86,519
Clinton,4/14/2016 12:00:00 AM,$0.12,$0.15,$0.10,$0.13,555
Sanders,4/15/2016 12:00:00 AM,$0.86,$0.88,$0.84,$0.86,1517
Clinton,4/15/2016 12:00:00 AM,$0.13,$0.17,$0.12,$0.16,1206
Sanders,4/16/2016 12:00:00 AM,$0.86,$0.87,$0.76,$0.83,4768
Clinton,4/16/2016 12:00:00 AM,$0.16,$0.21,$0.15,$0.18,2763
Sanders,4/17/2016 12:00:00 AM,$0.83,$0.85,$0.76,$0.80,1175
