ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Sanders,3/23/2016 12:00:00 AM,$0.51,$0.53,$0.22,$0.44,8645
Clinton,3/23/2016 12:00:00 AM,$0.75,$0.82,$0.45,$0.57,9415
Sanders,3/24/2016 12:00:00 AM,$0.44,$0.45,$0.37,$0.41,6460
Clinton,3/24/2016 12:00:00 AM,$0.57,$0.68,$0.56,$0.60,5437
Sanders,3/25/2016 12:00:00 AM,$0.41,$0.48,$0.41,$0.42,5662
Clinton,3/25/2016 12:00:00 AM,$0.60,$0.60,$0.55,$0.58,4428
Sanders,3/26/2016 12:00:00 AM,$0.42,$0.49,$0.40,$0.48,4358
Clinton,3/26/2016 12:00:00 AM,$0.58,$0.60,$0.51,$0.56,4645
Sanders,3/27/2016 12:00:00 AM,$0.48,$0.50,$0.40,$0.43,6020
Clinton,3/27/2016 12:00:00 AM,$0.56,$0.61,$0.54,$0.58,5762
Sanders,3/28/2016 12:00:00 AM,$0.43,$0.49,$0.42,$0.49,3674
Clinton,3/28/2016 12:00:00 AM,$0.58,$0.60,$0.52,$0.54,3574
Sanders,3/29/2016 12:00:00 AM,$0.49,$0.68,$0.46,$0.57,12900
Clinton,3/29/2016 12:00:00 AM,$0.54,$0.55,$0.32,$0.45,10836
Sanders,3/30/2016 12:00:00 AM,$0.57,$0.60,$0.55,$0.59,4220
Clinton,3/30/2016 12:00:00 AM,$0.45,$0.47,$0.40,$0.42,3691
Sanders,3/31/2016 12:00:00 AM,$0.59,$0.67,$0.59,$0.65,5029
Clinton,3/31/2016 12:00:00 AM,$0.42,$0.42,$0.33,$0.36,2734
Sanders,4/1/2016 12:00:00 AM,$0.65,$0.68,$0.58,$0.59,2257
Clinton,4/1/2016 12:00:00 AM,$0.36,$0.41,$0.35,$0.41,2300
Sanders,4/2/2016 12:00:00 AM,$0.59,$0.62,$0.59,$0.62,2475
Clinton,4/2/2016 12:00:00 AM,$0.41,$0.45,$0.38,$0.39,782
Sanders,4/3/2016 12:00:00 AM,$0.62,$0.65,$0.61,$0.62,1655
Clinton,4/3/2016 12:00:00 AM,$0.39,$0.40,$0.35,$0.36,471
Sanders,4/4/2016 12:00:00 AM,$0.62,$0.74,$0.60,$0.66,4277
Clinton,4/4/2016 12:00:00 AM,$0.36,$0.37,$0.27,$0.34,2076
Sanders,4/5/2016 12:00:00 AM,$0.66,$0.72,$0.61,$0.61,4416
Clinton,4/5/2016 12:00:00 AM,$0.34,$0.40,$0.30,$0.35,1509
Sanders,4/6/2016 12:00:00 AM,$0.61,$0.75,$0.61,$0.70,9805
Clinton,4/6/2016 12:00:00 AM,$0.35,$0.36,$0.28,$0.32,7386
Sanders,4/7/2016 12:00:00 AM,$0.70,$0.72,$0.68,$0.69,1646
Clinton,4/7/2016 12:00:00 AM,$0.32,$0.35,$0.30,$0.32,3462
Sanders,4/8/2016 12:00:00 AM,$0.69,$0.73,$0.65,$0.65,5098
Clinton,4/8/2016 12:00:00 AM,$0.32,$0.37,$0.31,$0.34,3780
Sanders,4/9/2016 12:00:00 AM,$0.65,$0.67,$0.60,$0.60,9365
Clinton,4/9/2016 12:00:00 AM,$0.34,$0.40,$0.34,$0.38,5855
Sanders,4/10/2016 12:00:00 AM,$0.60,$0.67,$0.60,$0.63,3734
Clinton,4/10/2016 12:00:00 AM,$0.38,$0.41,$0.37,$0.37,4825
Sanders,4/11/2016 12:00:00 AM,$0.63,$0.68,$0.55,$0.57,7285
Clinton,4/11/2016 12:00:00 AM,$0.37,$0.47,$0.35,$0.43,5937
Sanders,4/12/2016 12:00:00 AM,$0.57,$0.60,$0.45,$0.60,10876
Clinton,4/12/2016 12:00:00 AM,$0.43,$0.59,$0.39,$0.39,10030
Sanders,4/13/2016 12:00:00 AM,$0.60,$0.67,$0.57,$0.58,4527
Clinton,4/13/2016 12:00:00 AM,$0.39,$0.45,$0.39,$0.44,1725
Sanders,4/14/2016 12:00:00 AM,$0.58,$0.61,$0.52,$0.55,4648
Clinton,4/14/2016 12:00:00 AM,$0.44,$0.48,$0.41,$0.48,7458
Sanders,4/15/2016 12:00:00 AM,$0.55,$0.57,$0.51,$0.54,4887
Clinton,4/15/2016 12:00:00 AM,$0.48,$0.48,$0.44,$0.48,2960
Sanders,4/16/2016 12:00:00 AM,$0.54,$0.55,$0.44,$0.48,11170
Clinton,4/16/2016 12:00:00 AM,$0.48,$0.59,$0.47,$0.58,10295
Sanders,4/17/2016 12:00:00 AM,$0.48,$0.49,$0.43,$0.45,5751
Clinton,4/17/2016 12:00:00 AM,$0.58,$0.60,$0.55,$0.59,4782
