ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Clinton,11/30/2015 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,0
Sanders,11/30/2015 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
O'Malley,11/30/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/1/2015 12:00:00 AM,$0.93,$0.96,$0.93,$0.94,614
Sanders,12/1/2015 12:00:00 AM,$0.06,$0.06,$0.01,$0.01,719
O'Malley,12/1/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,98
Clinton,12/2/2015 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Sanders,12/2/2015 12:00:00 AM,$0.01,$0.04,$0.01,$0.04,50
O'Malley,12/2/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,25
Clinton,12/3/2015 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Sanders,12/3/2015 12:00:00 AM,$0.04,$0.06,$0.04,$0.06,190
O'Malley,12/3/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
Clinton,12/4/2015 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,100
Sanders,12/4/2015 12:00:00 AM,$0.06,$0.09,$0.06,$0.09,50
O'Malley,12/4/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/5/2015 12:00:00 AM,$0.94,$0.95,$0.92,$0.95,200
Sanders,12/5/2015 12:00:00 AM,$0.09,$0.11,$0.05,$0.05,500
O'Malley,12/5/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/6/2015 12:00:00 AM,$0.95,$0.95,$0.92,$0.92,50
Sanders,12/6/2015 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
O'Malley,12/6/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/7/2015 12:00:00 AM,$0.92,$0.92,$0.92,$0.92,0
Sanders,12/7/2015 12:00:00 AM,$0.05,$0.10,$0.05,$0.10,5
O'Malley,12/7/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/8/2015 12:00:00 AM,$0.92,$0.93,$0.92,$0.93,100
Sanders,12/8/2015 12:00:00 AM,$0.10,$0.10,$0.10,$0.10,0
O'Malley,12/8/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/9/2015 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,0
Sanders,12/9/2015 12:00:00 AM,$0.10,$0.10,$0.10,$0.10,0
O'Malley,12/9/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/10/2015 12:00:00 AM,$0.93,$0.96,$0.93,$0.96,1
Sanders,12/10/2015 12:00:00 AM,$0.10,$0.10,$0.04,$0.04,2
O'Malley,12/10/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
Clinton,12/11/2015 12:00:00 AM,$0.96,$0.96,$0.93,$0.93,2
Sanders,12/11/2015 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
O'Malley,12/11/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/12/2015 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,0
Sanders,12/12/2015 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
O'Malley,12/12/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/13/2015 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,0
Sanders,12/13/2015 12:00:00 AM,$0.04,$0.06,$0.04,$0.06,20
O'Malley,12/13/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/14/2015 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,4
Sanders,12/14/2015 12:00:00 AM,$0.06,$0.08,$0.05,$0.05,11
O'Malley,12/14/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/15/2015 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,0
Sanders,12/15/2015 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
O'Malley,12/15/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/16/2015 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,0
Sanders,12/16/2015 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
O'Malley,12/16/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/17/2015 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,0
Sanders,12/17/2015 12:00:00 AM,$0.05,$0.08,$0.05,$0.08,100
O'Malley,12/17/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/18/2015 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,0
