ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Sanders,4/29/2016 12:00:00 AM,$0.50,$0.76,$0.40,$0.67,7941
Clinton,4/29/2016 12:00:00 AM,$0.78,$0.78,$0.32,$0.32,3453
Sanders,4/30/2016 12:00:00 AM,$0.67,$0.69,$0.56,$0.65,4303
Clinton,4/30/2016 12:00:00 AM,$0.32,$0.41,$0.32,$0.37,1990
Sanders,5/1/2016 12:00:00 AM,$0.65,$0.68,$0.57,$0.64,2342
Clinton,5/1/2016 12:00:00 AM,$0.37,$0.43,$0.36,$0.41,2522
Sanders,5/2/2016 12:00:00 AM,$0.64,$0.64,$0.54,$0.59,3763
Clinton,5/2/2016 12:00:00 AM,$0.41,$0.45,$0.39,$0.43,2678
Sanders,5/3/2016 12:00:00 AM,$0.59,$0.79,$0.35,$0.77,12656
Clinton,5/3/2016 12:00:00 AM,$0.43,$0.57,$0.23,$0.24,9708
Sanders,5/4/2016 12:00:00 AM,$0.77,$0.86,$0.71,$0.83,4719
Clinton,5/4/2016 12:00:00 AM,$0.24,$0.31,$0.16,$0.22,4606
Sanders,5/5/2016 12:00:00 AM,$0.83,$0.83,$0.73,$0.80,1261
Clinton,5/5/2016 12:00:00 AM,$0.22,$0.25,$0.20,$0.20,882
Sanders,5/6/2016 12:00:00 AM,$0.80,$0.83,$0.80,$0.82,777
Clinton,5/6/2016 12:00:00 AM,$0.20,$0.23,$0.20,$0.23,793
Sanders,5/7/2016 12:00:00 AM,$0.82,$0.82,$0.80,$0.81,183
Clinton,5/7/2016 12:00:00 AM,$0.23,$0.23,$0.21,$0.21,469
Sanders,5/8/2016 12:00:00 AM,$0.81,$0.83,$0.80,$0.83,281
Clinton,5/8/2016 12:00:00 AM,$0.21,$0.22,$0.16,$0.16,1294
Sanders,5/9/2016 12:00:00 AM,$0.83,$0.83,$0.79,$0.82,757
Clinton,5/9/2016 12:00:00 AM,$0.16,$0.20,$0.16,$0.18,382
Sanders,5/10/2016 12:00:00 AM,$0.82,$0.87,$0.79,$0.80,3472
Clinton,5/10/2016 12:00:00 AM,$0.18,$0.22,$0.15,$0.22,2227
Sanders,5/11/2016 12:00:00 AM,$0.80,$0.83,$0.71,$0.76,5305
Clinton,5/11/2016 12:00:00 AM,$0.22,$0.28,$0.20,$0.26,2238
Sanders,5/12/2016 12:00:00 AM,$0.76,$0.76,$0.69,$0.75,3235
Clinton,5/12/2016 12:00:00 AM,$0.26,$0.37,$0.26,$0.28,6086
Sanders,5/13/2016 12:00:00 AM,$0.75,$0.77,$0.73,$0.76,1747
Clinton,5/13/2016 12:00:00 AM,$0.28,$0.31,$0.24,$0.26,2460
Sanders,5/14/2016 12:00:00 AM,$0.76,$0.77,$0.75,$0.77,220
Clinton,5/14/2016 12:00:00 AM,$0.26,$0.29,$0.23,$0.29,1401
Sanders,5/15/2016 12:00:00 AM,$0.77,$0.77,$0.66,$0.71,6152
Clinton,5/15/2016 12:00:00 AM,$0.29,$0.31,$0.25,$0.28,4779
Sanders,5/16/2016 12:00:00 AM,$0.71,$0.78,$0.71,$0.72,3266
Clinton,5/16/2016 12:00:00 AM,$0.28,$0.29,$0.24,$0.26,1121
Sanders,5/17/2016 12:00:00 AM,$0.72,$0.76,$0.66,$0.72,5772
Clinton,5/17/2016 12:00:00 AM,$0.26,$0.36,$0.26,$0.28,5544
Sanders,5/18/2016 12:00:00 AM,$0.72,$0.84,$0.70,$0.78,11576
Clinton,5/18/2016 12:00:00 AM,$0.28,$0.30,$0.16,$0.20,7378
Sanders,5/19/2016 12:00:00 AM,$0.78,$0.84,$0.78,$0.82,8070
Clinton,5/19/2016 12:00:00 AM,$0.20,$0.23,$0.18,$0.18,3442
Sanders,5/20/2016 12:00:00 AM,$0.82,$0.85,$0.81,$0.85,4103
Clinton,5/20/2016 12:00:00 AM,$0.18,$0.21,$0.16,$0.19,4495
Sanders,5/21/2016 12:00:00 AM,$0.85,$0.85,$0.82,$0.82,3235
Clinton,5/21/2016 12:00:00 AM,$0.19,$0.25,$0.16,$0.18,3315
Sanders,5/22/2016 12:00:00 AM,$0.82,$0.84,$0.82,$0.84,561
Clinton,5/22/2016 12:00:00 AM,$0.18,$0.20,$0.17,$0.19,1893
Sanders,5/23/2016 12:00:00 AM,$0.84,$0.84,$0.78,$0.82,8768
Clinton,5/23/2016 12:00:00 AM,$0.19,$0.21,$0.16,$0.20,4481
Sanders,5/24/2016 12:00:00 AM,$0.82,$0.82,$0.79,$0.82,2516
Clinton,5/24/2016 12:00:00 AM,$0.20,$0.25,$0.18,$0.20,6217
Sanders,5/25/2016 12:00:00 AM,$0.82,$0.82,$0.75,$0.79,9374
Clinton,5/25/2016 12:00:00 AM,$0.20,$0.27,$0.20,$0.23,7797
Sanders,5/26/2016 12:00:00 AM,$0.79,$0.82,$0.76,$0.80,5802
Clinton,5/26/2016 12:00:00 AM,$0.23,$0.23,$0.17,$0.17,6550
Sanders,5/27/2016 12:00:00 AM,$0.80,$0.87,$0.80,$0.87,7856
Clinton,5/27/2016 12:00:00 AM,$0.17,$0.22,$0.13,$0.14,4711
Sanders,5/28/2016 12:00:00 AM,$0.87,$0.88,$0.85,$0.86,3023
Clinton,5/28/2016 12:00:00 AM,$0.14,$0.16,$0.14,$0.15,684
Sanders,5/29/2016 12:00:00 AM,$0.86,$0.87,$0.85,$0.86,762
Clinton,5/29/2016 12:00:00 AM,$0.15,$0.16,$0.14,$0.14,1832
Sanders,5/30/2016 12:00:00 AM,$0.86,$0.87,$0.77,$0.83,16446
Clinton,5/30/2016 12:00:00 AM,$0.14,$0.23,$0.14,$0.20,14243
Sanders,5/31/2016 12:00:00 AM,$0.83,$0.86,$0.82,$0.83,5098
Clinton,5/31/2016 12:00:00 AM,$0.20,$0.21,$0.15,$0.19,8636
Sanders,6/1/2016 12:00:00 AM,$0.83,$0.89,$0.82,$0.87,4922
