ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Clinton,12/5/2015 12:00:00 AM,$0.45,$0.92,$0.35,$0.91,504
Sanders,12/5/2015 12:00:00 AM,$0.10,$0.11,$0.10,$0.10,119
Clinton,12/6/2015 12:00:00 AM,$0.91,$0.91,$0.91,$0.91,1
Sanders,12/6/2015 12:00:00 AM,$0.10,$0.10,$0.10,$0.10,110
O'Malley,12/6/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,100
Clinton,12/7/2015 12:00:00 AM,$0.91,$0.91,$0.91,$0.91,221
Sanders,12/7/2015 12:00:00 AM,$0.10,$0.10,$0.10,$0.10,73
O'Malley,12/7/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/8/2015 12:00:00 AM,$0.91,$0.95,$0.91,$0.95,262
Sanders,12/8/2015 12:00:00 AM,$0.10,$0.10,$0.04,$0.05,518
O'Malley,12/8/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/9/2015 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Sanders,12/9/2015 12:00:00 AM,$0.05,$0.08,$0.05,$0.08,13
O'Malley,12/9/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/10/2015 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Sanders,12/10/2015 12:00:00 AM,$0.08,$0.08,$0.06,$0.08,87
O'Malley,12/10/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/11/2015 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Sanders,12/11/2015 12:00:00 AM,$0.08,$0.08,$0.06,$0.06,150
O'Malley,12/11/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/12/2015 12:00:00 AM,$0.95,$0.95,$0.95,$0.95,0
Sanders,12/12/2015 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
O'Malley,12/12/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/13/2015 12:00:00 AM,$0.95,$0.95,$0.91,$0.91,114
Sanders,12/13/2015 12:00:00 AM,$0.06,$0.10,$0.06,$0.10,132
O'Malley,12/13/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/14/2015 12:00:00 AM,$0.91,$0.91,$0.91,$0.91,0
Sanders,12/14/2015 12:00:00 AM,$0.10,$0.10,$0.10,$0.10,0
O'Malley,12/14/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/15/2015 12:00:00 AM,$0.91,$0.94,$0.91,$0.94,47
Sanders,12/15/2015 12:00:00 AM,$0.10,$0.10,$0.09,$0.09,10
O'Malley,12/15/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/16/2015 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Sanders,12/16/2015 12:00:00 AM,$0.09,$0.09,$0.09,$0.09,0
O'Malley,12/16/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/17/2015 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Sanders,12/17/2015 12:00:00 AM,$0.09,$0.09,$0.09,$0.09,0
O'Malley,12/17/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/18/2015 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Sanders,12/18/2015 12:00:00 AM,$0.09,$0.09,$0.09,$0.09,0
O'Malley,12/18/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/19/2015 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Sanders,12/19/2015 12:00:00 AM,$0.09,$0.09,$0.09,$0.09,0
O'Malley,12/19/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/20/2015 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Sanders,12/20/2015 12:00:00 AM,$0.09,$0.09,$0.09,$0.09,0
O'Malley,12/20/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/21/2015 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Sanders,12/21/2015 12:00:00 AM,$0.09,$0.10,$0.09,$0.10,50
O'Malley,12/21/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/22/2015 12:00:00 AM,$0.94,$0.94,$0.90,$0.90,30
Sanders,12/22/2015 12:00:00 AM,$0.10,$0.12,$0.10,$0.12,10
O'Malley,12/22/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/23/2015 12:00:00 AM,$0.90,$0.91,$0.90,$0.91,10
Sanders,12/23/2015 12:00:00 AM,$0.12,$0.12,$0.11,$0.11,10
O'Malley,12/23/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/24/2015 12:00:00 AM,$0.91,$0.91,$0.91,$0.91,0
Sanders,12/24/2015 12:00:00 AM,$0.11,$0.11,$0.11,$0.11,0
O'Malley,12/24/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/25/2015 12:00:00 AM,$0.91,$0.91,$0.91,$0.91,0
Sanders,12/25/2015 12:00:00 AM,$0.11,$0.12,$0.11,$0.12,40
O'Malley,12/25/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/26/2015 12:00:00 AM,$0.91,$0.91,$0.91,$0.91,0
Sanders,12/26/2015 12:00:00 AM,$0.12,$0.12,$0.12,$0.12,0
O'Malley,12/26/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/27/2015 12:00:00 AM,$0.91,$0.91,$0.90,$0.90,18
Sanders,12/27/2015 12:00:00 AM,$0.12,$0.12,$0.12,$0.12,0
O'Malley,12/27/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/28/2015 12:00:00 AM,$0.90,$0.90,$0.90,$0.90,7
Sanders,12/28/2015 12:00:00 AM,$0.12,$0.12,$0.12,$0.12,0
O'Malley,12/28/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/29/2015 12:00:00 AM,$0.90,$0.90,$0.90,$0.90,0
Sanders,12/29/2015 12:00:00 AM,$0.12,$0.12,$0.12,$0.12,0
O'Malley,12/29/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/30/2015 12:00:00 AM,$0.90,$0.90,$0.90,$0.90,0
Sanders,12/30/2015 12:00:00 AM,$0.12,$0.12,$0.12,$0.12,0
O'Malley,12/30/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/31/2015 12:00:00 AM,$0.90,$0.90,$0.90,$0.90,0
Sanders,12/31/2015 12:00:00 AM,$0.12,$0.12,$0.12,$0.12,0
O'Malley,12/31/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,1/1/2016 12:00:00 AM,$0.90,$0.90,$0.90,$0.90,0
Sanders,1/1/2016 12:00:00 AM,$0.12,$0.12,$0.08,$0.08,565
O'Malley,1/1/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,1/2/2016 12:00:00 AM,$0.90,$0.90,$0.89,$0.89,199
Sanders,1/2/2016 12:00:00 AM,$0.08,$0.08,$0.08,$0.08,0
O'Malley,1/2/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,1/3/2016 12:00:00 AM,$0.89,$0.91,$0.88,$0.88,22
Sanders,1/3/2016 12:00:00 AM,$0.08,$0.14,$0.08,$0.14,60
O'Malley,1/3/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,1/4/2016 12:00:00 AM,$0.88,$0.88,$0.88,$0.88,0
Sanders,1/4/2016 12:00:00 AM,$0.14,$0.14,$0.14,$0.14,0
O'Malley,1/4/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,1/5/2016 12:00:00 AM,$0.88,$0.88,$0.84,$0.84,666
Sanders,1/5/2016 12:00:00 AM,$0.14,$0.17,$0.14,$0.17,662
O'Malley,1/5/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,1/6/2016 12:00:00 AM,$0.84,$0.84,$0.84,$0.84,0
Sanders,1/6/2016 12:00:00 AM,$0.17,$0.48,$0.10,$0.10,21
O'Malley,1/6/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,1/7/2016 12:00:00 AM,$0.84,$0.91,$0.84,$0.91,11
Sanders,1/7/2016 12:00:00 AM,$0.10,$0.29,$0.09,$0.29,157
O'Malley,1/7/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,1/8/2016 12:00:00 AM,$0.91,$0.91,$0.91,$0.91,0
Sanders,1/8/2016 12:00:00 AM,$0.29,$0.29,$0.11,$0.11,5
O'Malley,1/8/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,1/9/2016 12:00:00 AM,$0.91,$0.91,$0.91,$0.91,0
Sanders,1/9/2016 12:00:00 AM,$0.11,$0.11,$0.11,$0.11,0
O'Malley,1/9/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,1/10/2016 12:00:00 AM,$0.91,$0.91,$0.89,$0.89,1
Sanders,1/10/2016 12:00:00 AM,$0.11,$0.27,$0.11,$0.27,4
O'Malley,1/10/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,1/11/2016 12:00:00 AM,$0.89,$0.89,$0.89,$0.89,0
Sanders,1/11/2016 12:00:00 AM,$0.27,$0.33,$0.11,$0.17,8
O'Malley,1/11/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,1/12/2016 12:00:00 AM,$0.89,$0.89,$0.83,$0.83,1
