ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Clinton,3/22/2016 12:00:00 AM,$0.13,$0.20,$0.09,$0.12,2163
Sanders,3/22/2016 12:00:00 AM,$0.89,$0.90,$0.70,$0.88,2162
Clinton,3/23/2016 12:00:00 AM,$0.12,$0.13,$0.03,$0.08,7981
Sanders,3/23/2016 12:00:00 AM,$0.88,$0.95,$0.88,$0.93,3412
Clinton,3/24/2016 12:00:00 AM,$0.08,$0.08,$0.06,$0.07,331
Sanders,3/24/2016 12:00:00 AM,$0.93,$0.95,$0.93,$0.94,1369
Clinton,3/25/2016 12:00:00 AM,$0.07,$0.08,$0.06,$0.07,263
Sanders,3/25/2016 12:00:00 AM,$0.94,$0.94,$0.93,$0.94,355
Clinton,3/26/2016 12:00:00 AM,$0.07,$0.08,$0.05,$0.05,1571
Sanders,3/26/2016 12:00:00 AM,$0.94,$0.95,$0.94,$0.95,1611
Clinton,3/27/2016 12:00:00 AM,$0.05,$0.07,$0.03,$0.04,6448
Sanders,3/27/2016 12:00:00 AM,$0.95,$0.99,$0.94,$0.97,5904
Clinton,3/28/2016 12:00:00 AM,$0.04,$0.05,$0.03,$0.03,1067
Sanders,3/28/2016 12:00:00 AM,$0.97,$0.97,$0.95,$0.95,1814
Clinton,3/29/2016 12:00:00 AM,$0.03,$0.05,$0.03,$0.05,446
Sanders,3/29/2016 12:00:00 AM,$0.95,$0.97,$0.95,$0.97,1138
Clinton,3/30/2016 12:00:00 AM,$0.05,$0.05,$0.03,$0.05,1533
Sanders,3/30/2016 12:00:00 AM,$0.97,$0.97,$0.95,$0.95,1772
Clinton,3/31/2016 12:00:00 AM,$0.05,$0.05,$0.04,$0.05,887
Sanders,3/31/2016 12:00:00 AM,$0.95,$0.97,$0.95,$0.96,907
Clinton,4/1/2016 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,229
Sanders,4/1/2016 12:00:00 AM,$0.96,$0.97,$0.95,$0.96,470
Clinton,4/2/2016 12:00:00 AM,$0.04,$0.05,$0.03,$0.05,1054
Sanders,4/2/2016 12:00:00 AM,$0.96,$0.98,$0.95,$0.96,2591
Clinton,4/3/2016 12:00:00 AM,$0.05,$0.05,$0.03,$0.04,2591
Sanders,4/3/2016 12:00:00 AM,$0.96,$0.97,$0.95,$0.97,515
Clinton,4/4/2016 12:00:00 AM,$0.04,$0.08,$0.04,$0.04,2184
Sanders,4/4/2016 12:00:00 AM,$0.97,$0.97,$0.94,$0.96,3182
Clinton,4/5/2016 12:00:00 AM,$0.04,$0.06,$0.03,$0.04,4819
Sanders,4/5/2016 12:00:00 AM,$0.96,$0.97,$0.94,$0.97,5518
Clinton,4/6/2016 12:00:00 AM,$0.04,$0.04,$0.01,$0.03,16358
Sanders,4/6/2016 12:00:00 AM,$0.97,$0.98,$0.96,$0.97,19185
Clinton,4/7/2016 12:00:00 AM,$0.03,$0.03,$0.02,$0.03,10111
Sanders,4/7/2016 12:00:00 AM,$0.97,$0.99,$0.97,$0.98,7429
Clinton,4/8/2016 12:00:00 AM,$0.03,$0.03,$0.02,$0.03,7196
Sanders,4/8/2016 12:00:00 AM,$0.98,$0.98,$0.97,$0.98,6784
Clinton,4/9/2016 12:00:00 AM,$0.03,$0.04,$0.01,$0.01,32265
Sanders,4/9/2016 12:00:00 AM,$0.98,$0.99,$0.97,$0.99,65371
