ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Patrick,1/29/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,200
Sanders,1/29/2020 12:00:00 AM,$0.76,$0.76,$0.71,$0.76,15
Yang,1/29/2020 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,117
Biden,1/30/2020 12:00:00 AM,$0.11,$0.11,$0.10,$0.10,2
Patrick,1/30/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,1/30/2020 12:00:00 AM,$0.76,$0.76,$0.63,$0.74,52
Warren,1/30/2020 12:00:00 AM,$0.13,$0.13,$0.13,$0.13,50
Yang,1/30/2020 12:00:00 AM,$0.03,$0.03,$0.02,$0.02,868
Buttigieg,1/30/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
Gabbard,1/30/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,859
Clinton,1/30/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,200
Biden,1/31/2020 12:00:00 AM,$0.10,$0.36,$0.10,$0.28,4
Patrick,1/31/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,1/31/2020 12:00:00 AM,$0.74,$0.74,$0.66,$0.74,33
Warren,1/31/2020 12:00:00 AM,$0.13,$0.13,$0.03,$0.03,1
Klobuchar,1/31/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,6
Yang,1/31/2020 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,6
Buttigieg,1/31/2020 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,6
Gabbard,1/31/2020 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,181
Clinton,1/31/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,1/31/2020 12:00:00 AM,$0.05,$0.06,$0.05,$0.06,1410
Biden,2/1/2020 12:00:00 AM,$0.28,$0.28,$0.21,$0.21,1
Patrick,2/1/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,2/1/2020 12:00:00 AM,$0.74,$0.74,$0.64,$0.73,188
Warren,2/1/2020 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,4
Klobuchar,2/1/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,14
Yang,2/1/2020 12:00:00 AM,$0.02,$0.07,$0.02,$0.03,2250
Buttigieg,2/1/2020 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,10
Gabbard,2/1/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,504
Clinton,2/1/2020 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,1723
Bloomberg,2/1/2020 12:00:00 AM,$0.06,$0.09,$0.03,$0.09,1018
