ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Biden,12/20/2019 12:00:00 AM,$0.39,$0.45,$0.39,$0.40,158
Harris,12/20/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/20/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/20/2019 12:00:00 AM,$0.27,$0.27,$0.27,$0.27,238
Warren,12/20/2019 12:00:00 AM,$0.13,$0.13,$0.12,$0.13,240
Klobuchar,12/20/2019 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,202
Steyer,12/20/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/20/2019 12:00:00 AM,$0.03,$0.04,$0.03,$0.03,140
Buttigieg,12/20/2019 12:00:00 AM,$0.15,$0.15,$0.14,$0.14,151
Gabbard,12/20/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/20/2019 12:00:00 AM,$0.04,$0.04,$0.02,$0.03,6
Biden,12/21/2019 12:00:00 AM,$0.40,$0.45,$0.40,$0.45,25
Harris,12/21/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/21/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/21/2019 12:00:00 AM,$0.27,$0.29,$0.27,$0.29,25
Warren,12/21/2019 12:00:00 AM,$0.13,$0.13,$0.13,$0.13,0
Klobuchar,12/21/2019 12:00:00 AM,$0.04,$0.05,$0.04,$0.05,115
Steyer,12/21/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/21/2019 12:00:00 AM,$0.03,$0.04,$0.03,$0.04,65
Buttigieg,12/21/2019 12:00:00 AM,$0.14,$0.14,$0.14,$0.14,10
Gabbard,12/21/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/21/2019 12:00:00 AM,$0.03,$0.03,$0.02,$0.02,15
Biden,12/22/2019 12:00:00 AM,$0.45,$0.48,$0.45,$0.48,296
Harris,12/22/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/22/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/22/2019 12:00:00 AM,$0.29,$0.29,$0.27,$0.27,43
Warren,12/22/2019 12:00:00 AM,$0.13,$0.13,$0.11,$0.11,26
Klobuchar,12/22/2019 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,50
Steyer,12/22/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/22/2019 12:00:00 AM,$0.04,$0.04,$0.03,$0.04,28
Buttigieg,12/22/2019 12:00:00 AM,$0.14,$0.15,$0.12,$0.12,34
Gabbard,12/22/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/22/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,1
Biden,12/23/2019 12:00:00 AM,$0.48,$0.51,$0.48,$0.51,114
Harris,12/23/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/23/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/23/2019 12:00:00 AM,$0.27,$0.27,$0.26,$0.26,63
Warren,12/23/2019 12:00:00 AM,$0.11,$0.12,$0.10,$0.10,52
Klobuchar,12/23/2019 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,156
Steyer,12/23/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/23/2019 12:00:00 AM,$0.04,$0.04,$0.03,$0.03,986
Buttigieg,12/23/2019 12:00:00 AM,$0.12,$0.13,$0.12,$0.12,54
Gabbard,12/23/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/23/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,47
