ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Biden,1/2/2020 12:00:00 AM,$0.20,$0.22,$0.18,$0.20,14134
O'Rourke,1/2/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,1/2/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,1/2/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,1/2/2020 12:00:00 AM,$0.38,$0.40,$0.37,$0.39,7218
Warren,1/2/2020 12:00:00 AM,$0.11,$0.11,$0.10,$0.11,4364
Klobuchar,1/2/2020 12:00:00 AM,$0.08,$0.09,$0.07,$0.08,14886
Brown,1/2/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,1/2/2020 12:00:00 AM,$0.03,$0.04,$0.03,$0.03,6011
Buttigieg,1/2/2020 12:00:00 AM,$0.32,$0.32,$0.29,$0.30,5075
Gabbard,1/2/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,1/2/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Steyer,1/2/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,12
Bloomberg,1/2/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Patrick,1/2/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,1/3/2020 12:00:00 AM,$0.20,$0.23,$0.19,$0.20,16338
O'Rourke,1/3/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,1/3/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,1/3/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,1/3/2020 12:00:00 AM,$0.39,$0.42,$0.38,$0.42,10717
Warren,1/3/2020 12:00:00 AM,$0.11,$0.11,$0.09,$0.09,10035
Klobuchar,1/3/2020 12:00:00 AM,$0.08,$0.09,$0.07,$0.07,22715
Brown,1/3/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,1/3/2020 12:00:00 AM,$0.03,$0.03,$0.02,$0.02,20502
Buttigieg,1/3/2020 12:00:00 AM,$0.30,$0.32,$0.28,$0.28,4690
Gabbard,1/3/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,1/3/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,218
Steyer,1/3/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,1/3/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Patrick,1/3/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,1/4/2020 12:00:00 AM,$0.20,$0.21,$0.19,$0.20,5950
O'Rourke,1/4/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,3
Harris,1/4/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,3
Booker,1/4/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,14
Sanders,1/4/2020 12:00:00 AM,$0.42,$0.43,$0.40,$0.41,6230
Warren,1/4/2020 12:00:00 AM,$0.09,$0.11,$0.09,$0.10,4011
Klobuchar,1/4/2020 12:00:00 AM,$0.07,$0.08,$0.06,$0.08,15650
Brown,1/4/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,1/4/2020 12:00:00 AM,$0.02,$0.03,$0.01,$0.02,75134
Buttigieg,1/4/2020 12:00:00 AM,$0.28,$0.29,$0.27,$0.28,3627
Gabbard,1/4/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,3
Clinton,1/4/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,3
Steyer,1/4/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,1/4/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,625
Patrick,1/4/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,1/5/2020 12:00:00 AM,$0.20,$0.25,$0.20,$0.24,23361
O'Rourke,1/5/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
Harris,1/5/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,858
Booker,1/5/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,958
Sanders,1/5/2020 12:00:00 AM,$0.41,$0.44,$0.41,$0.43,11441
Warren,1/5/2020 12:00:00 AM,$0.10,$0.10,$0.06,$0.08,21867
Klobuchar,1/5/2020 12:00:00 AM,$0.08,$0.08,$0.05,$0.05,40589
Brown,1/5/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
Yang,1/5/2020 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,16249
Buttigieg,1/5/2020 12:00:00 AM,$0.28,$0.30,$0.27,$0.28,7720
Gabbard,1/5/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,870
Clinton,1/5/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,892
Steyer,1/5/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,858
Bloomberg,1/5/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,861
Patrick,1/5/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,858
Biden,1/6/2020 12:00:00 AM,$0.24,$0.28,$0.22,$0.28,11757
O'Rourke,1/6/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,1/6/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
Booker,1/6/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,1/6/2020 12:00:00 AM,$0.43,$0.44,$0.42,$0.43,8447
Warren,1/6/2020 12:00:00 AM,$0.08,$0.09,$0.07,$0.09,16717
