ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Biden,12/23/2019 12:00:00 AM,$0.19,$0.21,$0.19,$0.21,229
O'Rourke,12/23/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/23/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/23/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/23/2019 12:00:00 AM,$0.52,$0.59,$0.52,$0.52,311
Warren,12/23/2019 12:00:00 AM,$0.15,$0.16,$0.15,$0.16,237
Klobuchar,12/23/2019 12:00:00 AM,$0.03,$0.04,$0.03,$0.03,41
Steyer,12/23/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/23/2019 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,88
Buttigieg,12/23/2019 12:00:00 AM,$0.12,$0.12,$0.09,$0.09,88
Gabbard,12/23/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/23/2019 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,88
Bloomberg,12/23/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,87
Patrick,12/23/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,12/24/2019 12:00:00 AM,$0.21,$0.23,$0.21,$0.22,1272
O'Rourke,12/24/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/24/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/24/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/24/2019 12:00:00 AM,$0.52,$0.55,$0.52,$0.54,85
Warren,12/24/2019 12:00:00 AM,$0.16,$0.16,$0.13,$0.13,1043
Klobuchar,12/24/2019 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,933
Steyer,12/24/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/24/2019 12:00:00 AM,$0.03,$0.04,$0.03,$0.04,46
Buttigieg,12/24/2019 12:00:00 AM,$0.09,$0.09,$0.08,$0.08,73
Gabbard,12/24/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/24/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,445
Bloomberg,12/24/2019 12:00:00 AM,$0.02,$0.03,$0.02,$0.03,1239
Patrick,12/24/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,2364
Biden,12/25/2019 12:00:00 AM,$0.22,$0.24,$0.22,$0.24,20
O'Rourke,12/25/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/25/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/25/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/25/2019 12:00:00 AM,$0.54,$0.54,$0.52,$0.52,154
Warren,12/25/2019 12:00:00 AM,$0.13,$0.13,$0.13,$0.13,0
Klobuchar,12/25/2019 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,1
Steyer,12/25/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/25/2019 12:00:00 AM,$0.04,$0.04,$0.03,$0.03,1
Buttigieg,12/25/2019 12:00:00 AM,$0.08,$0.08,$0.08,$0.08,1
Gabbard,12/25/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/25/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
Bloomberg,12/25/2019 12:00:00 AM,$0.03,$0.03,$0.02,$0.02,1
Patrick,12/25/2019 12:00:00 AM,$0.01,$0.05,$0.01,$0.05,7186
Biden,12/26/2019 12:00:00 AM,$0.24,$0.24,$0.21,$0.21,439
O'Rourke,12/26/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/26/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/26/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
Sanders,12/26/2019 12:00:00 AM,$0.52,$0.55,$0.49,$0.53,685
Warren,12/26/2019 12:00:00 AM,$0.13,$0.13,$0.11,$0.13,405
Klobuchar,12/26/2019 12:00:00 AM,$0.03,$0.03,$0.02,$0.02,399
Steyer,12/26/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/26/2019 12:00:00 AM,$0.03,$0.04,$0.03,$0.03,982
Buttigieg,12/26/2019 12:00:00 AM,$0.08,$0.09,$0.07,$0.08,404
Gabbard,12/26/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/26/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
Bloomberg,12/26/2019 12:00:00 AM,$0.02,$0.02,$0.01,$0.02,19
Patrick,12/26/2019 12:00:00 AM,$0.05,$0.07,$0.01,$0.01,2270
Biden,12/27/2019 12:00:00 AM,$0.21,$0.24,$0.21,$0.24,177
O'Rourke,12/27/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/27/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/27/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/27/2019 12:00:00 AM,$0.53,$0.54,$0.50,$0.54,306
Warren,12/27/2019 12:00:00 AM,$0.13,$0.13,$0.11,$0.13,4
Klobuchar,12/27/2019 12:00:00 AM,$0.02,$0.04,$0.02,$0.04,333
Steyer,12/27/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/27/2019 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,50
Buttigieg,12/27/2019 12:00:00 AM,$0.08,$0.09,$0.08,$0.09,50
Gabbard,12/27/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/27/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,12/27/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,132
Patrick,12/27/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,12/28/2019 12:00:00 AM,$0.24,$0.24,$0.23,$0.23,71
O'Rourke,12/28/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/28/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/28/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/28/2019 12:00:00 AM,$0.54,$0.54,$0.50,$0.53,218
Warren,12/28/2019 12:00:00 AM,$0.13,$0.18,$0.11,$0.18,235
Klobuchar,12/28/2019 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Steyer,12/28/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/28/2019 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,305
Buttigieg,12/28/2019 12:00:00 AM,$0.09,$0.09,$0.08,$0.08,11
Gabbard,12/28/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/28/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,137
Bloomberg,12/28/2019 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,131
Patrick,12/28/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,12/29/2019 12:00:00 AM,$0.23,$0.23,$0.23,$0.23,0
O'Rourke,12/29/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/29/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/29/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/29/2019 12:00:00 AM,$0.53,$0.54,$0.52,$0.52,138
Warren,12/29/2019 12:00:00 AM,$0.18,$0.19,$0.17,$0.18,108
Klobuchar,12/29/2019 12:00:00 AM,$0.04,$0.04,$0.02,$0.02,2
Steyer,12/29/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/29/2019 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,3
Buttigieg,12/29/2019 12:00:00 AM,$0.08,$0.08,$0.08,$0.08,27
Gabbard,12/29/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/29/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,24
Bloomberg,12/29/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,3
Patrick,12/29/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,12/30/2019 12:00:00 AM,$0.23,$0.23,$0.22,$0.22,25
O'Rourke,12/30/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/30/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/30/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/30/2019 12:00:00 AM,$0.52,$0.55,$0.51,$0.51,790
Warren,12/30/2019 12:00:00 AM,$0.18,$0.19,$0.18,$0.19,164
Klobuchar,12/30/2019 12:00:00 AM,$0.02,$0.03,$0.02,$0.03,377
Steyer,12/30/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/30/2019 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,0
Buttigieg,12/30/2019 12:00:00 AM,$0.08,$0.10,$0.08,$0.08,157
Gabbard,12/30/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/30/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,12/30/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,50
