ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Biden,12/6/2019 12:00:00 AM,$0.10,$0.10,$0.10,$0.10,1050
O'Rourke,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/6/2019 12:00:00 AM,$0.14,$0.19,$0.14,$0.19,853
Warren,12/6/2019 12:00:00 AM,$0.55,$0.59,$0.55,$0.55,2001
Klobuchar,12/6/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,0
Gillibrand,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/6/2019 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,0
Buttigieg,12/6/2019 12:00:00 AM,$0.14,$0.14,$0.13,$0.13,10
Gabbard,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/6/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,0
Bloomberg,12/6/2019 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,17
Patrick,12/6/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,65
Biden,12/7/2019 12:00:00 AM,$0.10,$0.10,$0.09,$0.09,31
O'Rourke,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/7/2019 12:00:00 AM,$0.19,$0.19,$0.18,$0.18,150
Warren,12/7/2019 12:00:00 AM,$0.55,$0.56,$0.53,$0.53,1140
Klobuchar,12/7/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,61
Gillibrand,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/7/2019 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,6
Buttigieg,12/7/2019 12:00:00 AM,$0.13,$0.14,$0.13,$0.14,68
Gabbard,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/7/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,55
Bloomberg,12/7/2019 12:00:00 AM,$0.04,$0.05,$0.04,$0.05,20
Patrick,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,50
Biden,12/8/2019 12:00:00 AM,$0.09,$0.11,$0.09,$0.11,373
O'Rourke,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/8/2019 12:00:00 AM,$0.18,$0.20,$0.17,$0.20,196
Warren,12/8/2019 12:00:00 AM,$0.53,$0.55,$0.52,$0.52,1838
Klobuchar,12/8/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,31
Gillibrand,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/8/2019 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,32
Buttigieg,12/8/2019 12:00:00 AM,$0.14,$0.14,$0.13,$0.13,31
Gabbard,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/8/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,31
Bloomberg,12/8/2019 12:00:00 AM,$0.05,$0.05,$0.04,$0.05,966
