ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Biden,11/15/2019 12:00:00 AM,$0.15,$0.16,$0.14,$0.15,9132
O'Rourke,11/15/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,50
Harris,11/15/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,125
Booker,11/15/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,100
Sanders,11/15/2019 12:00:00 AM,$0.30,$0.32,$0.30,$0.32,318
Warren,11/15/2019 12:00:00 AM,$0.24,$0.24,$0.22,$0.22,1621
Klobuchar,11/15/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,1415
Gillibrand,11/15/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,11/15/2019 12:00:00 AM,$0.07,$0.08,$0.07,$0.07,972
Buttigieg,11/15/2019 12:00:00 AM,$0.19,$0.20,$0.18,$0.19,1068
Gabbard,11/15/2019 12:00:00 AM,$0.04,$0.05,$0.03,$0.05,1553
Clinton,11/15/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,839
Steyer,11/15/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,5
Bloomberg,11/15/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,858
Patrick,11/15/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,6089
Biden,11/16/2019 12:00:00 AM,$0.15,$0.16,$0.15,$0.16,154
O'Rourke,11/16/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,11/16/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,100
Booker,11/16/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,100
Sanders,11/16/2019 12:00:00 AM,$0.32,$0.32,$0.30,$0.30,323
Warren,11/16/2019 12:00:00 AM,$0.22,$0.24,$0.21,$0.21,6018
Klobuchar,11/16/2019 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,1183
Gillibrand,11/16/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,11/16/2019 12:00:00 AM,$0.07,$0.08,$0.06,$0.06,1463
Buttigieg,11/16/2019 12:00:00 AM,$0.19,$0.24,$0.18,$0.21,9351
Gabbard,11/16/2019 12:00:00 AM,$0.05,$0.05,$0.03,$0.03,333
