ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Biden,12/6/2019 12:00:00 AM,$0.63,$0.63,$0.61,$0.61,94
O'Rourke,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/6/2019 12:00:00 AM,$0.11,$0.11,$0.11,$0.11,125
Warren,12/6/2019 12:00:00 AM,$0.08,$0.08,$0.05,$0.05,1080
Klobuchar,12/6/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,0
Steyer,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/6/2019 12:00:00 AM,$0.03,$0.03,$0.02,$0.02,50
Buttigieg,12/6/2019 12:00:00 AM,$0.15,$0.15,$0.14,$0.14,260
Gabbard,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/6/2019 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,1060
Castro,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,12/6/2019 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,25
Patrick,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,12/7/2019 12:00:00 AM,$0.61,$0.64,$0.61,$0.64,521
O'Rourke,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/7/2019 12:00:00 AM,$0.11,$0.11,$0.11,$0.11,0
Warren,12/7/2019 12:00:00 AM,$0.05,$0.07,$0.04,$0.06,540
Klobuchar,12/7/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,50
Steyer,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/7/2019 12:00:00 AM,$0.02,$0.03,$0.02,$0.03,1713
Buttigieg,12/7/2019 12:00:00 AM,$0.14,$0.14,$0.13,$0.13,389
Gabbard,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,51
Clinton,12/7/2019 12:00:00 AM,$0.03,$0.03,$0.02,$0.03,125
Castro,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,12/7/2019 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Patrick,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,12/8/2019 12:00:00 AM,$0.64,$0.64,$0.64,$0.64,5
O'Rourke,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,10
Sanders,12/8/2019 12:00:00 AM,$0.11,$0.11,$0.09,$0.09,127
Warren,12/8/2019 12:00:00 AM,$0.06,$0.06,$0.04,$0.04,200
Klobuchar,12/8/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,62
Steyer,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/8/2019 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,16
Buttigieg,12/8/2019 12:00:00 AM,$0.13,$0.13,$0.13,$0.13,25
Gabbard,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,448
Clinton,12/8/2019 12:00:00 AM,$0.03,$0.05,$0.02,$0.05,1219
Castro,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,12/8/2019 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,736
Patrick,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,12/9/2019 12:00:00 AM,$0.64,$0.64,$0.62,$0.64,459
O'Rourke,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/9/2019 12:00:00 AM,$0.09,$0.11,$0.09,$0.11,429
Warren,12/9/2019 12:00:00 AM,$0.04,$0.06,$0.04,$0.06,23
Klobuchar,12/9/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,148
Steyer,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/9/2019 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,23
Buttigieg,12/9/2019 12:00:00 AM,$0.13,$0.14,$0.13,$0.13,117
Gabbard,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/9/2019 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,249
Castro,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,12/9/2019 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,417
Patrick,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,12/10/2019 12:00:00 AM,$0.64,$0.64,$0.61,$0.64,1015
O'Rourke,12/10/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/10/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/10/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/10/2019 12:00:00 AM,$0.11,$0.11,$0.10,$0.10,98
Warren,12/10/2019 12:00:00 AM,$0.06,$0.07,$0.06,$0.07,1336
Klobuchar,12/10/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,108
Steyer,12/10/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/10/2019 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,98
Buttigieg,12/10/2019 12:00:00 AM,$0.13,$0.14,$0.13,$0.13,208
Gabbard,12/10/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/10/2019 12:00:00 AM,$0.04,$0.05,$0.04,$0.05,455
Castro,12/10/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,12/10/2019 12:00:00 AM,$0.06,$0.06,$0.05,$0.05,103
Patrick,12/10/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,12/11/2019 12:00:00 AM,$0.64,$0.64,$0.62,$0.64,595
O'Rourke,12/11/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/11/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/11/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/11/2019 12:00:00 AM,$0.10,$0.12,$0.10,$0.12,363
Warren,12/11/2019 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,0
Klobuchar,12/11/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,0
Steyer,12/11/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/11/2019 12:00:00 AM,$0.03,$0.04,$0.03,$0.03,901
Buttigieg,12/11/2019 12:00:00 AM,$0.13,$0.13,$0.13,$0.13,1
Gabbard,12/11/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/11/2019 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,750
Castro,12/11/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,12/11/2019 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,1184
Patrick,12/11/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
