ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Biden,12/6/2019 12:00:00 AM,$0.51,$0.52,$0.51,$0.52,40
O'Rourke,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/6/2019 12:00:00 AM,$0.09,$0.10,$0.09,$0.10,200
Warren,12/6/2019 12:00:00 AM,$0.06,$0.08,$0.06,$0.06,650
Klobuchar,12/6/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,50
Steyer,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/6/2019 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,25
Buttigieg,12/6/2019 12:00:00 AM,$0.17,$0.17,$0.16,$0.16,168
Gabbard,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,75
Clinton,12/6/2019 12:00:00 AM,$0.03,$0.03,$0.02,$0.02,1228
Castro,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,12/6/2019 12:00:00 AM,$0.08,$0.08,$0.08,$0.08,100
Patrick,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,12/7/2019 12:00:00 AM,$0.52,$0.58,$0.52,$0.58,40
O'Rourke,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/7/2019 12:00:00 AM,$0.10,$0.10,$0.10,$0.10,2
Warren,12/7/2019 12:00:00 AM,$0.06,$0.08,$0.06,$0.07,430
Klobuchar,12/7/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,0
Steyer,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/7/2019 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Buttigieg,12/7/2019 12:00:00 AM,$0.16,$0.16,$0.16,$0.16,0
Gabbard,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,200
Clinton,12/7/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,0
Castro,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,12/7/2019 12:00:00 AM,$0.08,$0.08,$0.07,$0.07,25
Patrick,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,12/8/2019 12:00:00 AM,$0.58,$0.58,$0.51,$0.58,536
O'Rourke,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,10
Sanders,12/8/2019 12:00:00 AM,$0.10,$0.10,$0.10,$0.10,0
Warren,12/8/2019 12:00:00 AM,$0.07,$0.07,$0.03,$0.03,1058
Klobuchar,12/8/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,75
Steyer,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/8/2019 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,1
Buttigieg,12/8/2019 12:00:00 AM,$0.16,$0.16,$0.14,$0.14,234
Gabbard,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,75
Clinton,12/8/2019 12:00:00 AM,$0.02,$0.05,$0.02,$0.05,1251
Castro,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,12/8/2019 12:00:00 AM,$0.07,$0.07,$0.05,$0.06,561
Patrick,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,12/9/2019 12:00:00 AM,$0.58,$0.58,$0.51,$0.51,81
O'Rourke,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/9/2019 12:00:00 AM,$0.10,$0.10,$0.10,$0.10,0
Warren,12/9/2019 12:00:00 AM,$0.03,$0.06,$0.03,$0.06,825
Klobuchar,12/9/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,136
