ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Biden,12/8/2019 12:00:00 AM,$0.46,$0.46,$0.45,$0.46,156
O'Rourke,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/8/2019 12:00:00 AM,$0.16,$0.16,$0.15,$0.16,27
Warren,12/8/2019 12:00:00 AM,$0.05,$0.07,$0.04,$0.04,40
Klobuchar,12/8/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,35
Steyer,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/8/2019 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,35
Buttigieg,12/8/2019 12:00:00 AM,$0.14,$0.14,$0.14,$0.14,48
Gabbard,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,500
Clinton,12/8/2019 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,55
Castro,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,12/8/2019 12:00:00 AM,$0.08,$0.09,$0.08,$0.09,2711
Patrick,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,12/9/2019 12:00:00 AM,$0.46,$0.48,$0.46,$0.48,552
O'Rourke,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/9/2019 12:00:00 AM,$0.16,$0.17,$0.16,$0.17,720
Warren,12/9/2019 12:00:00 AM,$0.04,$0.07,$0.04,$0.06,1004
Klobuchar,12/9/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,0
Steyer,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/9/2019 12:00:00 AM,$0.03,$0.04,$0.03,$0.04,2564
Buttigieg,12/9/2019 12:00:00 AM,$0.14,$0.14,$0.14,$0.14,50
Gabbard,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,100
Clinton,12/9/2019 12:00:00 AM,$0.04,$0.05,$0.04,$0.05,1073
Castro,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,12/9/2019 12:00:00 AM,$0.09,$0.09,$0.09,$0.09,175
Patrick,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,12/10/2019 12:00:00 AM,$0.48,$0.50,$0.45,$0.50,1356
O'Rourke,12/10/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/10/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/10/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/10/2019 12:00:00 AM,$0.17,$0.17,$0.16,$0.16,776
Warren,12/10/2019 12:00:00 AM,$0.06,$0.07,$0.05,$0.06,671
Klobuchar,12/10/2019 12:00:00 AM,$0.02,$0.03,$0.02,$0.02,1845
Steyer,12/10/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/10/2019 12:00:00 AM,$0.04,$0.04,$0.03,$0.03,1247
Buttigieg,12/10/2019 12:00:00 AM,$0.14,$0.14,$0.14,$0.14,120
Gabbard,12/10/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/10/2019 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,262
Castro,12/10/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,10
Bloomberg,12/10/2019 12:00:00 AM,$0.09,$0.09,$0.08,$0.09,75
Patrick,12/10/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,12/11/2019 12:00:00 AM,$0.50,$0.55,$0.49,$0.54,1197
O'Rourke,12/11/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/11/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/11/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/11/2019 12:00:00 AM,$0.16,$0.17,$0.15,$0.15,1116
Warren,12/11/2019 12:00:00 AM,$0.06,$0.08,$0.05,$0.06,1280
Klobuchar,12/11/2019 12:00:00 AM,$0.02,$0.04,$0.02,$0.04,1472
Steyer,12/11/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/11/2019 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,1592
Buttigieg,12/11/2019 12:00:00 AM,$0.14,$0.14,$0.14,$0.14,453
Gabbard,12/11/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/11/2019 12:00:00 AM,$0.04,$0.06,$0.03,$0.03,1243
Castro,12/11/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,12/11/2019 12:00:00 AM,$0.09,$0.09,$0.08,$0.08,805
Patrick,12/11/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,12/12/2019 12:00:00 AM,$0.54,$0.61,$0.51,$0.60,1318
O'Rourke,12/12/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/12/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/12/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/12/2019 12:00:00 AM,$0.15,$0.17,$0.15,$0.15,614
Warren,12/12/2019 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,474
Klobuchar,12/12/2019 12:00:00 AM,$0.04,$0.04,$0.03,$0.03,550
Steyer,12/12/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/12/2019 12:00:00 AM,$0.03,$0.04,$0.03,$0.03,1222
Buttigieg,12/12/2019 12:00:00 AM,$0.14,$0.14,$0.14,$0.14,490
Gabbard,12/12/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/12/2019 12:00:00 AM,$0.03,$0.05,$0.03,$0.05,684
Castro,12/12/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,12/12/2019 12:00:00 AM,$0.08,$0.09,$0.05,$0.06,1779
Patrick,12/12/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,12/13/2019 12:00:00 AM,$0.60,$0.61,$0.57,$0.59,485
O'Rourke,12/13/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/13/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/13/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/13/2019 12:00:00 AM,$0.15,$0.15,$0.14,$0.14,561
Warren,12/13/2019 12:00:00 AM,$0.06,$0.09,$0.06,$0.07,2007
Klobuchar,12/13/2019 12:00:00 AM,$0.03,$0.04,$0.03,$0.03,413
Steyer,12/13/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
