ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Biden,12/6/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,400
O'Rourke,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/6/2019 12:00:00 AM,$0.81,$0.83,$0.81,$0.83,33
Warren,12/6/2019 12:00:00 AM,$0.06,$0.06,$0.04,$0.05,250
Klobuchar,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Steyer,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/6/2019 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,0
Buttigieg,12/6/2019 12:00:00 AM,$0.06,$0.09,$0.06,$0.09,3
Gabbard,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/6/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,0
Castro,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,12/7/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,0
O'Rourke,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/7/2019 12:00:00 AM,$0.83,$0.83,$0.82,$0.82,230
Warren,12/7/2019 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,675
Klobuchar,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Steyer,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/7/2019 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,200
Buttigieg,12/7/2019 12:00:00 AM,$0.09,$0.09,$0.07,$0.07,5
Gabbard,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/7/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,0
Castro,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,5499
Biden,12/8/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,2
O'Rourke,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/8/2019 12:00:00 AM,$0.82,$0.83,$0.81,$0.83,229
Warren,12/8/2019 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,1
Klobuchar,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Steyer,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/8/2019 12:00:00 AM,$0.03,$0.03,$0.02,$0.03,53
Buttigieg,12/8/2019 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,2
Gabbard,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/8/2019 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,1
Castro,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,25
Biden,12/9/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,0
