ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Biden,1/16/2020 12:00:00 AM,$0.41,$0.41,$0.39,$0.39,289
Harris,1/16/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,1/16/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,1/16/2020 12:00:00 AM,$0.44,$0.45,$0.44,$0.45,37
Warren,1/16/2020 12:00:00 AM,$0.08,$0.08,$0.08,$0.08,5
Klobuchar,1/16/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2
Steyer,1/16/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2
Yang,1/16/2020 12:00:00 AM,$0.03,$0.03,$0.02,$0.02,128
Buttigieg,1/16/2020 12:00:00 AM,$0.08,$0.08,$0.08,$0.08,0
Gabbard,1/16/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,1/16/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,1/16/2020 12:00:00 AM,$0.02,$0.05,$0.02,$0.03,1606
Biden,1/17/2020 12:00:00 AM,$0.39,$0.39,$0.39,$0.39,0
Harris,1/17/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,1/17/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,1/17/2020 12:00:00 AM,$0.45,$0.45,$0.44,$0.44,50
Warren,1/17/2020 12:00:00 AM,$0.08,$0.08,$0.08,$0.08,5
Klobuchar,1/17/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Steyer,1/17/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,1/17/2020 12:00:00 AM,$0.02,$0.03,$0.02,$0.02,2
Buttigieg,1/17/2020 12:00:00 AM,$0.08,$0.08,$0.08,$0.08,0
Gabbard,1/17/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,1/17/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,1/17/2020 12:00:00 AM,$0.03,$0.06,$0.03,$0.06,1104
Biden,1/18/2020 12:00:00 AM,$0.39,$0.39,$0.34,$0.34,3
Harris,1/18/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,1/18/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,1/18/2020 12:00:00 AM,$0.44,$0.46,$0.44,$0.46,220
Warren,1/18/2020 12:00:00 AM,$0.08,$0.08,$0.08,$0.08,5
Klobuchar,1/18/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Steyer,1/18/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,1/18/2020 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,200
Buttigieg,1/18/2020 12:00:00 AM,$0.08,$0.09,$0.08,$0.09,226
Gabbard,1/18/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,100
Clinton,1/18/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,1/18/2020 12:00:00 AM,$0.06,$0.06,$0.04,$0.05,300
Biden,1/19/2020 12:00:00 AM,$0.34,$0.37,$0.34,$0.37,8
Harris,1/19/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,1/19/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,1/19/2020 12:00:00 AM,$0.46,$0.46,$0.45,$0.45,3
Warren,1/19/2020 12:00:00 AM,$0.08,$0.08,$0.08,$0.08,7
Klobuchar,1/19/2020 12:00:00 AM,$0.01,$0.03,$0.01,$0.03,1344
Steyer,1/19/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2
Yang,1/19/2020 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,1
Buttigieg,1/19/2020 12:00:00 AM,$0.09,$0.09,$0.09,$0.09,3
Gabbard,1/19/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,1/19/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
