ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Clinton,12/5/2015 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,100
Sanders,12/5/2015 12:00:00 AM,$0.19,$0.19,$0.19,$0.19,1
Clinton,12/6/2015 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Sanders,12/6/2015 12:00:00 AM,$0.19,$0.19,$0.19,$0.19,0
Clinton,12/7/2015 12:00:00 AM,$0.96,$0.96,$0.90,$0.90,110
Sanders,12/7/2015 12:00:00 AM,$0.19,$0.19,$0.05,$0.05,1
Clinton,12/8/2015 12:00:00 AM,$0.90,$0.90,$0.90,$0.90,0
Sanders,12/8/2015 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Clinton,12/9/2015 12:00:00 AM,$0.90,$0.90,$0.90,$0.90,0
Sanders,12/9/2015 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Clinton,12/10/2015 12:00:00 AM,$0.90,$0.90,$0.90,$0.90,0
Sanders,12/10/2015 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Clinton,12/11/2015 12:00:00 AM,$0.90,$0.96,$0.90,$0.96,1
Sanders,12/11/2015 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,5
Clinton,12/12/2015 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Sanders,12/12/2015 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Clinton,12/13/2015 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Sanders,12/13/2015 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Clinton,12/14/2015 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Sanders,12/14/2015 12:00:00 AM,$0.05,$0.12,$0.05,$0.12,50
Clinton,12/15/2015 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Sanders,12/15/2015 12:00:00 AM,$0.12,$0.12,$0.12,$0.12,0
Clinton,12/16/2015 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Sanders,12/16/2015 12:00:00 AM,$0.12,$0.12,$0.12,$0.12,0
Clinton,12/17/2015 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
