ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Clinton,3/29/2016 12:00:00 AM,$0.62,$0.75,$0.40,$0.49,7527
Sanders,3/29/2016 12:00:00 AM,$0.48,$0.65,$0.28,$0.56,3964
Clinton,3/30/2016 12:00:00 AM,$0.49,$0.50,$0.37,$0.37,3836
Sanders,3/30/2016 12:00:00 AM,$0.56,$0.65,$0.51,$0.65,3570
Clinton,3/31/2016 12:00:00 AM,$0.37,$0.41,$0.34,$0.38,972
Sanders,3/31/2016 12:00:00 AM,$0.65,$0.69,$0.61,$0.68,1489
Clinton,4/1/2016 12:00:00 AM,$0.38,$0.38,$0.32,$0.35,1543
Sanders,4/1/2016 12:00:00 AM,$0.68,$0.68,$0.64,$0.66,568
Clinton,4/2/2016 12:00:00 AM,$0.35,$0.39,$0.33,$0.35,707
Sanders,4/2/2016 12:00:00 AM,$0.66,$0.67,$0.64,$0.67,143
Clinton,4/3/2016 12:00:00 AM,$0.35,$0.39,$0.35,$0.38,220
Sanders,4/3/2016 12:00:00 AM,$0.67,$0.67,$0.63,$0.63,308
Clinton,4/4/2016 12:00:00 AM,$0.38,$0.40,$0.36,$0.38,299
Sanders,4/4/2016 12:00:00 AM,$0.63,$0.67,$0.63,$0.64,194
Clinton,4/5/2016 12:00:00 AM,$0.38,$0.39,$0.26,$0.31,1968
Sanders,4/5/2016 12:00:00 AM,$0.64,$0.73,$0.64,$0.68,2721
Clinton,4/6/2016 12:00:00 AM,$0.31,$0.37,$0.31,$0.36,2587
Sanders,4/6/2016 12:00:00 AM,$0.68,$0.69,$0.63,$0.67,1280
Clinton,4/7/2016 12:00:00 AM,$0.36,$0.38,$0.33,$0.37,1028
Sanders,4/7/2016 12:00:00 AM,$0.67,$0.68,$0.64,$0.64,1006
Clinton,4/8/2016 12:00:00 AM,$0.37,$0.37,$0.33,$0.36,455
Sanders,4/8/2016 12:00:00 AM,$0.64,$0.68,$0.64,$0.67,671
Clinton,4/9/2016 12:00:00 AM,$0.36,$0.49,$0.35,$0.42,2931
Sanders,4/9/2016 12:00:00 AM,$0.67,$0.67,$0.54,$0.62,1342
Clinton,4/10/2016 12:00:00 AM,$0.42,$0.54,$0.42,$0.46,7188
Sanders,4/10/2016 12:00:00 AM,$0.62,$0.62,$0.50,$0.50,6882
Clinton,4/11/2016 12:00:00 AM,$0.46,$0.51,$0.46,$0.50,2442
