ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Sanders,2/18/2016 12:00:00 AM,$0.15,$0.30,$0.09,$0.15,551
Clinton,2/18/2016 12:00:00 AM,$0.79,$0.92,$0.50,$0.90,681
Sanders,2/19/2016 12:00:00 AM,$0.15,$0.22,$0.12,$0.14,659
Clinton,2/19/2016 12:00:00 AM,$0.90,$0.90,$0.83,$0.86,149
Sanders,2/20/2016 12:00:00 AM,$0.14,$0.19,$0.09,$0.13,592
Clinton,2/20/2016 12:00:00 AM,$0.86,$0.95,$0.86,$0.94,883
Sanders,2/21/2016 12:00:00 AM,$0.13,$0.13,$0.06,$0.07,1389
Clinton,2/21/2016 12:00:00 AM,$0.94,$0.96,$0.88,$0.94,719
Sanders,2/22/2016 12:00:00 AM,$0.07,$0.09,$0.05,$0.05,1102
Clinton,2/22/2016 12:00:00 AM,$0.94,$0.96,$0.93,$0.94,132
Sanders,2/23/2016 12:00:00 AM,$0.05,$0.09,$0.05,$0.06,239
Clinton,2/23/2016 12:00:00 AM,$0.94,$0.95,$0.94,$0.94,175
Sanders,2/24/2016 12:00:00 AM,$0.06,$0.10,$0.03,$0.03,1283
Clinton,2/24/2016 12:00:00 AM,$0.94,$0.95,$0.94,$0.95,368
Sanders,2/25/2016 12:00:00 AM,$0.03,$0.07,$0.03,$0.03,397
Clinton,2/25/2016 12:00:00 AM,$0.95,$0.97,$0.95,$0.97,854
Sanders,2/26/2016 12:00:00 AM,$0.03,$0.05,$0.03,$0.05,661
Clinton,2/26/2016 12:00:00 AM,$0.97,$0.97,$0.96,$0.97,72
Sanders,2/27/2016 12:00:00 AM,$0.05,$0.05,$0.03,$0.03,554
Clinton,2/27/2016 12:00:00 AM,$0.97,$0.98,$0.97,$0.98,400
Sanders,2/28/2016 12:00:00 AM,$0.03,$0.04,$0.02,$0.03,460
Clinton,2/28/2016 12:00:00 AM,$0.98,$0.99,$0.98,$0.98,1020
Sanders,2/29/2016 12:00:00 AM,$0.03,$0.03,$0.01,$0.03,591
Clinton,2/29/2016 12:00:00 AM,$0.98,$0.98,$0.97,$0.97,557
Sanders,3/1/2016 12:00:00 AM,$0.03,$0.06,$0.01,$0.01,955
Clinton,3/1/2016 12:00:00 AM,$0.97,$0.99,$0.97,$0.99,40
Sanders,3/2/2016 12:00:00 AM,$0.01,$0.03,$0.01,$0.02,5563
Clinton,3/2/2016 12:00:00 AM,$0.99,$0.99,$0.98,$0.99,3919
Sanders,3/3/2016 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,3424
Clinton,3/3/2016 12:00:00 AM,$0.99,$0.99,$0.99,$0.99,1848
Sanders,3/4/2016 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,5505
Clinton,3/4/2016 12:00:00 AM,$0.99,$0.99,$0.99,$0.99,463
Sanders,3/5/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2034
Clinton,3/5/2016 12:00:00 AM,$0.99,$0.99,$0.99,$0.99,623
Sanders,3/6/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,3/6/2016 12:00:00 AM,$0.99,$0.99,$0.99,$0.99,0
