ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Clinton,11/25/2015 12:00:00 AM,$0.87,$0.90,$0.87,$0.90,32
Sanders,11/25/2015 12:00:00 AM,$0.16,$0.16,$0.16,$0.16,29
O'Malley,11/25/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,11/26/2015 12:00:00 AM,$0.90,$0.90,$0.87,$0.87,36
Sanders,11/26/2015 12:00:00 AM,$0.16,$0.16,$0.15,$0.15,141
O'Malley,11/26/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,36
Clinton,11/27/2015 12:00:00 AM,$0.87,$0.87,$0.85,$0.85,53
Sanders,11/27/2015 12:00:00 AM,$0.15,$0.15,$0.15,$0.15,0
O'Malley,11/27/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,11/28/2015 12:00:00 AM,$0.85,$0.88,$0.71,$0.88,2
Sanders,11/28/2015 12:00:00 AM,$0.15,$0.21,$0.15,$0.21,5
O'Malley,11/28/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,11/29/2015 12:00:00 AM,$0.88,$0.88,$0.88,$0.88,0
Sanders,11/29/2015 12:00:00 AM,$0.21,$0.21,$0.12,$0.12,12
O'Malley,11/29/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,8
Clinton,11/30/2015 12:00:00 AM,$0.88,$0.88,$0.88,$0.88,1
Sanders,11/30/2015 12:00:00 AM,$0.12,$0.15,$0.12,$0.15,25
O'Malley,11/30/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/1/2015 12:00:00 AM,$0.88,$0.89,$0.88,$0.89,298
Sanders,12/1/2015 12:00:00 AM,$0.15,$0.15,$0.13,$0.13,14
O'Malley,12/1/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,108
Clinton,12/2/2015 12:00:00 AM,$0.89,$0.89,$0.89,$0.89,0
Sanders,12/2/2015 12:00:00 AM,$0.13,$0.14,$0.13,$0.14,2
O'Malley,12/2/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/3/2015 12:00:00 AM,$0.89,$0.89,$0.89,$0.89,0
Sanders,12/3/2015 12:00:00 AM,$0.14,$0.14,$0.14,$0.14,0
O'Malley,12/3/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/4/2015 12:00:00 AM,$0.89,$0.90,$0.89,$0.90,10
Sanders,12/4/2015 12:00:00 AM,$0.14,$0.14,$0.14,$0.14,0
O'Malley,12/4/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/5/2015 12:00:00 AM,$0.90,$0.90,$0.89,$0.89,100
Sanders,12/5/2015 12:00:00 AM,$0.14,$0.14,$0.14,$0.14,0
O'Malley,12/5/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/6/2015 12:00:00 AM,$0.89,$0.89,$0.89,$0.89,0
Sanders,12/6/2015 12:00:00 AM,$0.14,$0.14,$0.14,$0.14,0
O'Malley,12/6/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/7/2015 12:00:00 AM,$0.89,$0.89,$0.86,$0.89,358
Sanders,12/7/2015 12:00:00 AM,$0.14,$0.14,$0.12,$0.12,203
O'Malley,12/7/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/8/2015 12:00:00 AM,$0.89,$0.90,$0.89,$0.90,9
Sanders,12/8/2015 12:00:00 AM,$0.12,$0.12,$0.12,$0.12,0
O'Malley,12/8/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/9/2015 12:00:00 AM,$0.90,$0.90,$0.90,$0.90,0
Sanders,12/9/2015 12:00:00 AM,$0.12,$0.12,$0.12,$0.12,0
O'Malley,12/9/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/10/2015 12:00:00 AM,$0.90,$0.90,$0.90,$0.90,0
Sanders,12/10/2015 12:00:00 AM,$0.12,$0.12,$0.12,$0.12,0
