ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Clinton,12/5/2015 12:00:00 AM,$0.75,$0.99,$0.74,$0.96,260
Sanders,12/5/2015 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,50
Clinton,12/6/2015 12:00:00 AM,$0.96,$0.96,$0.95,$0.95,26
Sanders,12/6/2015 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,0
Clinton,12/7/2015 12:00:00 AM,$0.95,$0.96,$0.95,$0.96,1
Sanders,12/7/2015 12:00:00 AM,$0.06,$0.06,$0.04,$0.04,1
Clinton,12/8/2015 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Sanders,12/8/2015 12:00:00 AM,$0.04,$0.05,$0.04,$0.05,111
Clinton,12/9/2015 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,13
Sanders,12/9/2015 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,20
Clinton,12/10/2015 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Sanders,12/10/2015 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Clinton,12/11/2015 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Sanders,12/11/2015 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,369
Clinton,12/12/2015 12:00:00 AM,$0.96,$0.96,$0.96,$0.96,0
Sanders,12/12/2015 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Clinton,12/13/2015 12:00:00 AM,$0.96,$0.96,$0.94,$0.94,27
Sanders,12/13/2015 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,0
Clinton,12/14/2015 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Sanders,12/14/2015 12:00:00 AM,$0.05,$0.10,$0.05,$0.10,1
Clinton,12/15/2015 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Sanders,12/15/2015 12:00:00 AM,$0.10,$0.10,$0.10,$0.10,0
Clinton,12/16/2015 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Sanders,12/16/2015 12:00:00 AM,$0.10,$0.10,$0.10,$0.10,0
Clinton,12/17/2015 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Sanders,12/17/2015 12:00:00 AM,$0.10,$0.10,$0.10,$0.10,0
Clinton,12/18/2015 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Sanders,12/18/2015 12:00:00 AM,$0.10,$0.10,$0.10,$0.10,0
Clinton,12/19/2015 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Sanders,12/19/2015 12:00:00 AM,$0.10,$0.10,$0.10,$0.10,0
Clinton,12/20/2015 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Sanders,12/20/2015 12:00:00 AM,$0.10,$0.10,$0.10,$0.10,0
Clinton,12/21/2015 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
Sanders,12/21/2015 12:00:00 AM,$0.10,$0.10,$0.10,$0.10,0
Clinton,12/22/2015 12:00:00 AM,$0.94,$0.94,$0.88,$0.88,10
Sanders,12/22/2015 12:00:00 AM,$0.10,$0.10,$0.09,$0.09,11
Clinton,12/23/2015 12:00:00 AM,$0.88,$0.88,$0.88,$0.88,0
Sanders,12/23/2015 12:00:00 AM,$0.09,$0.09,$0.08,$0.08,98
Clinton,12/24/2015 12:00:00 AM,$0.88,$0.88,$0.88,$0.88,0
Sanders,12/24/2015 12:00:00 AM,$0.08,$0.08,$0.08,$0.08,0
Clinton,12/25/2015 12:00:00 AM,$0.88,$0.88,$0.88,$0.88,0
Sanders,12/25/2015 12:00:00 AM,$0.08,$0.08,$0.08,$0.08,0
Clinton,12/26/2015 12:00:00 AM,$0.88,$0.88,$0.88,$0.88,0
Sanders,12/26/2015 12:00:00 AM,$0.08,$0.10,$0.08,$0.10,29
Clinton,12/27/2015 12:00:00 AM,$0.88,$0.88,$0.88,$0.88,0
Sanders,12/27/2015 12:00:00 AM,$0.10,$0.10,$0.10,$0.10,25
Clinton,12/28/2015 12:00:00 AM,$0.88,$0.88,$0.88,$0.88,0
Sanders,12/28/2015 12:00:00 AM,$0.10,$0.10,$0.10,$0.10,0
Clinton,12/29/2015 12:00:00 AM,$0.88,$0.88,$0.80,$0.80,27
Sanders,12/29/2015 12:00:00 AM,$0.10,$0.10,$0.10,$0.10,75
Clinton,12/30/2015 12:00:00 AM,$0.80,$0.80,$0.80,$0.80,0
Sanders,12/30/2015 12:00:00 AM,$0.10,$0.10,$0.10,$0.10,0
Clinton,12/31/2015 12:00:00 AM,$0.80,$0.80,$0.80,$0.80,0
Sanders,12/31/2015 12:00:00 AM,$0.10,$0.10,$0.10,$0.10,0
Clinton,1/1/2016 12:00:00 AM,$0.80,$0.80,$0.80,$0.80,0
Sanders,1/1/2016 12:00:00 AM,$0.10,$0.10,$0.10,$0.10,50
Clinton,1/2/2016 12:00:00 AM,$0.80,$0.80,$0.80,$0.80,0
Sanders,1/2/2016 12:00:00 AM,$0.10,$0.10,$0.10,$0.10,0
Clinton,1/3/2016 12:00:00 AM,$0.80,$0.80,$0.80,$0.80,0
Sanders,1/3/2016 12:00:00 AM,$0.10,$0.10,$0.10,$0.10,0
Clinton,1/4/2016 12:00:00 AM,$0.80,$0.84,$0.80,$0.84,100
Sanders,1/4/2016 12:00:00 AM,$0.10,$0.10,$0.09,$0.09,25
Clinton,1/5/2016 12:00:00 AM,$0.84,$0.85,$0.80,$0.80,151
Sanders,1/5/2016 12:00:00 AM,$0.09,$0.23,$0.09,$0.09,2
Clinton,1/6/2016 12:00:00 AM,$0.80,$0.89,$0.80,$0.89,25
Sanders,1/6/2016 12:00:00 AM,$0.09,$0.09,$0.09,$0.09,0
Clinton,1/7/2016 12:00:00 AM,$0.89,$0.89,$0.89,$0.89,0
Sanders,1/7/2016 12:00:00 AM,$0.09,$0.15,$0.09,$0.15,10
Clinton,1/8/2016 12:00:00 AM,$0.89,$0.89,$0.89,$0.89,0
Sanders,1/8/2016 12:00:00 AM,$0.15,$0.15,$0.09,$0.09,1
Clinton,1/9/2016 12:00:00 AM,$0.89,$0.89,$0.80,$0.80,6
Sanders,1/9/2016 12:00:00 AM,$0.09,$0.20,$0.09,$0.09,530
Clinton,1/10/2016 12:00:00 AM,$0.80,$0.88,$0.80,$0.88,4
Sanders,1/10/2016 12:00:00 AM,$0.09,$0.20,$0.09,$0.14,12
Clinton,1/11/2016 12:00:00 AM,$0.88,$0.88,$0.73,$0.84,111
Sanders,1/11/2016 12:00:00 AM,$0.14,$0.30,$0.11,$0.16,195
Clinton,1/12/2016 12:00:00 AM,$0.84,$0.84,$0.71,$0.71,286
Sanders,1/12/2016 12:00:00 AM,$0.16,$0.30,$0.16,$0.26,83
Clinton,1/13/2016 12:00:00 AM,$0.71,$0.71,$0.69,$0.69,4
Sanders,1/13/2016 12:00:00 AM,$0.26,$0.33,$0.26,$0.33,70
Clinton,1/14/2016 12:00:00 AM,$0.69,$0.77,$0.67,$0.67,55
Sanders,1/14/2016 12:00:00 AM,$0.33,$0.33,$0.33,$0.33,0
Clinton,1/15/2016 12:00:00 AM,$0.67,$0.78,$0.67,$0.67,272
Sanders,1/15/2016 12:00:00 AM,$0.33,$0.33,$0.24,$0.24,1
Clinton,1/16/2016 12:00:00 AM,$0.67,$0.67,$0.67,$0.67,0
Sanders,1/16/2016 12:00:00 AM,$0.24,$0.29,$0.24,$0.29,50
Clinton,1/17/2016 12:00:00 AM,$0.67,$0.67,$0.65,$0.65,1
Sanders,1/17/2016 12:00:00 AM,$0.29,$0.32,$0.23,$0.25,54
Clinton,1/18/2016 12:00:00 AM,$0.65,$0.79,$0.65,$0.75,11
Sanders,1/18/2016 12:00:00 AM,$0.25,$0.33,$0.22,$0.22,63
Clinton,1/19/2016 12:00:00 AM,$0.75,$0.78,$0.73,$0.73,101
Sanders,1/19/2016 12:00:00 AM,$0.22,$0.22,$0.20,$0.20,1
Clinton,1/20/2016 12:00:00 AM,$0.73,$0.79,$0.73,$0.79,101
Sanders,1/20/2016 12:00:00 AM,$0.20,$0.66,$0.20,$0.24,607
Clinton,1/21/2016 12:00:00 AM,$0.79,$0.79,$0.76,$0.76,1
Sanders,1/21/2016 12:00:00 AM,$0.24,$0.24,$0.24,$0.24,0
Clinton,1/22/2016 12:00:00 AM,$0.76,$0.76,$0.76,$0.76,0
Sanders,1/22/2016 12:00:00 AM,$0.24,$0.24,$0.18,$0.19,171
Clinton,1/23/2016 12:00:00 AM,$0.76,$0.76,$0.76,$0.76,0
Sanders,1/23/2016 12:00:00 AM,$0.19,$0.19,$0.17,$0.17,89
Clinton,1/24/2016 12:00:00 AM,$0.76,$0.83,$0.74,$0.74,490
Sanders,1/24/2016 12:00:00 AM,$0.17,$0.28,$0.15,$0.16,932
Clinton,1/25/2016 12:00:00 AM,$0.74,$0.82,$0.74,$0.82,15
Sanders,1/25/2016 12:00:00 AM,$0.16,$0.25,$0.16,$0.25,100
Clinton,1/26/2016 12:00:00 AM,$0.82,$0.82,$0.82,$0.82,0
Sanders,1/26/2016 12:00:00 AM,$0.25,$0.25,$0.25,$0.25,0
