ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Clinton,12/5/2015 12:00:00 AM,$0.15,$0.32,$0.15,$0.21,311
Sanders,12/5/2015 12:00:00 AM,$0.50,$0.92,$0.50,$0.88,384
O'Malley,12/5/2015 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,25
Clinton,12/6/2015 12:00:00 AM,$0.21,$0.21,$0.10,$0.12,405
Sanders,12/6/2015 12:00:00 AM,$0.88,$0.90,$0.85,$0.90,201
O'Malley,12/6/2015 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,75
Clinton,12/7/2015 12:00:00 AM,$0.12,$0.15,$0.12,$0.15,67
Sanders,12/7/2015 12:00:00 AM,$0.90,$0.91,$0.88,$0.89,160
O'Malley,12/7/2015 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,0
Clinton,12/8/2015 12:00:00 AM,$0.15,$0.16,$0.12,$0.16,654
Sanders,12/8/2015 12:00:00 AM,$0.89,$0.89,$0.75,$0.75,252
O'Malley,12/8/2015 12:00:00 AM,$0.02,$0.04,$0.02,$0.04,75
Clinton,12/9/2015 12:00:00 AM,$0.16,$0.16,$0.13,$0.13,211
Sanders,12/9/2015 12:00:00 AM,$0.75,$0.90,$0.75,$0.90,121
O'Malley,12/9/2015 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,0
Clinton,12/10/2015 12:00:00 AM,$0.13,$0.16,$0.13,$0.16,150
Sanders,12/10/2015 12:00:00 AM,$0.90,$0.90,$0.83,$0.83,70
O'Malley,12/10/2015 12:00:00 AM,$0.04,$0.04,$0.01,$0.01,25
Clinton,12/11/2015 12:00:00 AM,$0.16,$0.16,$0.16,$0.16,0
Sanders,12/11/2015 12:00:00 AM,$0.83,$0.83,$0.83,$0.83,0
O'Malley,12/11/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/12/2015 12:00:00 AM,$0.16,$0.16,$0.16,$0.16,0
Sanders,12/12/2015 12:00:00 AM,$0.83,$0.83,$0.83,$0.83,0
O'Malley,12/12/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/13/2015 12:00:00 AM,$0.16,$0.16,$0.16,$0.16,0
Sanders,12/13/2015 12:00:00 AM,$0.83,$0.85,$0.83,$0.85,36
O'Malley,12/13/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/14/2015 12:00:00 AM,$0.16,$0.16,$0.16,$0.16,0
Sanders,12/14/2015 12:00:00 AM,$0.85,$0.85,$0.85,$0.85,0
O'Malley,12/14/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/15/2015 12:00:00 AM,$0.16,$0.16,$0.16,$0.16,80
Sanders,12/15/2015 12:00:00 AM,$0.85,$0.85,$0.85,$0.85,0
O'Malley,12/15/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/16/2015 12:00:00 AM,$0.16,$0.16,$0.16,$0.16,2
Sanders,12/16/2015 12:00:00 AM,$0.85,$0.85,$0.85,$0.85,0
O'Malley,12/16/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/17/2015 12:00:00 AM,$0.16,$0.16,$0.13,$0.13,6
Sanders,12/17/2015 12:00:00 AM,$0.85,$0.85,$0.85,$0.85,0
O'Malley,12/17/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/18/2015 12:00:00 AM,$0.13,$0.13,$0.13,$0.13,0
Sanders,12/18/2015 12:00:00 AM,$0.85,$0.88,$0.85,$0.88,10
O'Malley,12/18/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/19/2015 12:00:00 AM,$0.13,$0.17,$0.13,$0.17,70
Sanders,12/19/2015 12:00:00 AM,$0.88,$0.91,$0.88,$0.91,11
O'Malley,12/19/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/20/2015 12:00:00 AM,$0.17,$0.17,$0.17,$0.17,0
Sanders,12/20/2015 12:00:00 AM,$0.91,$0.91,$0.91,$0.91,0
O'Malley,12/20/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/21/2015 12:00:00 AM,$0.17,$0.17,$0.17,$0.17,0
Sanders,12/21/2015 12:00:00 AM,$0.91,$0.91,$0.91,$0.91,0
O'Malley,12/21/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/22/2015 12:00:00 AM,$0.17,$0.17,$0.17,$0.17,0
Sanders,12/22/2015 12:00:00 AM,$0.91,$0.91,$0.91,$0.91,10
O'Malley,12/22/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/23/2015 12:00:00 AM,$0.17,$0.17,$0.17,$0.17,0
Sanders,12/23/2015 12:00:00 AM,$0.91,$0.91,$0.89,$0.89,15
O'Malley,12/23/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/24/2015 12:00:00 AM,$0.17,$0.17,$0.17,$0.17,0
Sanders,12/24/2015 12:00:00 AM,$0.89,$0.89,$0.89,$0.89,0
O'Malley,12/24/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/25/2015 12:00:00 AM,$0.17,$0.17,$0.17,$0.17,0
Sanders,12/25/2015 12:00:00 AM,$0.89,$0.89,$0.88,$0.88,10
O'Malley,12/25/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/26/2015 12:00:00 AM,$0.17,$0.17,$0.17,$0.17,0
Sanders,12/26/2015 12:00:00 AM,$0.88,$0.88,$0.88,$0.88,0
O'Malley,12/26/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/27/2015 12:00:00 AM,$0.17,$0.17,$0.17,$0.17,0
Sanders,12/27/2015 12:00:00 AM,$0.88,$0.88,$0.88,$0.88,0
O'Malley,12/27/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/28/2015 12:00:00 AM,$0.17,$0.17,$0.17,$0.17,0
Sanders,12/28/2015 12:00:00 AM,$0.88,$0.88,$0.88,$0.88,0
O'Malley,12/28/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/29/2015 12:00:00 AM,$0.17,$0.17,$0.12,$0.12,6
Sanders,12/29/2015 12:00:00 AM,$0.88,$0.88,$0.88,$0.88,0
O'Malley,12/29/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/30/2015 12:00:00 AM,$0.12,$0.12,$0.12,$0.12,0
Sanders,12/30/2015 12:00:00 AM,$0.88,$0.88,$0.88,$0.88,0
O'Malley,12/30/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/31/2015 12:00:00 AM,$0.12,$0.12,$0.12,$0.12,0
Sanders,12/31/2015 12:00:00 AM,$0.88,$0.88,$0.88,$0.88,0
O'Malley,12/31/2015 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,1/1/2016 12:00:00 AM,$0.12,$0.12,$0.12,$0.12,0
Sanders,1/1/2016 12:00:00 AM,$0.88,$0.88,$0.88,$0.88,0
O'Malley,1/1/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,1/2/2016 12:00:00 AM,$0.12,$0.12,$0.12,$0.12,0
Sanders,1/2/2016 12:00:00 AM,$0.88,$0.88,$0.88,$0.88,0
O'Malley,1/2/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,1/3/2016 12:00:00 AM,$0.12,$0.12,$0.11,$0.11,1
Sanders,1/3/2016 12:00:00 AM,$0.88,$0.88,$0.88,$0.88,0
O'Malley,1/3/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,1/4/2016 12:00:00 AM,$0.11,$0.11,$0.09,$0.09,25
Sanders,1/4/2016 12:00:00 AM,$0.88,$0.91,$0.88,$0.91,208
O'Malley,1/4/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,1/5/2016 12:00:00 AM,$0.09,$0.09,$0.09,$0.09,0
Sanders,1/5/2016 12:00:00 AM,$0.91,$0.91,$0.91,$0.91,0
O'Malley,1/5/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,1/6/2016 12:00:00 AM,$0.09,$0.09,$0.09,$0.09,0
Sanders,1/6/2016 12:00:00 AM,$0.91,$0.91,$0.91,$0.91,0
O'Malley,1/6/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,1/7/2016 12:00:00 AM,$0.09,$0.09,$0.09,$0.09,0
Sanders,1/7/2016 12:00:00 AM,$0.91,$0.91,$0.91,$0.91,0
O'Malley,1/7/2016 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
