ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Biden,1/15/2020 12:00:00 AM,$0.26,$0.29,$0.26,$0.26,26
Bennet,1/15/2020 12:00:00 AM,$0.01,$0.03,$0.01,$0.03,4722
Harris,1/15/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,960
Booker,1/15/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,1/15/2020 12:00:00 AM,$0.54,$0.54,$0.54,$0.54,43
Warren,1/15/2020 12:00:00 AM,$0.06,$0.09,$0.06,$0.09,12
Klobuchar,1/15/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,282
Steyer,1/15/2020 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,825
Yang,1/15/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,1
Buttigieg,1/15/2020 12:00:00 AM,$0.09,$0.11,$0.09,$0.11,22
Gabbard,1/15/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,1/15/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Castro,1/15/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,1/16/2020 12:00:00 AM,$0.26,$0.31,$0.26,$0.29,144
Bennet,1/16/2020 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,0
Harris,1/16/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,1/16/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,1/16/2020 12:00:00 AM,$0.54,$0.56,$0.54,$0.54,117
Warren,1/16/2020 12:00:00 AM,$0.09,$0.09,$0.08,$0.08,15
Klobuchar,1/16/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,50
Steyer,1/16/2020 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,51
Yang,1/16/2020 12:00:00 AM,$0.04,$0.04,$0.02,$0.04,55
Buttigieg,1/16/2020 12:00:00 AM,$0.11,$0.11,$0.11,$0.11,0
Gabbard,1/16/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,1/16/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Castro,1/16/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,1/17/2020 12:00:00 AM,$0.29,$0.31,$0.29,$0.31,84
Bennet,1/17/2020 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,0
Harris,1/17/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,1/17/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,1/17/2020 12:00:00 AM,$0.54,$0.55,$0.54,$0.55,265
Warren,1/17/2020 12:00:00 AM,$0.08,$0.08,$0.07,$0.07,1
Klobuchar,1/17/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Steyer,1/17/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
Yang,1/17/2020 12:00:00 AM,$0.04,$0.04,$0.02,$0.02,1
Buttigieg,1/17/2020 12:00:00 AM,$0.11,$0.11,$0.10,$0.10,5
Gabbard,1/17/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,1/17/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Castro,1/17/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,1/18/2020 12:00:00 AM,$0.31,$0.31,$0.26,$0.26,26
Bennet,1/18/2020 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,0
Harris,1/18/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,1/18/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,1/18/2020 12:00:00 AM,$0.55,$0.56,$0.55,$0.56,10
Warren,1/18/2020 12:00:00 AM,$0.07,$0.07,$0.05,$0.06,51
Klobuchar,1/18/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,125
Steyer,1/18/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,125
Yang,1/18/2020 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,25
Buttigieg,1/18/2020 12:00:00 AM,$0.10,$0.10,$0.10,$0.10,30
Gabbard,1/18/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,1/18/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Castro,1/18/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,1/19/2020 12:00:00 AM,$0.26,$0.31,$0.26,$0.27,11
Bennet,1/19/2020 12:00:00 AM,$0.03,$0.03,$0.01,$0.01,1
Harris,1/19/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,1/19/2020 12:00:00 AM,$0.01,$0.08,$0.01,$0.01,2698
Sanders,1/19/2020 12:00:00 AM,$0.56,$0.56,$0.53,$0.55,19
Warren,1/19/2020 12:00:00 AM,$0.06,$0.06,$0.05,$0.05,3
Klobuchar,1/19/2020 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,1000
Steyer,1/19/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,1/19/2020 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,0
Buttigieg,1/19/2020 12:00:00 AM,$0.10,$0.10,$0.10,$0.10,5
Gabbard,1/19/2020 12:00:00 AM,$0.01,$0.04,$0.01,$0.04,4315
Clinton,1/19/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Castro,1/19/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,1/20/2020 12:00:00 AM,$0.27,$0.33,$0.27,$0.33,152
Bennet,1/20/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,1/20/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,1/20/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,38
Sanders,1/20/2020 12:00:00 AM,$0.55,$0.55,$0.53,$0.53,20
Warren,1/20/2020 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,15
Klobuchar,1/20/2020 12:00:00 AM,$0.02,$0.03,$0.01,$0.01,280
Steyer,1/20/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,1/20/2020 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,0
Buttigieg,1/20/2020 12:00:00 AM,$0.10,$0.10,$0.09,$0.10,10
Gabbard,1/20/2020 12:00:00 AM,$0.04,$0.04,$0.01,$0.01,1
Clinton,1/20/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
