ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Biden,12/6/2019 12:00:00 AM,$0.59,$0.59,$0.57,$0.59,52
O'Rourke,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/6/2019 12:00:00 AM,$0.10,$0.10,$0.09,$0.10,190
Warren,12/6/2019 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,16
Klobuchar,12/6/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,15
Steyer,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/6/2019 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,65
Buttigieg,12/6/2019 12:00:00 AM,$0.16,$0.16,$0.15,$0.15,15
Gabbard,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/6/2019 12:00:00 AM,$0.05,$0.06,$0.05,$0.06,175
Castro,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,12/6/2019 12:00:00 AM,$0.10,$0.10,$0.09,$0.09,100
Patrick,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,12/7/2019 12:00:00 AM,$0.59,$0.59,$0.57,$0.59,149
O'Rourke,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/7/2019 12:00:00 AM,$0.10,$0.10,$0.09,$0.09,21
Warren,12/7/2019 12:00:00 AM,$0.07,$0.07,$0.05,$0.05,63
Klobuchar,12/7/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,21
Steyer,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/7/2019 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,21
Buttigieg,12/7/2019 12:00:00 AM,$0.15,$0.15,$0.14,$0.14,21
Gabbard,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/7/2019 12:00:00 AM,$0.06,$0.07,$0.05,$0.07,247
Castro,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,12/7/2019 12:00:00 AM,$0.09,$0.09,$0.09,$0.09,103
Patrick,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,12/8/2019 12:00:00 AM,$0.59,$0.59,$0.59,$0.59,0
O'Rourke,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,10
Sanders,12/8/2019 12:00:00 AM,$0.09,$0.10,$0.09,$0.09,51
Warren,12/8/2019 12:00:00 AM,$0.05,$0.07,$0.03,$0.03,36
Klobuchar,12/8/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,5
Steyer,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/8/2019 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,59
Buttigieg,12/8/2019 12:00:00 AM,$0.14,$0.14,$0.14,$0.14,10
Gabbard,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/8/2019 12:00:00 AM,$0.07,$0.07,$0.05,$0.05,248
Castro,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,12/8/2019 12:00:00 AM,$0.09,$0.09,$0.08,$0.08,52
Patrick,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,12/9/2019 12:00:00 AM,$0.59,$0.59,$0.59,$0.59,0
O'Rourke,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/9/2019 12:00:00 AM,$0.09,$0.10,$0.08,$0.10,180
Warren,12/9/2019 12:00:00 AM,$0.03,$0.04,$0.03,$0.04,25
Klobuchar,12/9/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,0
Steyer,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/9/2019 12:00:00 AM,$0.03,$0.04,$0.03,$0.04,3122
Buttigieg,12/9/2019 12:00:00 AM,$0.14,$0.14,$0.14,$0.14,15
Gabbard,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/9/2019 12:00:00 AM,$0.05,$0.07,$0.05,$0.07,712
Castro,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,12/9/2019 12:00:00 AM,$0.08,$0.09,$0.08,$0.09,300
Patrick,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,12/10/2019 12:00:00 AM,$0.59,$0.60,$0.56,$0.60,346
O'Rourke,12/10/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/10/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/10/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/10/2019 12:00:00 AM,$0.10,$0.10,$0.09,$0.10,937
Warren,12/10/2019 12:00:00 AM,$0.04,$0.07,$0.04,$0.04,150
Klobuchar,12/10/2019 12:00:00 AM,$0.02,$0.04,$0.02,$0.04,1687
Steyer,12/10/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/10/2019 12:00:00 AM,$0.04,$0.04,$0.03,$0.03,120
Buttigieg,12/10/2019 12:00:00 AM,$0.14,$0.14,$0.14,$0.14,225
Gabbard,12/10/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/10/2019 12:00:00 AM,$0.07,$0.07,$0.05,$0.07,337
Castro,12/10/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,12/10/2019 12:00:00 AM,$0.09,$0.10,$0.08,$0.08,146
Patrick,12/10/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,12/11/2019 12:00:00 AM,$0.60,$0.61,$0.60,$0.61,107
O'Rourke,12/11/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/11/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/11/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/11/2019 12:00:00 AM,$0.10,$0.11,$0.09,$0.11,900
Warren,12/11/2019 12:00:00 AM,$0.04,$0.06,$0.04,$0.06,200
