ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Biden,12/13/2019 12:00:00 AM,$0.17,$0.24,$0.17,$0.20,130
Harris,12/13/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/13/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/13/2019 12:00:00 AM,$0.40,$0.40,$0.38,$0.38,461
Warren,12/13/2019 12:00:00 AM,$0.16,$0.16,$0.14,$0.14,72
Klobuchar,12/13/2019 12:00:00 AM,$0.06,$0.06,$0.04,$0.04,500
Steyer,12/13/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/13/2019 12:00:00 AM,$0.03,$0.03,$0.02,$0.02,1132
Buttigieg,12/13/2019 12:00:00 AM,$0.16,$0.16,$0.13,$0.13,354
Gabbard,12/13/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,109
Clinton,12/13/2019 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,163
Biden,12/14/2019 12:00:00 AM,$0.20,$0.25,$0.20,$0.25,112
Harris,12/14/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/14/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/14/2019 12:00:00 AM,$0.38,$0.39,$0.36,$0.38,516
Warren,12/14/2019 12:00:00 AM,$0.14,$0.14,$0.12,$0.12,287
Klobuchar,12/14/2019 12:00:00 AM,$0.04,$0.05,$0.04,$0.05,378
Steyer,12/14/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/14/2019 12:00:00 AM,$0.02,$0.04,$0.02,$0.04,62
Buttigieg,12/14/2019 12:00:00 AM,$0.13,$0.13,$0.13,$0.13,193
Gabbard,12/14/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/14/2019 12:00:00 AM,$0.04,$0.05,$0.04,$0.05,46
Biden,12/15/2019 12:00:00 AM,$0.25,$0.48,$0.22,$0.29,1518
Harris,12/15/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/15/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/15/2019 12:00:00 AM,$0.38,$0.39,$0.36,$0.37,56
Warren,12/15/2019 12:00:00 AM,$0.12,$0.12,$0.12,$0.12,0
Klobuchar,12/15/2019 12:00:00 AM,$0.05,$0.05,$0.05,$0.05,860
Steyer,12/15/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/15/2019 12:00:00 AM,$0.04,$0.04,$0.03,$0.03,126
Buttigieg,12/15/2019 12:00:00 AM,$0.13,$0.13,$0.12,$0.12,25
Gabbard,12/15/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,26
Clinton,12/15/2019 12:00:00 AM,$0.05,$0.05,$0.04,$0.04,26
Biden,12/16/2019 12:00:00 AM,$0.29,$0.32,$0.29,$0.32,220
