ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Biden,12/6/2019 12:00:00 AM,$0.11,$0.11,$0.08,$0.08,651
O'Rourke,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/6/2019 12:00:00 AM,$0.30,$0.35,$0.28,$0.35,1182
Warren,12/6/2019 12:00:00 AM,$0.19,$0.20,$0.13,$0.13,539
Klobuchar,12/6/2019 12:00:00 AM,$0.16,$0.16,$0.15,$0.15,40
Steyer,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/6/2019 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,27
Buttigieg,12/6/2019 12:00:00 AM,$0.28,$0.28,$0.27,$0.27,175
Gabbard,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,219
Clinton,12/6/2019 12:00:00 AM,$0.03,$0.03,$0.02,$0.02,25
Bloomberg,12/6/2019 12:00:00 AM,$0.06,$0.06,$0.06,$0.06,62
Patrick,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,12/7/2019 12:00:00 AM,$0.08,$0.09,$0.06,$0.06,350
O'Rourke,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/7/2019 12:00:00 AM,$0.35,$0.47,$0.33,$0.47,400
Warren,12/7/2019 12:00:00 AM,$0.13,$0.17,$0.07,$0.07,696
Klobuchar,12/7/2019 12:00:00 AM,$0.15,$0.15,$0.15,$0.15,75
Steyer,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/7/2019 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,1009
Buttigieg,12/7/2019 12:00:00 AM,$0.27,$0.27,$0.24,$0.24,150
Gabbard,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,915
Clinton,12/7/2019 12:00:00 AM,$0.02,$0.03,$0.02,$0.02,1549
Bloomberg,12/7/2019 12:00:00 AM,$0.06,$0.07,$0.05,$0.05,116
Patrick,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,12/8/2019 12:00:00 AM,$0.06,$0.09,$0.06,$0.07,302
O'Rourke,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/8/2019 12:00:00 AM,$0.47,$0.47,$0.33,$0.34,235
Warren,12/8/2019 12:00:00 AM,$0.07,$0.17,$0.07,$0.16,424
Klobuchar,12/8/2019 12:00:00 AM,$0.15,$0.16,$0.15,$0.15,310
Steyer,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/8/2019 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,0
Buttigieg,12/8/2019 12:00:00 AM,$0.24,$0.24,$0.22,$0.22,101
Gabbard,12/8/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,7861
Clinton,12/8/2019 12:00:00 AM,$0.02,$0.03,$0.02,$0.03,50
Bloomberg,12/8/2019 12:00:00 AM,$0.05,$0.07,$0.05,$0.07,727
Patrick,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,12/9/2019 12:00:00 AM,$0.07,$0.08,$0.07,$0.07,150
O'Rourke,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/9/2019 12:00:00 AM,$0.34,$0.40,$0.33,$0.39,505
Warren,12/9/2019 12:00:00 AM,$0.16,$0.16,$0.11,$0.14,110
Klobuchar,12/9/2019 12:00:00 AM,$0.15,$0.15,$0.15,$0.15,150
Steyer,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/9/2019 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,100
Buttigieg,12/9/2019 12:00:00 AM,$0.22,$0.23,$0.22,$0.23,35
Gabbard,12/9/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,0
Clinton,12/9/2019 12:00:00 AM,$0.03,$0.04,$0.03,$0.04,1576
Bloomberg,12/9/2019 12:00:00 AM,$0.07,$0.08,$0.07,$0.07,200
Patrick,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,12/10/2019 12:00:00 AM,$0.07,$0.09,$0.07,$0.08,130
O'Rourke,12/10/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
