ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Biden,1/30/2020 12:00:00 AM,$0.15,$0.15,$0.15,$0.15,2
Sanders,1/30/2020 12:00:00 AM,$0.55,$0.79,$0.55,$0.56,52
Biden,1/31/2020 12:00:00 AM,$0.15,$0.15,$0.15,$0.15,0
Sanders,1/31/2020 12:00:00 AM,$0.56,$0.60,$0.56,$0.60,26
Yang,1/31/2020 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,2
Bloomberg,1/31/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,1
Biden,2/1/2020 12:00:00 AM,$0.15,$0.15,$0.15,$0.15,0
Sanders,2/1/2020 12:00:00 AM,$0.60,$0.72,$0.60,$0.72,10
Yang,2/1/2020 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,1
Buttigieg,2/1/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
Bloomberg,2/1/2020 12:00:00 AM,$0.07,$0.09,$0.05,$0.09,13
Biden,2/2/2020 12:00:00 AM,$0.15,$0.34,$0.15,$0.24,54
Sanders,2/2/2020 12:00:00 AM,$0.72,$0.80,$0.70,$0.70,565
Warren,2/2/2020 12:00:00 AM,$0.02,$0.04,$0.02,$0.04,53
Klobuchar,2/2/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,64
Steyer,2/2/2020 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,65
Yang,2/2/2020 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,98
Buttigieg,2/2/2020 12:00:00 AM,$0.01,$0.03,$0.01,$0.02,54
Bloomberg,2/2/2020 12:00:00 AM,$0.09,$0.09,$0.05,$0.08,600
Biden,2/3/2020 12:00:00 AM,$0.24,$0.24,$0.19,$0.19,108
Sanders,2/3/2020 12:00:00 AM,$0.70,$0.72,$0.69,$0.69,3
Warren,2/3/2020 12:00:00 AM,$0.04,$0.04,$0.03,$0.03,10
Klobuchar,2/3/2020 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,1090
Steyer,2/3/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,2/3/2020 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,935
Buttigieg,2/3/2020 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,83
Bloomberg,2/3/2020 12:00:00 AM,$0.08,$0.08,$0.08,$0.08,0
Biden,2/4/2020 12:00:00 AM,$0.19,$0.22,$0.03,$0.03,11
Sanders,2/4/2020 12:00:00 AM,$0.69,$0.72,$0.69,$0.72,10
Warren,2/4/2020 12:00:00 AM,$0.03,$0.04,$0.02,$0.04,32
Klobuchar,2/4/2020 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,1110
Steyer,2/4/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,860
Yang,2/4/2020 12:00:00 AM,$0.02,$0.03,$0.01,$0.01,902
Buttigieg,2/4/2020 12:00:00 AM,$0.02,$0.13,$0.02,$0.13,344
Bloomberg,2/4/2020 12:00:00 AM,$0.08,$0.10,$0.05,$0.08,662
Biden,2/5/2020 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,0
Sanders,2/5/2020 12:00:00 AM,$0.72,$0.72,$0.68,$0.69,14
Warren,2/5/2020 12:00:00 AM,$0.04,$0.04,$0.04,$0.04,8
Klobuchar,2/5/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Steyer,2/5/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,2/5/2020 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,1
