ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Biden,12/6/2019 12:00:00 AM,$0.27,$0.27,$0.22,$0.26,676
O'Rourke,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/6/2019 12:00:00 AM,$0.28,$0.35,$0.28,$0.33,2639
Warren,12/6/2019 12:00:00 AM,$0.12,$0.12,$0.09,$0.10,90
Klobuchar,12/6/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,0
Steyer,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/6/2019 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,0
Buttigieg,12/6/2019 12:00:00 AM,$0.13,$0.14,$0.13,$0.14,135
Gabbard,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,2455
Clinton,12/6/2019 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,0
Castro,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,12/6/2019 12:00:00 AM,$0.06,$0.08,$0.06,$0.08,300
Patrick,12/6/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,12/7/2019 12:00:00 AM,$0.26,$0.26,$0.26,$0.26,0
O'Rourke,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/7/2019 12:00:00 AM,$0.33,$0.34,$0.33,$0.34,1
Warren,12/7/2019 12:00:00 AM,$0.10,$0.10,$0.10,$0.10,175
Klobuchar,12/7/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,0
Steyer,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/7/2019 12:00:00 AM,$0.03,$0.04,$0.03,$0.03,776
Buttigieg,12/7/2019 12:00:00 AM,$0.14,$0.15,$0.14,$0.15,25
Gabbard,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,276
Clinton,12/7/2019 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,351
Castro,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,12/7/2019 12:00:00 AM,$0.08,$0.08,$0.07,$0.07,50
Patrick,12/7/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,12/8/2019 12:00:00 AM,$0.26,$0.26,$0.25,$0.26,91
O'Rourke,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/8/2019 12:00:00 AM,$0.34,$0.35,$0.33,$0.33,2
Warren,12/8/2019 12:00:00 AM,$0.10,$0.11,$0.09,$0.09,274
Klobuchar,12/8/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,0
Steyer,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/8/2019 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,25
Buttigieg,12/8/2019 12:00:00 AM,$0.15,$0.15,$0.15,$0.15,1
Gabbard,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/8/2019 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,0
Castro,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,12/8/2019 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,0
Patrick,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,12/9/2019 12:00:00 AM,$0.26,$0.29,$0.23,$0.25,85
O'Rourke,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/9/2019 12:00:00 AM,$0.33,$0.36,$0.33,$0.33,226
Warren,12/9/2019 12:00:00 AM,$0.09,$0.11,$0.09,$0.11,337
Klobuchar,12/9/2019 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,57
Steyer,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/9/2019 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,57
Buttigieg,12/9/2019 12:00:00 AM,$0.15,$0.15,$0.14,$0.14,158
Gabbard,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,56
Clinton,12/9/2019 12:00:00 AM,$0.03,$0.05,$0.03,$0.04,1610
Castro,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,12/9/2019 12:00:00 AM,$0.07,$0.07,$0.06,$0.06,240
Patrick,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,12/10/2019 12:00:00 AM,$0.25,$0.29,$0.25,$0.28,95
O'Rourke,12/10/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/10/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/10/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
