ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Biden,12/8/2019 12:00:00 AM,$0.16,$0.16,$0.16,$0.16,0
O'Rourke,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/8/2019 12:00:00 AM,$0.33,$0.36,$0.33,$0.36,1
Warren,12/8/2019 12:00:00 AM,$0.23,$0.23,$0.23,$0.23,0
Klobuchar,12/8/2019 12:00:00 AM,$0.02,$0.02,$0.02,$0.02,0
Steyer,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/8/2019 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,400
Buttigieg,12/8/2019 12:00:00 AM,$0.14,$0.14,$0.14,$0.14,0
Gabbard,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/8/2019 12:00:00 AM,$0.03,$0.03,$0.03,$0.03,0
Castro,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,12/8/2019 12:00:00 AM,$0.07,$0.08,$0.07,$0.08,25
Patrick,12/8/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,12/9/2019 12:00:00 AM,$0.16,$0.16,$0.16,$0.16,0
O'Rourke,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/9/2019 12:00:00 AM,$0.36,$0.36,$0.33,$0.36,32
Warren,12/9/2019 12:00:00 AM,$0.23,$0.23,$0.23,$0.23,0
Klobuchar,12/9/2019 12:00:00 AM,$0.02,$0.03,$0.02,$0.02,74
Steyer,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/9/2019 12:00:00 AM,$0.03,$0.04,$0.03,$0.04,83
Buttigieg,12/9/2019 12:00:00 AM,$0.14,$0.16,$0.13,$0.13,352
Gabbard,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Clinton,12/9/2019 12:00:00 AM,$0.03,$0.04,$0.03,$0.04,1254
Castro,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,12/9/2019 12:00:00 AM,$0.08,$0.08,$0.08,$0.08,115
Patrick,12/9/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,12/10/2019 12:00:00 AM,$0.16,$0.17,$0.16,$0.17,118
O'Rourke,12/10/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/10/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/10/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/10/2019 12:00:00 AM,$0.36,$0.38,$0.34,$0.38,162
Warren,12/10/2019 12:00:00 AM,$0.23,$0.23,$0.21,$0.21,150
Klobuchar,12/10/2019 12:00:00 AM,$0.02,$0.03,$0.02,$0.03,1290
Steyer,12/10/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/10/2019 12:00:00 AM,$0.04,$0.04,$0.03,$0.03,901
Buttigieg,12/10/2019 12:00:00 AM,$0.13,$0.13,$0.13,$0.13,0
Gabbard,12/10/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,858
Clinton,12/10/2019 12:00:00 AM,$0.04,$0.04,$0.03,$0.03,974
Castro,12/10/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Bloomberg,12/10/2019 12:00:00 AM,$0.08,$0.09,$0.08,$0.08,36
Patrick,12/10/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Biden,12/11/2019 12:00:00 AM,$0.17,$0.18,$0.15,$0.15,467
O'Rourke,12/11/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Harris,12/11/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Booker,12/11/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Sanders,12/11/2019 12:00:00 AM,$0.38,$0.42,$0.34,$0.42,337
Warren,12/11/2019 12:00:00 AM,$0.21,$0.21,$0.19,$0.19,66
Klobuchar,12/11/2019 12:00:00 AM,$0.03,$0.03,$0.02,$0.02,6
Steyer,12/11/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,0
Yang,12/11/2019 12:00:00 AM,$0.03,$0.04,$0.03,$0.03,132
Buttigieg,12/11/2019 12:00:00 AM,$0.13,$0.14,$0.12,$0.12,56
