"","state","contest_date","name","date","market_close","market_volume","poll_estimate","poll_trend_adjusted","date_dropped"
"1","Wisconsin",2020-04-07,"Joe Biden",2020-01-16,0.39,289,0.2234452,0.2169,NA
"2","Wisconsin",2020-04-07,"Bernie Sanders",2020-01-16,0.45,37,0.1909088,0.2021,2020-04-08
"3","Wisconsin",2020-04-07,"Elizabeth Warren",2020-01-16,0.08,5,0.1741487,0.1615,2020-03-05
"4","Wisconsin",2020-04-07,"Amy Klobuchar",2020-01-16,0.01,2,0.03039664,0.0362,2020-03-02
"5","Wisconsin",2020-04-07,"Andrew Yang",2020-01-16,0.02,128,0.03248811,0.0355,2020-02-11
"6","Wisconsin",2020-04-07,"Pete Buttigieg",2020-01-16,0.08,0,0.1015424,0.0974,2020-03-01
"7","Wisconsin",2020-04-07,"Tulsi Gabbard",2020-01-16,0.01,0,0.01521863,0.0165,2020-03-19
"8","Wisconsin",2020-04-07,"Michael Bloomberg",2020-01-16,0.03,1606,0.06125256,0.0661,2020-03-04
"9","Wisconsin",2020-04-07,"Joe Biden",2020-01-17,0.39,0,0.2235856,0.2241,NA
"10","Wisconsin",2020-04-07,"Bernie Sanders",2020-01-17,0.44,50,0.1909743,0.2044,2020-04-08
"11","Wisconsin",2020-04-07,"Elizabeth Warren",2020-01-17,0.08,5,0.1741179,0.1578,2020-03-05
"12","Wisconsin",2020-04-07,"Amy Klobuchar",2020-01-17,0.01,0,0.02942931,0.0337,2020-03-02
"13","Wisconsin",2020-04-07,"Andrew Yang",2020-01-17,0.02,2,0.03168158,0.0358,2020-02-11
"14","Wisconsin",2020-04-07,"Pete Buttigieg",2020-01-17,0.08,0,0.1016104,0.1032,2020-03-01
"15","Wisconsin",2020-04-07,"Tulsi Gabbard",2020-01-17,0.01,0,0.01514572,0.017,2020-03-19
"16","Wisconsin",2020-04-07,"Michael Bloomberg",2020-01-17,0.06,1104,0.06082006,0.0683,2020-03-04
"17","Wisconsin",2020-04-07,"Joe Biden",2020-01-18,0.34,3,0.2235856,0.2241,NA
"18","Wisconsin",2020-04-07,"Bernie Sanders",2020-01-18,0.46,220,0.1909743,0.2044,2020-04-08
"19","Wisconsin",2020-04-07,"Elizabeth Warren",2020-01-18,0.08,5,0.1741179,0.1578,2020-03-05
"20","Wisconsin",2020-04-07,"Amy Klobuchar",2020-01-18,0.01,0,0.02942931,0.0337,2020-03-02
"21","Wisconsin",2020-04-07,"Andrew Yang",2020-01-18,0.02,200,0.03168158,0.0358,2020-02-11
"22","Wisconsin",2020-04-07,"Pete Buttigieg",2020-01-18,0.09,226,0.1016104,0.1032,2020-03-01
"23","Wisconsin",2020-04-07,"Tulsi Gabbard",2020-01-18,0.01,100,0.01514572,0.017,2020-03-19
"24","Wisconsin",2020-04-07,"Michael Bloomberg",2020-01-18,0.05,300,0.06082006,0.0683,2020-03-04
"25","Wisconsin",2020-04-07,"Joe Biden",2020-01-19,0.37,8,0.2235872,0.2241,NA
"26","Wisconsin",2020-04-07,"Bernie Sanders",2020-01-19,0.45,3,0.1908897,0.2043,2020-04-08
"27","Wisconsin",2020-04-07,"Elizabeth Warren",2020-01-19,0.08,7,0.1741372,0.1578,2020-03-05
"28","Wisconsin",2020-04-07,"Amy Klobuchar",2020-01-19,0.03,1344,0.02943482,0.0337,2020-03-02
"29","Wisconsin",2020-04-07,"Andrew Yang",2020-01-19,0.02,1,0.03167361,0.0358,2020-02-11
"30","Wisconsin",2020-04-07,"Pete Buttigieg",2020-01-19,0.09,3,0.1016102,0.1031,2020-03-01
"31","Wisconsin",2020-04-07,"Tulsi Gabbard",2020-01-19,0.01,0,0.01514892,0.017,2020-03-19
"32","Wisconsin",2020-04-07,"Michael Bloomberg",2020-01-19,0.05,0,0.06083227,0.0683,2020-03-04
"33","Wisconsin",2020-04-07,"Joe Biden",2020-01-20,0.36,20,0.223552,0.224,NA
"34","Wisconsin",2020-04-07,"Bernie Sanders",2020-01-20,0.45,102,0.1908387,0.2043,2020-04-08
"35","Wisconsin",2020-04-07,"Elizabeth Warren",2020-01-20,0.08,53,0.1741339,0.1578,2020-03-05
"36","Wisconsin",2020-04-07,"Amy Klobuchar",2020-01-20,0.04,1168,0.02941954,0.0337,2020-03-02
"37","Wisconsin",2020-04-07,"Andrew Yang",2020-01-20,0.02,4,0.03164989,0.0358,2020-02-11
"38","Wisconsin",2020-04-07,"Pete Buttigieg",2020-01-20,0.08,2,0.1016398,0.1032,2020-03-01
"39","Wisconsin",2020-04-07,"Tulsi Gabbard",2020-01-20,0.01,0,0.01515781,0.0171,2020-03-19
"40","Wisconsin",2020-04-07,"Michael Bloomberg",2020-01-20,0.03,75,0.06080359,0.0683,2020-03-04
"41","Wisconsin",2020-04-07,"Joe Biden",2020-01-21,0.36,0,0.2234151,0.2239,NA
"42","Wisconsin",2020-04-07,"Bernie Sanders",2020-01-21,0.45,0,0.1907752,0.2043,2020-04-08
"43","Wisconsin",2020-04-07,"Elizabeth Warren",2020-01-21,0.08,156,0.1741491,0.1578,2020-03-05
"44","Wisconsin",2020-04-07,"Amy Klobuchar",2020-01-21,0.03,20,0.02935516,0.0336,2020-03-02
